block_lgd,dtname,dtcode11,block_name,object_id,block_area,max,mean,count,sum
03276,Anugul,384,ANUGUL,21-384-03276,1116,0.4269291092395783,0.3169344817836997,964,305.5248404394865
03277,Anugul,384,ATHMALLIK,21-384-03277,1027,0.5793571026325226,0.3385353005369682,892,301.9734880789756
03278,Anugul,384,BANARPAL,21-384-03278,257,0.43347844152450565,0.38330453864977915,221,84.7103030416012
03279,Anugul,384,CHHENDIPADA,21-384-03279,954,0.5869750636816025,0.3746847583655842,832,311.73771896016603
03280,Anugul,384,KANIHA,21-384-03280,713,0.5869750636816025,0.4976415271119028,621,309.0353883364916
03281,Anugul,384,KISHORENAGAR,21-384-03281,844,0.5793571026325226,0.4731542669936179,731,345.8757691723347
03282,Anugul,384,PALALAHADA,21-384-03282,1175,0.5869750636816025,0.5216497888479411,1016,529.9961854695082
03283,Anugul,384,TALACHER,21-384-03283,287,0.43347844152450565,0.4179535462827797,251,104.9063401169777
03284,Balangir,393,AGALPUR,21-393-03284,323,0.5325076044082642,0.44488824691687306,280,124.56870913672446
03285,Balangir,393,BALANGIR,21-393-03285,450,0.5436119718551636,0.4646982098039569,386,179.37350898432734
03286,Balangir,393,BANGOMUNDA,21-393-03286,345,0.30498976554870605,0.13324537013709742,301,40.10685641126632
03287,Balangir,393,BELPARA,21-393-03287,563,0.4894831111669541,0.35825205134080085,488,174.8270010543108
03288,Balangir,393,DEOGAON,21-393-03288,489,0.468982594537735,0.38201300545464634,427,163.119553329134
03289,Balangir,393,GUDVELLA,21-393-03289,248,0.468982594537735,0.46165938850438815,212,97.87179036293028
03290,Balangir,393,KHAPRAKHOL,21-393-03290,641,0.4894831111669541,0.42192699143796353,555,234.16948024806976
03291,Balangir,393,LOISINGA,21-393-03291,382,0.5436119718551636,0.47188555252441056,333,157.1378889906287
03292,Balangir,393,MURIBAHAL,21-393-03292,472,0.5054075478315354,0.22554485158844134,407,91.79675459649563
03293,Balangir,393,PATNAGARH,21-393-03293,645,0.4894831111669541,0.41982285817327025,562,235.94044629337787
03294,Balangir,393,PUINTALA,21-393-03294,343,0.5436119718551636,0.5309844018300375,297,157.70236734352113
03295,Balangir,393,SAINTALA,21-393-03295,627,0.5054075478315354,0.32740446162024767,539,176.4710048133135
03296,Balangir,393,TITLAGARH,21-393-03296,490,0.5054075478315354,0.3502286852804329,421,147.44627650306225
03297,Balangir,393,TUREKELA,21-393-03297,531,0.30498976554870605,0.2934354912332798,456,133.8065840023756
03298,Baleshwar,377,BAHANAGA,21-377-03298,238,0.5158090369462968,0.4677803235434569,208,97.29830729703903
03299,Baleshwar,377,BALESHWAR,21-377-03299,429,0.5158090369462968,0.45612266915860833,373,170.1337555961609
03300,Baleshwar,377,BALIAPAL,21-377-03300,301,0.46888979275226594,0.1669356573612518,263,43.90407788600922
03301,Baleshwar,377,BASTA,21-377-03301,266,0.48968715705871585,0.4184891836401758,235,98.3449581554413
03302,Baleshwar,377,BHOGRAI,21-377-03302,333,0.38253056542873387,0.2528292811899056,293,74.07897938864234
03303,Baleshwar,377,JALESWAR,21-377-03303,376,0.48968715705871585,0.38586432941526905,328,126.56350004820824
03304,Baleshwar,377,KHAIRA,21-377-03304,331,0.3636636580467224,0.3626898518784121,287,104.09198748910427
03305,Baleshwar,377,NILGIRI,21-377-03305,343,0.6183711251735687,0.5285432559543808,298,157.5058902744055
03306,Baleshwar,377,OUPADA,21-377-03306,332,0.6183711251735687,0.49681644729606833,289,143.57995326856374
03307,Baleshwar,377,REMUNA,21-377-03307,300,0.5158090369462968,0.4471870739373294,264,118.05738751945496
03308,Baleshwar,377,SIMULIA,21-377-03308,209,0.4577278021335602,0.3968042075362898,186,73.8055826017499
03309,Baleshwar,377,SORO,21-377-03309,258,0.5158090369462968,0.44480362944017465,226,100.52562025347947
03310,Bargarh,370,AMBABHONA,21-370-03310,645,0.32371156671047213,0.27455725581591495,569,156.2230785592556
03311,Bargarh,370,ATTABIRA,21-370-03311,628,0.48629016599655156,0.36161600831643875,543,196.35749251582624
03312,Bargarh,370,BARGARH,21-370-03312,286,0.47678157477378846,0.393315584655207,251,98.72221174845696
03313,Bargarh,370,BARPALI,21-370-03313,384,0.47678157477378846,0.3860018969796375,334,128.92463359119893
03314,Bargarh,370,BHATLI,21-370-03314,390,0.32851180419921877,0.30141417865760206,339,102.17940656492709
03315,Bargarh,370,BHEDEN,21-370-03315,371,0.5325076044082642,0.48012860975530414,324,155.56166956071854
03316,Bargarh,370,BIJEPUR,21-370-03316,328,0.46378147373199463,0.35363046771871287,282,99.72379189667703
03317,Bargarh,370,GAISILET,21-370-03317,393,0.46378147373199463,0.34782169476444263,342,118.95501960943938
03318,Bargarh,370,JHARBANDH,21-370-03318,525,0.27290907158851624,0.22609995803162294,455,102.87548090438844
03319,Bargarh,370,PADAMPUR,21-370-03319,600,0.4894831111669541,0.3083667246457282,525,161.8925304390073
03320,Bargarh,370,PAIKMAL,21-370-03320,698,0.3763278508424759,0.26062837001978856,607,158.20142060201167
03321,Bargarh,370,SOHELLA,21-370-03321,589,0.3404279335141182,0.26447628191343975,512,135.41185633968115
03322,Bhadrak,378,BASUDEVPUR,21-378-03322,500,0.4577278021335602,0.41573313066624706,431,179.1809793171525
03323,Bhadrak,378,BHADRAK,21-378-03323,351,0.4191237252593041,0.34832649244448993,302,105.19460071823596
03324,Bhadrak,378,BHANDARIPOKHARI,21-378-03324,248,0.49224642958641057,0.3762461273081806,218,82.02165575318337
03325,Bhadrak,378,BONTH,21-378-03325,255,0.3867444911003113,0.3646902199499841,224,81.69060926879644
03326,Bhadrak,378,CHANDABALI,21-378-03326,601,0.47048601408004764,0.3857728521647029,517,199.4445645691514
03327,Bhadrak,378,DHAMANAGAR,21-378-03327,241,0.47048601408004764,0.3702197473414702,211,78.11636668905021
03328,Bhadrak,378,TIHIDI,21-378-03328,310,0.4511806528091431,0.39842063732068045,271,107.9719927139044
