Tender ID,tender_externalreference,tender_title,Work Description,Tender Category,Tender Type,Form of contract,Product Category,Is Multi Currency Allowed For BOQ,Allow Two Stage Bidding,Independent External Monitor/Remarks,Published Date,Pre Bid Meeting Date,Bid Validity(Days),Should Allow NDA Tender,Allow Preferential Bidder,Payment Mode,Bid Opening Date,Organisation Chain,location,Pincode,No of Bids Received,Tender Value in ₹,Bidder Name,Awarded Value,Status,Contract Date :,Department
2025_ORULB_113809_26,01/KM 2025-26,Construction of Paver Block road and RCC drain with cover slab from Adela house to Eqbal house in ward No-13,Construction of Paver Block road and RCC drain with cover slab from Adela house to Eqbal house in ward No-13,Works,Open Tender,Percentage,Civil Works - Others,No,No,NA ,28-May-2025 11:00 AM,NA ,120.0,No ,No,Online,11-Jun-2025 11:00 AM,Municipal Bodies||Kendrapara Municipality,kendrapara municipality,754211.0,1.0,"6,00,258",JAYASHREE MOHAPATRA,"600,197.97",Rejected-Finance,22-Aug-2025,Municipal Bodies||Kendrapara Municipality
2025_CELBB_114118_12,SEPRD-04/2025-26,"Removal of sand soul of Kakatpur Branch Canal near village Jaripada, Sainda and Khandeita",maintenance work,Works,Open Tender,Percentage,Civil Works - Canal,No,No,NA ,05-Jun-2025 10:00 AM,NA ,90.0,No ,No,Online,17-Jun-2025 11:00 AM,"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Prachi Division,Bhubaneswar",pratapnagari,753011.0,1.0,"6,52,538",ABAKASH KUMAR SAMAL,"554,723",Rejected-Technical,08-Aug-2025,"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Prachi Division,Bhubaneswar"
2024_CERWI_108824_5,RWCCESNG-14 OF 2024-25,PR-SNG-05 OF 2024-25,PR-SNG-05 OF 2024-25,Works,National Competitive Bid,Percentage,Civil Works - Roads,No,No,NA ,10-Jan-2025 06:00 PM,NA ,90.0,No ,No,Online,27-Jan-2025 11:00 AM,CE RW I||RW-CIRCLE-SUNDARGARH,Sundargarh,770020.0,2.0,"2,47,77,168",SUDHIR KUMAR SAIDEO,"21,063,070.78",Rejected-Finance,02-Aug-2025,CE RW I||RW-CIRCLE-SUNDARGARH
2025_ORULB_113809_32,01/KM 2025-26,Construction of Community Toilet and Boundary wall at- Fakirabad Masjid in ward No-16,Construction of Community Toilet and Boundary wall at- Fakirabad Masjid in ward No-16,Works,Open Tender,Percentage,Civil Works - Others,No,No,NA ,28-May-2025 11:00 AM,NA ,120.0,No ,No,Online,11-Jun-2025 11:00 AM,Municipal Bodies||Kendrapara Municipality,kendrapara municipality,754211.0,1.0,"6,71,080",MD SHAWEZ ZAMAN,"667,724.61",Accepted-AOC,17-Aug-2025,Municipal Bodies||Kendrapara Municipality
2024_CERWI_108727_9,Road Online N.C.B. No-360,Construction of Road from Satipur to Makunda Road under MMSY-TRIP in the District of Mayurbhanj for the year 2024-25.,Construction of Road from Satipur to Makunda Road under MMSY-TRIP in the District of Mayurbhanj for the year 2024-25.,Works,National Competitive Bid,Percentage,Civil Works - Roads,No,No,NA ,24-Dec-2024 05:00 PM,NA ,90.0,No ,No,Online,07-Jan-2025 11:00 AM,CE RW I||RWCIRCLE-BARIPADA,"SERW Division, Baripada",757002.0,2.0,"2,03,12,000",KIRAN KUMAR DAS,"17,267,377",Rejected-AOC,10-Jun-2025,CE RW I||RWCIRCLE-BARIPADA
2024_CEMIB_106269_2,Identification No-08 MID (ANP/2024-25),Improvement to Manjuribahal MIP in Ghasipura block of Keonjhar district under DPIW scheme for the year 2024-25,Improvement to Manjuribahal MIP in Ghasipura block of Keonjhar district under DPIW scheme for the year 2024-25,Works,Open Tender,Percentage,Civil Works - Others,No,No,NA ,01-Nov-2024 02:00 PM,NA ,90.0,No ,No,Online,16-Nov-2024 11:00 AM,"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||M I Division Anandapur",GHASIPURA,758020.0,1.0,"25,00,000",MRUTYUNJAY JENA,"947,982.34",Rejected-Finance,05-Dec-2024,"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||M I Division Anandapur"
2025_CELBB_113941_33,e-Procurement Notice No.- 01 of 2025-26,NID-33- Improvement to Ashapuran Minor from RD 0.00Km. to 5.000Km.,Improvement to Ashapuran Minor from RD 0.00Km. to 5.000Km.,Works,Open Tender,Percentage,Civil Works - Canal,No,No,NA ,02-Jun-2025 11:00 AM,NA ,90.0,No ,No,Online,16-Jun-2025 11:00 AM,"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Nimapada Irr Division, Nimapada",Nimapara,752106.0,1.0,"1,91,928",AMRUT CONSTRUCTION & ENGINEERING SERVICES,"163,158",Rejected-Finance,22-Aug-2025,"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Nimapada Irr Division, Nimapada"
2024_ORULB_107718_1,48923/dt-28/11/2024,"RFP for Selection of an Independent Energy Auditor for Execution, Monitoring, Quality Control and Energy Audit activities in connection with the Streetlight Project in BMC Area","RFP for Selection of an Independent Energy Auditor for Execution, Monitoring, Quality Control and Energy Audit activities in connection with the Streetlight Project in BMC Area",Services,Open Tender,Item Rate,Consultancy Services,No,No,NA ,30-Nov-2024 03:00 PM,06-Dec-2024 04:00 PM ,180.0,No ,No,Online,23-Dec-2024 04:30 PM,Municipal Bodies||Bhubaneswar Municipal Corporation,BMC AREA,751022.0,2.0,0.0,Audittech Industrial Services Private Limited,"3,380,000",Accepted-AOC,12-Aug-2025,Municipal Bodies||Bhubaneswar Municipal Corporation
2025_CERWI_112882_10,EERWPH-01/2025-26,"PH works (SI,SD AND WS) to Construction of Sub centre building at Kerbeda of Patnagarh block in Balangir Dist under State Plan-MMSSM in the F.Y.-2023-24.","PH works (SI,SD AND WS) to Construction of Sub centre building at Kerbeda of Patnagarh block in Balangir Dist under State Plan-MMSSM in the F.Y.-2023-24.",Works,Open Tender,Percentage,Civil Works - Buildings,No,No,NA ,03-May-2025 11:00 AM,NA ,90.0,No ,No,Online,14-May-2025 11:00 AM,CE RW I||SE RW PH CIRCLE BBSR||EE RW PH DIVN. BBSR,Kerbeda,767027.0,1.0,"7,05,004",GOURI MEHER,"599,324",Rejected-Finance,29-Jul-2025,CE RW I||SE RW PH CIRCLE BBSR||EE RW PH DIVN. BBSR
2025_KIRRD_110670_30,e-Procurement Notice No.KID-04 of 2024-25,KID-128 of 2024-25 Improvement to right bank service road RD 00 m to 1000 M on Disty.no.2 of G.E Canal.,Improvement to service road,Works,Open Tender,Percentage,Civil Works - Canal,No,No,NA ,15-Feb-2025 10:00 AM,NA ,90.0,No ,No,Online,25-Feb-2025 11:00 AM,CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||Kendrapara Irr Div Kendrapara,Kendrapara,754211.0,1.0,"7,67,700",AJIT NAYAK,"652,621.77",Rejected-Technical,31-Aug-2025,CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||Kendrapara Irr Div Kendrapara
