object_id,total_tender_awarded_value
21-371-03407,4933333.0
21-372-03564,7203117.0
21-375-03443,2277169.0
21-376-03488,7642438.0
21-376-03498,4210642.0
21-377-03302,85649230.0
21-377-03303,36391004.0
21-377-03308,3674592.0
21-381-03335,40434957.0
21-384-03276,986963.0
21-384-03277,5704481.0
21-384-03278,47144482.0
21-384-03280,4178985.0
21-386-03460,35045117.0
21-388-03364,7598093.0
21-388-03366,45012166.88
21-388-03367,50112559.79
21-388-03368,829801.0
21-388-03371,5309131.0
21-388-03373,10208669.0
21-388-03374,42223270.0
21-388-03375,6246771.0
21-388-03376,43715123.72
21-388-03380,642492.0
21-388-03381,106112978.65
21-388-03383,86236971.92999999
21-388-03384,23967554.0
21-388-03385,3296039.0
21-389-03361,35994400.47
21-391-03329,30090453.0
21-391-03330,18320905.0
21-391-03331,10665860.0
21-392-03567,21345666.0
21-396-03557,11593658.41
21-398-03468,676413.0
21-398-03470,379287.0
21-398-03472,716155.0
21-398-03477,16989097.0
21-399-03483,20614509.0
