Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"Chief Engineer Mech - WR Bhubaneswar||SE, Mechanical, MIP, Hirakud||EE, Stores and Mech Divn, Hirakud",SE/MDH-20-2022-23,2023_CEMWR_86954_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,300",No,fixed,,Nil,Nil,1.0,ICICI BANK,"Fabrication, Supply and Erection of 2Nos. Scouring Sluice Gates and its accessories of Majhipada Check Dam in Kantamal Block under Superintending Engineer, Minor Irrigation Division, Boudh for the Year 2022-23","Fabrication, Supply and Erection of 2Nos. Scouring Sluice Gates and its accessories of Majhipada Check Dam in Kantamal Block under Superintending Engineer, Minor Irrigation Division, Boudh for the Year 2022-23",Please refer Tender documents. ,NA ,,Mechanical Works,NA ,Tender,90.0,60.0,"Kantamal Block,Boudh",762017.0,NA ,NA ,NA ,"O/O SE,Mech.Division Hirakud",No ,No,18-Mar-2023 03:00 PM,31-Mar-2023 11:00 AM,18-Mar-2023 03:00 PM,29-Mar-2023 05:30 PM,18-Mar-2023 03:00 PM ,29-Mar-2023 05:30 PM ,18-Mar-2023 03:00 PM,29-Mar-2023 05:30 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,Tender Call Notice,Superintending Engineer,"O/O SE,Mech.Division Hirakud","4,000",0.0,Nil,Nil,No,AOC,"Jayanta Kumar Dey,SEM",Internal,,Jayanta Kumar Dey,05-Apr-2023 06:23 PM,techsummary_431219.pdf (208.14 KB),1.0,2102764.0,"M/S PRITI ENGINEERING, PROP. PINKY DEVI JAIN",INR,"530,237","Chief Engineer Mech - WR Bhubaneswar||SE, Mechanical, MIP, Hirakud||EE, Stores and Mech Divn, Hirakud",2023_CEMWR_86954_1,SE/MDH-20-2022-23,"Fabrication, Supply and Erection of 2Nos. Scouring Sluice Gates and its accessories of Majhipada Check Dam in Kantamal Block under Superintending Engineer, Minor Irrigation Division, Boudh for the Year 2022-23",1,2104460,"ACHYUTA NANDA SWAIN ,PROPRIETOR M/S. ADITYA ENTERPRISER.",27-Mar-2023 11:50 PM,Rejected-AOC,Not qualified in the lottery process,01-Jun-2023 07:04 PM,"Jayanta Kumar Dey,SEM",Internal,,Jayanta Kumar Dey,05-Apr-2023 06:34 PM,finsummary_431219.pdf (390.76 KB),Finance,"Accepted Bids-25nos, Rejected Bids-Nil",Jayanta Kumar Dey,04-Apr-2023 01:50 PM,finance_431219.pdf,BOQ Comparative Chart,15-May-2023,"INR 530,237",60.0,Jayanta Kumar Dey,01-Jun-2023 07:01 PM,AOC-20-5.pdf (1660.00 KB),"The 1st Lowest Bidder M/S Priti Engineering,Kalahandi is awarded the contract",AOC
,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"RC,GST,PAN,EPF,ESI AND ALL OTHER DOCUMENTS AS PER DTCN",,,,,,,,AOC,,,,,,,,,,,,,,,,2,2104175,ALBINO ENTERPRISERS,26-Mar-2023 04:22 PM,Rejected-AOC,Not qualified in the lottery process,01-Jun-2023 07:04 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,AOC,,,,,,,,,,,,,,,,3,2105300,BASUDEV PANIGRAHI,27-Mar-2023 11:30 PM,Rejected-AOC,Not qualified in the lottery process,01-Jun-2023 07:04 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,4,2106092,DASH ENTERPRISERS PROP.RAJEEB LOCHAN DASH,28-Mar-2023 07:26 PM,Rejected-AOC,Not qualified in the lottery process,01-Jun-2023 07:04 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,5,2104133,LAXMIDHRA BHUYAN,29-Mar-2023 12:05 PM,Rejected-AOC,Not qualified in the lottery process,01-Jun-2023 07:04 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,6,2100982,Manashi Dash (Prop - M/s. Babby Engg. & Works),25-Mar-2023 07:24 PM,Rejected-AOC,Not qualified in the lottery process,01-Jun-2023 07:04 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,7,2104762,Md Yousuf Hussain,27-Mar-2023 01:19 PM,Rejected-AOC,Not qualified in the lottery process,01-Jun-2023 07:04 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,8,2103224,M/S Abirvab Steel Product,28-Mar-2023 09:21 PM,Rejected-AOC,Not qualified in the lottery process,01-Jun-2023 07:04 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,9,2100608,M/s. ASHIRBAD INDUSTRIES Prp. PRAKASH CHANDRA LENKA,25-Mar-2023 03:49 PM,Rejected-AOC,Not qualified in the lottery process,01-Jun-2023 07:04 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,10,2102832,M/S Ashreebad Fabricators,28-Mar-2023 04:02 PM,Rejected-AOC,Not qualified in the lottery process,01-Jun-2023 07:04 PM,,,,,,,,,,,,,,,,,,,,AOC
