Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"EXECUTION OF 2 NOS. RETROFITTING 40 LPCD RPWS SCHEMES CLUBBED UP AT 1. BHANDARIPALI, 2. R.R.PUR OF JALESWAR BLOCK IN BALASORE DISTRICT WITH 5 YRS OM-JJM",RPWS WITH RCC ESR,Please refer Tender documents. ,NA ,"3,26,10,086",Civil Works - Water Works,NA ,Tender,180.0,330.0,BALASORE,756001.0,O/O SE RWSS DIVISION BALASORE ,O/O SE RWSS DIVISION BALASORE ,03-Jun-2023 11:00 AM ,O/O SE RWSS DIVISION BALASORE,No ,No,1.0,ICICI BANK,O/O SE RWSS DIVISION BALASORE,O/O SE RWSS DIVISION BALASORE,"3,26,101",Yes,percentage,1.0%,Nil,Nil,Rural Water Supply and Sanitation||RWSS Circle Cuttack||RWSS Balasore,TCN No. 07 dt. 25.05.2023,2023_RWSS_89463_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"BID COST, BID SECURITY, GST, PAN, CRC AND AFFIDAVIT",01-Jun-2023 10:00 AM,17-Jun-2023 11:00 AM,01-Jun-2023 10:00 AM,16-Jun-2023 05:00 PM,01-Jun-2023 10:00 AM ,12-Jun-2023 03:00 PM ,01-Jun-2023 10:00 AM,16-Jun-2023 05:00 PM,25-Aug-2023 09:00 AM,AOC,"Er. Ratnakar Sial, ACE",External,"Er Samir Ch De, SE, Er C Sethi, AE, Er P.N.Behera, AEE and Sri J. Guha, DAO",Paramananda Behera,24-Aug-2023 08:54 PM,25-Aug-2023 09:00 AM,techsummary_439680.pdf (528.98 KB),1,2161513,AMIT KUMAR DAS,16-Jun-2023 04:41 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,24-Aug-2023 08:41 PM,1.0,2161307.0,BENUDHARA SETHI,INR,"29,179,505",06-Oct-2023,"INR 29,179,505",330.0,Samir Chandra De,06-Oct-2023 04:28 PM,Bhandarpali.pdf (1205.00 KB),Aoc,Finance,11 nos financial bids are opened for evaluation,Paresh Chandra Tudu,25-Aug-2023 10:32 AM,finance_439680.pdf,BOQ Comparative Chart,Rural Water Supply and Sanitation||RWSS Circle Cuttack||RWSS Balasore,2023_RWSS_89463_1,TCN No. 07 dt. 25.05.2023,"EXECUTION OF 2 NOS. RETROFITTING 40 LPCD RPWS SCHEMES CLUBBED UP AT 1. BHANDARIPALI, 2. R.R.PUR OF JALESWAR BLOCK IN BALASORE DISTRICT WITH 5 YRS OM-JJM","Er. R.Sial, ACE",External,"Er. S.C.De, SE, Er P.N.Behera, AEE, Er C.Sethi, AE, Sri J.Guha, DAO",Paramananda Behera,08-Sep-2023 05:01 PM,finsummary_439680.pdf (567.68 KB),Technical,".Out of 17 bids, 11 bids are to be qualified in technical evaluation",Paramananda Behera,24-Aug-2023 08:41 PM,technical_439680.pdf,AOC
,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,OTHER DOCUMENTS AS PER DTCN,,,,,,,,,,AOC,,,,,,,,2,2161384,BATA KRUSHNA ROUT,16-Jun-2023 04:11 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,24-Aug-2023 08:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,AOC,,,,,,,,3,2161307,BENUDHARA SETHI,16-Jun-2023 12:32 PM,Accepted-AOC,AoC,06-Oct-2023 04:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,2160480,BICHITRA KUMAR JENA,16-Jun-2023 10:25 AM,Rejected-AOC,Cancelled,06-Oct-2023 04:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,2159552,Durga Shankar Mohapatra,13-Jun-2023 01:58 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,24-Aug-2023 08:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,2159396,JAGANNATH DAS,16-Jun-2023 02:52 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,24-Aug-2023 08:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,2160797,MANASA RANJAN BISWAL,16-Jun-2023 11:15 AM,Rejected-AOC,Cancelled,06-Oct-2023 04:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,2160756,MILAN PANDA,16-Jun-2023 03:50 PM,Rejected-AOC,Cancelled,06-Oct-2023 04:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,2161169,Pradipta Kishore Chand,16-Jun-2023 11:03 AM,Rejected-AOC,Cancelled,06-Oct-2023 04:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,2160636,PRIYADARSHANEE ANUSHMITA PANDA,15-Jun-2023 03:53 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,24-Aug-2023 08:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
