Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"SUPERINTENDING ENGINEER, R.W.DIVISION,JAJPUR","RURAL WORKS DIVISION,JAJPUR",S/R to Tahasil office Building at Sukinda for the Year 2024-25 in the Dist. of Jajpur.,S/R to Tahasil office Building at Sukinda for the Year 2024-25 in the Dist. of Jajpur.,Please refer Tender documents. ,NA ,"4,20,024",Civil Works - Buildings,NA ,Tender,90.0,30.0,JAJPUR,755007.0,NA ,NA ,NA ,"RURAL WORKS DIVISION,JAJPUR",No ,No,26-Nov-2024 03:30 PM,05-Dec-2024 11:30 AM,26-Nov-2024 03:30 PM,04-Dec-2024 05:00 PM,26-Nov-2024 03:30 PM ,03-Dec-2024 05:00 PM ,26-Nov-2024 03:30 PM,04-Dec-2024 05:00 PM,CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-JAJPUR,Tender Online 05 JJPT OF 2024-25,2024_CERWI_107552_9,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC,PAN,GSTN,Tender Cost,EMD,Affidavit and Other Documents as per DTCN","2,000",0.0,Nil,Nil,No,"4,500",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,AOC,CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-JAJPUR,2024_CERWI_107552_9,Tender Online 05 JJPT OF 2024-25,S/R to Tahasil office Building at Sukinda for the Year 2024-25 in the Dist. of Jajpur.,EXECUTIVE ENGINEER,Internal,"DAO, ESTIMATOR",Gyanaranjan Nayak,10-Jun-2025 10:02 AM,finsummary_517868.pdf (358.73 KB),Finance,17 Nos Bidders Participated,Gyanaranjan Nayak,07-Dec-2024 02:03 PM,,BOQ Comparative Chart,1.0,2681490.0,RASHMITA PRADHAN,INR,"357,062.76",1,2680421,ANIL KUMAR SAMANTARAY,04-Dec-2024 01:39 PM,Rejected-AOC,Not Qualify,10-Jun-2025 10:08 AM,10-Jun-2025,"INR 357,062.76",30.0,Gyanaranjan Nayak,10-Jun-2025 10:08 AM,05.pdf (359.00 KB),AWARD OF CONTRACT,EXECUTIVE ENGINEER,Internal,"DAO,ESTIMATOR",Gyanaranjan Nayak,04-Jun-2025 11:05 AM,techsummary_517868.pdf (527.66 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,2,2679748,BIJENDRA BISWAL,03-Dec-2024 09:19 PM,Rejected-AOC,Not Qualify,10-Jun-2025 10:08 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,2677809,DILLIP KUMAR MALLIK,03-Dec-2024 11:08 AM,Rejected-AOC,Not Qualify,10-Jun-2025 10:08 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,2674943,DIPAK KUMAR RANA,03-Dec-2024 09:00 AM,Rejected-AOC,Not Qualify,10-Jun-2025 10:08 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,2680286,DIPTIMAYI SAHOO,04-Dec-2024 10:08 AM,Rejected-AOC,Not Qualify,10-Jun-2025 10:08 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,2679489,JHARANA SAHOO,03-Dec-2024 07:26 PM,Rejected-AOC,Not Qualify,10-Jun-2025 10:08 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,2680607,KAMALAKANTA JENA,04-Dec-2024 12:04 PM,Rejected-AOC,Not Qualify,10-Jun-2025 10:08 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,2679894,KSHIROD KUMAR BARIK,03-Dec-2024 09:24 PM,Rejected-AOC,Not Qualify,10-Jun-2025 10:08 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,2677355,MALAYA ROUT,02-Dec-2024 09:37 PM,Rejected-AOC,Not Qualify,10-Jun-2025 10:08 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,2681268,M/S JMJ ENTERPRISES,04-Dec-2024 02:36 PM,Rejected-AOC,Not Qualify,10-Jun-2025 10:08 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,11,2681606,PADMANAV MALLICK,04-Dec-2024 04:22 PM,Rejected-AOC,Not Qualify,10-Jun-2025 10:08 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,12,2681317,PRAJNA PARAMITA BARIK,04-Dec-2024 02:57 PM,Rejected-AOC,Not Qualify,10-Jun-2025 10:08 AM,,,,,,,,,,,,,,AOC
