Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"10,000",0.0,Nil,Nil,No,07-Jan-2025 06:00 PM,21-Jan-2025 11:00 AM,07-Jan-2025 06:00 PM,20-Jan-2025 05:00 PM,07-Jan-2025 06:00 PM ,18-Jan-2025 05:00 PM ,07-Jan-2025 06:00 PM,20-Jan-2025 05:00 PM,25-Mar-2025 11:00 AM,"7,86,100",Yes,percentage,1.0%,Nil,Nil,"Improvement to Badmouda - Hatia (0/0 to 3.493)K.M, Badmouda - Gorumohisani Road(0/0 to 3.05)K.M under MMSY- Improvement to Existing RD Road in the District of Mayurbhanj for the year 2024-25.","Improvement to Badmouda - Hatia (0/0 to 3.493)K.M, Badmouda - Gorumohisani Road(0/0 to 3.05)K.M under MMSY- Improvement to Existing RD Road in the District of Mayurbhanj for the year 2024-25.",Please refer Tender documents. ,NA ,"7,86,10,000",Civil Works - Roads,NA ,Tender,90.0,365.0,"SERW Division, Rairangpur",757043.0,NA ,NA ,NA ,CCE RWC Baripada,No ,No,CCE RWC Baripada,CCE RWC Baripada,1.0,ICICI BANK,CE RW I||RWCIRCLE-BARIPADA,Road Online N.C.B. No-361,2025_CERWI_109110_9,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Paper cost, RC, PAN, GSTIN and EMD etc as per DTCN",AOC,21-Jun-2025,"INR 66,825,357",365.0,Akshaya Kumar Naik,21-Jun-2025 12:07 PM,Badmouda.pdf (208.00 KB),1,2765311,ANUP BUILDERS,20-Jan-2025 12:15 PM,Rejected-AOC,L1,21-Jun-2025 12:07 PM,"CCERWCIRCLE, BARIPADA",Internal,,Ashwani Pradhan,21-Mar-2025 06:21 PM,25-Mar-2025 11:00 AM,techsummary_524030.pdf (1309.89 KB),Finance,08 nos of bidders admitted,Akshaya Kumar Naik,21-Jun-2025 11:59 AM,,BOQ Comparative Chart,CE RW I||RWCIRCLE-BARIPADA,2025_CERWI_109110_9,Road Online N.C.B. No-361,"Improvement to Badmouda - Hatia (0/0 to 3.493)K.M, Badmouda - Gorumohisani Road(0/0 to 3.05)K.M under MMSY- Improvement to Existing RD Road in the District of Mayurbhanj for the year 2024-25.",Technical,10 Nos of bidders participated,Ashwani Pradhan,21-Mar-2025 05:46 PM,,"CCERWCIRCLE, BARIPADA",Internal,,Akshaya Kumar Naik,21-Jun-2025 12:03 PM,finsummary_524030.pdf (1064.43 KB),1.0,2765780.0,SANAT KUMAR GHOSE,INR,"66,825,357",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.pdf,"ATO, similar nature of work experience etc as per DTCN",AOC,,,,,,,2,2758966,BIJAYA NANDA MANDAL,17-Jan-2025 12:37 PM,Rejected-AOC,L1,21-Jun-2025 12:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machineries, Affidavit etc as per DTCN",AOC,,,,,,,3,2764313,Harihara Giri,19-Jan-2025 11:28 AM,Rejected-AOC,L1,21-Jun-2025 12:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,AOC,,,,,,,4,2765016,KISHORE KUMAR RAJAK,19-Jan-2025 08:17 PM,Rejected-Technical,Lease affidavit for Hot Mix Plant Mismatch.,21-Mar-2025 06:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,2756306,M/s Pallavi Infra Project,19-Jan-2025 06:32 PM,Rejected-AOC,L2,21-Jun-2025 12:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,2765780,SANAT KUMAR GHOSE,20-Jan-2025 12:07 PM,Accepted-AOC,L1,21-Jun-2025 12:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,2764898,sashikanta mohapatra,19-Jan-2025 07:12 PM,Rejected-AOC,L1,21-Jun-2025 12:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,2766601,SILVER CREEK CONSTRUCTIONS,20-Jan-2025 04:44 PM,Rejected-Technical,Insufficent work experience.,21-Mar-2025 06:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,2765263,SRI RABINDRA PADHY,20-Jan-2025 03:11 PM,Rejected-AOC,L1,21-Jun-2025 12:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,2747571,SRI SUBASH CHANDRA MANDAL,13-Jan-2025 05:13 PM,Rejected-AOC,L1,21-Jun-2025 12:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
