EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"78,480",Yes,fixed,,Nil,Nil,Repair and Renovation of Panthanivas in Keonjhar District,Repair and Renovation of Panthanivas in Keonjhar District,As per DTCN ,NA ,"78,48,000",Civil Works - Others,NA ,Tender,90.0,270.0,"Panthanivas, Keonjhar",758002.0,NA ,NA ,NA ,"O/o Superintending Engineer, OTDC Ltd. BBSR",No ,No,1.0,Fee/PreQual/Technical,.pdf,DTCN,"10,000","1,800",Nil,Nil,No,"Superintending Engineer, O.T.D.C Ltd","O/o Superintending Engineer, OTDC Ltd. BBSR",1.0,ICICI BANK,03-Mar-2025 09:00 AM,18-Mar-2025 11:30 AM,03-Mar-2025 09:00 AM,17-Mar-2025 05:00 PM,NA ,NA ,03-Mar-2025 09:00 AM,17-Mar-2025 05:00 PM,04-Apr-2025 03:10 PM,Odisha Tourism Devl. Corp.,BP I/16/2024-25 Dt.17.02.2025,2025_OTDC_111265_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,Technical,Technical Bid proceeding,Subrat Kumar Jena,04-Apr-2025 01:51 PM,technical_531919.pdf,1,2857952,ALOK KUMAR SAHOO,17-Mar-2025 10:41 AM,Rejected-AOC,Fulfilled eligibility criteria,11-Jun-2025 12:54 PM,Finance,Price Bid Proceeding,Subrat Kumar Jena,29-May-2025 11:17 AM,finance_531919.pdf,BOQ Comparative Chart,S.K. BEHERA,Internal,L.SAHOOS.NAIKA.S.SWAINPKJENA,Sunil Kumar Behera,11-Jun-2025 12:48 PM,finsummary_531919.pdf (744.50 KB),11-Jun-2025,"INR 7,872,364",270.0,Sunil Kumar Behera,11-Jun-2025 12:54 PM,PNSKEONJHARWO.pdf (744.00 KB),Repair and Renovation of Panthanivas in Keonjhar District.,S.K. Behera,Internal,L.SAHOOS.NAIKA.S.SWAINSKJENA,Subrat Kumar Jena,04-Apr-2025 01:56 PM,04-Apr-2025 03:10 PM,techsummary_531919.pdf (1248.31 KB),1.0,2849507.0,SANTANU KUMAR PRADHAN,INR,"7,872,364",Odisha Tourism Devl. Corp.,2025_OTDC_111265_1,BP I/16/2024-25 Dt.17.02.2025,Repair and Renovation of Panthanivas in Keonjhar District,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other documents as per DTCN,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,2,2854006,BISWOJIT PATTANAIK,13-Mar-2025 06:51 PM,Rejected-AOC,Fulfilled eligibility criteria,11-Jun-2025 12:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,3,2859098,GANGADHAR SAHOO,17-Mar-2025 03:05 PM,Rejected-AOC,Fulfilled eligibility criteria,11-Jun-2025 12:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,4,2852255,MAHESWAR PARIDA,12-Mar-2025 03:24 PM,Rejected-AOC,Fulfilled eligibility criteria,11-Jun-2025 12:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,5,2850569,M/S DURGAMADHAB CONSTRUCTION AND INTERIOR,12-Mar-2025 01:39 PM,Rejected-AOC,Fulfilled eligibility criteria,11-Jun-2025 12:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,6,2859251,M/S SILICON INTERIORS,17-Mar-2025 03:43 PM,Rejected-AOC,Fulfilled eligibility criteria,11-Jun-2025 12:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,7,2858074,Ranjan Kumar Sethi,17-Mar-2025 01:10 PM,Rejected-AOC,Fulfilled eligibility criteria,11-Jun-2025 12:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,8,2853598,RASHMI ROY,13-Mar-2025 02:02 PM,Rejected-AOC,Fulfilled eligibility criteria,11-Jun-2025 12:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,9,2849507,SANTANU KUMAR PRADHAN,10-Mar-2025 05:13 PM,Accepted-AOC,Fulfilled eligibility criteria,11-Jun-2025 12:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,10,2857886,SISIR KUMAR NAYAK,17-Mar-2025 10:20 AM,Rejected-AOC,Fulfilled eligibility criteria,11-Jun-2025 12:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
