S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,2870717.0,BIRENDRA KUMAR PATRA,INR,"2,714,523",Finance,bid has been opened,Khagendra Barik,04-Apr-2025 06:45 PM,finance_533902.pdf,BOQ Comparative Chart,ROUPYARANJAN_BEHERA,Internal,ARJUN_MATHO_ Khagendra_Barik,Khagendra Barik,25-Jun-2025 01:19 PM,finsummary_533902.pdf (1858.26 KB),Rural Water Supply and Sanitation||RWSS Circle Bolangir||RWSS Division Bolangir,2025_RWSS_111808_11,BID NO 22 OF 2024 - 25,"Supply all materials labour T and P erection testing and commissioning of external power supply of RPWS to village Rakhiudar, Phulmunda, Barhamunda under Patnagarh Block in Balangir District",ROUPYARANJAN_BEHERA,Internal,ARJUN_MATHO_ Khagendra_Barik,Khagendra Barik,25-Jun-2025 12:57 PM,techsummary_533902.pdf (1858.26 KB),1,2869768,ASHOK CHANDRA PATRA,26-Mar-2025 07:30 PM,Rejected-Finance,AFTER TRANSPERENT OF LOTTERY,25-Jun-2025 01:19 PM,25-Jun-2025,"INR 3,193,181",45.0,Khagendra Barik,25-Jun-2025 01:24 PM,RAKHIUDAR.pdf (1858.00 KB),L1 BIDDER HAS RESPOND,AOC,21-Mar-2025 11:00 AM,29-Mar-2025 11:00 AM,21-Mar-2025 11:00 AM,28-Mar-2025 05:00 PM,NA ,NA ,21-Mar-2025 11:00 AM,28-Mar-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender paper cost, EMD, GST,PAN, Contractor Registration Certificate, Etc",EXECUTIVE ENGINEER,Superintending Engineer RWSS Division Balangir,"6,000",0.0,Nil,Nil,No,"Supply all materials labour T and P erection testing and commissioning of external power supply of RPWS to village Rakhiudar, Phulmunda, Barhamunda under Patnagarh Block in Balangir District","Supply all materials labour T and P erection testing and commissioning of external power supply of RPWS to village Rakhiudar, Phulmunda, Barhamunda under Patnagarh Block in Balangir District",please refer DTCN ,NA ,"31,93,181",Electrical Works,Electrical Works ,Tender,90.0,45.0,"Rakhiudar, Phulmunda under Patnagarh Block",767025.0,NA ,NA ,NA ,O/o Superintending Engineer RWSS Division Balangir,No ,No,"31,932",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,Rural Water Supply and Sanitation||RWSS Circle Bolangir||RWSS Division Bolangir,BID NO 22 OF 2024 - 25,2025_RWSS_111808_11,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2870717,BIRENDRA KUMAR PATRA,27-Mar-2025 06:34 PM,Accepted-AOC,AWARDED AS PER OPWD CODE,25-Jun-2025 01:24 PM,,,,,,,,AOC,,,,,,,,,,,.pdf,Other document as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2871753,ELECTRICAL CONSTRUCTION AND MAINTENANCE SERVICE,28-Mar-2025 02:15 PM,Rejected-Finance,AFTER TRANSPERENT OF LOTTERY,25-Jun-2025 01:19 PM,,,,,,,,AOC,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2872037,MAA SAMLESWARI ENGINEERING,28-Mar-2025 03:23 PM,Rejected-Finance,AFTER TRANSPERENT OF LOTTERY,25-Jun-2025 01:19 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2869944,M/S K.P. ELECTRICAL AND ENGINEERS,26-Mar-2025 09:02 PM,Rejected-Finance,AFTER TRANSPERENT OF LOTTERY,25-Jun-2025 01:19 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2871128,"M/s Ramchandi Construction, Nayagargh",27-Mar-2025 06:07 PM,Rejected-Finance,AFTER TRANSPERENT OF LOTTERY,25-Jun-2025 01:19 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2869200,M/S SAMBEET SUPPLIERS,26-Mar-2025 05:18 PM,Rejected-Finance,AFTER TRANSPERENT OF LOTTERY,25-Jun-2025 01:19 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2872086,M/S SAROJINEE POWER AND CONSTRUCTION,28-Mar-2025 02:30 PM,Rejected-AOC,REJECTED AS PER OPWD CODE,25-Jun-2025 01:24 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2870951,PABITRA ELECTRICAL WORKSHOP,28-Mar-2025 03:55 PM,Rejected-Finance,AFTER TRANSPERENT OF LOTTERY,25-Jun-2025 01:19 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2870543,PNP CONSTRUCTION,27-Mar-2025 01:04 PM,Rejected-Finance,AFTER TRANSPERENT OF LOTTERY,25-Jun-2025 01:19 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
