Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Superintending Engineer,"O/O the EE R.W.DIVISION-II,BHADRAK",1.0,ICICI BANK,"12,610",Yes,percentage,1.0%,Nil,Nil,SR to PWD Road to Mankidia for the year 2024-25 in the district of Bhadrak,SR to PWD Road to Mankidia for the year 2024-25 in the district of Bhadrak,Please refer Tender documents. ,NA ,"12,61,000",Civil Works - Roads,NA ,Tender,90.0,30.0,Bhadrak,756100.0,NA ,NA ,NA ,"O/O the EE R.W.DIVISION-II,BHADRAK",No ,No,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST, EMD,,CONTRACTOR REGISTRATION CERTIFICATE,PAN,GSTIN,AFFIDAVIT,ETC",27-Dec-2024 06:50 PM,06-Jan-2025 11:00 AM,27-Dec-2024 06:50 PM,04-Jan-2025 04:00 PM,27-Dec-2024 06:50 PM ,04-Jan-2025 03:00 PM ,27-Dec-2024 06:50 PM,04-Jan-2025 04:00 PM,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK-II,TCN 08 of 2024-25,2024_CERWI_108814_16,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,Executive Engineer,Internal,,Lambodar Naik,16-Aug-2025 03:25 PM,finsummary_522306.pdf (408.09 KB),Executive Engineer,Internal,,Lambodar Naik,16-Aug-2025 03:19 PM,techsummary_522306.pdf (283.01 KB),16-Aug-2025,"INR 1,071,537",30.0,Lambodar Naik,16-Aug-2025 03:28 PM,16.pdf (408.00 KB),CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK-II,2024_CERWI_108814_16,TCN 08 of 2024-25,SR to PWD Road to Mankidia for the year 2024-25 in the district of Bhadrak,1.0,2728854.0,LAXMIDHAR SAHOO,INR,"1,071,537",1,2727297,ABINASH BEHERA,03-Jan-2025 09:37 PM,Rejected-AOC,rejected,16-Aug-2025 03:29 PM,Finance,total 23 bidders accepted,Saraseebala Behera,10-Jan-2025 05:24 PM,,BOQ Comparative Chart,AOC
,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,OTHER DOCUMENTS AS PER DTCN,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2721330,Ajit Kumar Lenka,01-Jan-2025 10:41 PM,Rejected-AOC,rejected,16-Aug-2025 03:29 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2724331,ANNAPURNA GHOSH,03-Jan-2025 07:33 AM,Rejected-AOC,rejected,16-Aug-2025 03:29 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2723251,BAIDHAR BHARATI,02-Jan-2025 08:55 PM,Rejected-AOC,rejected,16-Aug-2025 03:29 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2727243,Basanta Kumar Barik,03-Jan-2025 10:10 PM,Rejected-AOC,rejected,16-Aug-2025 03:29 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2727472,Bidyadhar Sahoo,03-Jan-2025 11:40 PM,Rejected-AOC,rejected,16-Aug-2025 03:29 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2719879,BISHNU CHARAN MOHAPATRA,01-Jan-2025 05:08 PM,Rejected-AOC,rejected,16-Aug-2025 03:29 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2724778,Chitaranjan Nayak,03-Jan-2025 11:11 AM,Rejected-AOC,rejected,16-Aug-2025 03:29 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2728629,Damodar Nayak,04-Jan-2025 02:30 PM,Rejected-AOC,rejected,16-Aug-2025 03:29 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2726099,Debakanta Sahoo,04-Jan-2025 12:51 AM,Rejected-AOC,rejected,16-Aug-2025 03:29 PM,,,,,,,AOC
