EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"19,600",Yes,fixed,,Nil,Nil,Superintending Engineer,"O/o the SE, Jajpur Irrigation Division, Jajpur",JJPR-7/24-25 Restoration to sriganga OAE of left bank near village Sriganga.,Canal improvement,Please refer Tender documents. ,NA ,"19,51,261",Civil Works - Canal,NA ,Tender,90.0,180.0,Akhuapada,756122.0,NA ,NA ,NA ,"O/o the SE, Jajpur Irrigation Division, Jajpur",No ,No,CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||Jajpur Irrigation Division,e-Procurement Notice No.17/ 2024-25,2025_CDJID_111675_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,13-Mar-2025 03:00 PM,25-Mar-2025 11:30 AM,13-Mar-2025 03:00 PM,24-Mar-2025 05:00 PM,13-Mar-2025 03:00 PM ,19-Mar-2025 05:00 PM ,13-Mar-2025 03:00 PM,24-Mar-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN, GSTIN, RC, Documents related to EMD exemption",1.0,ICICI BANK,"6,000",Nil,Nil,No,AOC,CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||Jajpur Irrigation Division,2025_CDJID_111675_6,e-Procurement Notice No.17/ 2024-25,JJPR-7/24-25 Restoration to sriganga OAE of left bank near village Sriganga.,"Superintending Engineer, Jajpur Irrigation Division",Internal,"Estimator and DAO, Jajpur Irrigation Division",Ratnakar Dalai,19-Aug-2025 03:20 PM,finsummary_533150.pdf (446.70 KB),Finance,Uploaded tender documents of all the bidders have been downloaded successfully.,Sarat Chandra Ghadei,25-Mar-2025 08:55 PM,finance_533150.pdf,BOQ Comparative Chart,1.0,2866678.0,SANJAY KUMAR MOHANTY,INR,"1,658,767.1",1,2864949,ABINASH BEHERA,24-Mar-2025 02:49 PM,Rejected-Technical,Does not satisfy as per DTCN,19-Aug-2025 03:18 PM,19-Aug-2025,"INR 1,658,767.1",180.0,Ratnakar Dalai,19-Aug-2025 03:21 PM,17_7.pdf (447.00 KB),Contract Awarded,"Superintending Engineer, Jajpur Irrigation Division",Internal,"Estimator and DAO, Jajpur Irrigation Division",Ratnakar Dalai,19-Aug-2025 03:18 PM,techsummary_533150.pdf (446.70 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavits, No Relation Certificate, undertakings and any other documents as per SBD/DTCN",2.0,ICICI NEFT/RTGS,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2864070,ARJUN MOHARANA,21-Mar-2025 07:43 PM,Rejected-Technical,Does not satisfy as per DTCN,19-Aug-2025 03:18 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,2864024,BAIDHAR BHARATI,21-Mar-2025 08:01 PM,Rejected-Technical,Does not satisfy as per DTCN,19-Aug-2025 03:18 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,2865636,BHABESH KUMAR NAYAK,24-Mar-2025 07:43 AM,Rejected-Technical,Does not satisfy as per DTCN,19-Aug-2025 03:18 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,2866434,BHARATI BEHERA,24-Mar-2025 12:57 PM,Rejected-Technical,Does not satisfy as per DTCN,19-Aug-2025 03:18 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,2866078,BIRANCHINARAYAN ROUT,24-Mar-2025 10:02 AM,Rejected-Technical,Does not satisfy as per DTCN,19-Aug-2025 03:18 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,2863845,Damodar Nayak,21-Mar-2025 04:18 PM,Rejected-Technical,Does not satisfy as per DTCN,19-Aug-2025 03:18 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,2860889,Gangadhar Panigrahi,18-Mar-2025 12:09 PM,Rejected-Technical,Does not satisfy as per DTCN,19-Aug-2025 03:18 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,2863382,Kailash Chandra Biswal,21-Mar-2025 12:40 PM,Rejected-Technical,Does not satisfy as per DTCN,19-Aug-2025 03:18 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,2863126,LAXMIDHAR SAHOO,22-Mar-2025 10:59 PM,Rejected-Technical,Does not satisfy as per DTCN,19-Aug-2025 03:18 PM,,,,,,,,,,,,,,AOC
