Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
"SUPERINTENDING ENGINEER, MND-I, JAGATPUR","O/O THE SUPERINTENDING ENGINEER, MND-I, JAGATPUR",1.0,ICICI BANK,25-Apr-2025 10:00 AM,06-May-2025 11:30 AM,25-Apr-2025 10:00 AM,05-May-2025 05:30 PM,25-Apr-2025 10:00 AM ,01-May-2025 05:30 PM ,25-Apr-2025 10:00 AM,05-May-2025 05:30 PM,"23,800",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST,EMD,PAN,GSTIN,RC,NRC, AFFIDAVIT AND OTHER DOCUMENTS AS PER DTCN","6,000",0.0,Nil,Nil,No,"CE-BM,LMB Basin,BBSR||SE, Eastern Circle,Cuttack||EE, Mahanadi North Division,Jagatpur",MND-03/2025-26,2025_CELBB_112771_24,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,Restoration to Disty No-4C and Disty No-4 with its system of K.Canal for the year 2025-26,Restoration to Disty No-4C and Disty No-4 with its system of K.Canal for the year 2025-26,Please refer Tender documents. ,NA ,"23,78,110",Civil Works - Others,NA ,Tender,90.0,240.0,KENDUPATNA,754021.0,NA ,NA ,NA ,"O/O THE SUPERINTENDING ENGINEER, MND-I, JAGATPUR",No ,No,AOC,ER. SANDEEP KUMAR,Internal,,Rosalin Mohanty,05-Aug-2025 11:29 PM,techsummary_537422.pdf (1105.94 KB),ER. SANDEEP KUMAR,Internal,,Sandeep Kumar,15-Aug-2025 06:58 PM,finsummary_537422.pdf (1105.85 KB),Finance,25 nos. bidders are participated.,Sandeep Kumar,13-May-2025 02:01 PM,,BOQ Comparative Chart,1,2906597,ADITYA KUMAR DAS,05-May-2025 05:27 PM,Rejected-Finance,NOT SELECTED IN LOTTERY,15-Aug-2025 06:58 PM,1.0,2902484.0,RAKESH KUMAR SINGH,INR,"2,021,631","CE-BM,LMB Basin,BBSR||SE, Eastern Circle,Cuttack||EE, Mahanadi North Division,Jagatpur",2025_CELBB_112771_24,MND-03/2025-26,Restoration to Disty No-4C and Disty No-4 with its system of K.Canal for the year 2025-26,15-Aug-2025,"INR 2,021,631",240.0,Sandeep Kumar,15-Aug-2025 10:32 PM,24.pdf (399.00 KB),AOC
,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,2905041,BIJAY KUMAR PARIDA,05-May-2025 01:35 PM,Rejected-Finance,NOT SELECTED IN LOTTERY,15-Aug-2025 06:58 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,2904224,CHANDAN KUMAR JENA,05-May-2025 11:11 AM,Rejected-Finance,NOT SELECTED IN LOTTERY,15-Aug-2025 06:58 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4,2906446,GAGAN KUMAR BEHURA,05-May-2025 04:21 PM,Rejected-Finance,NOT SELECTED IN LOTTERY,15-Aug-2025 06:58 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,5,2905385,GIRIJA PRASAD SWAIN,04-May-2025 09:07 PM,Rejected-Finance,NOT SELECTED IN LOTTERY,15-Aug-2025 06:58 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,6,2905581,JN ASSOCIATES,05-May-2025 09:15 AM,Rejected-Finance,NOT SELECTED IN LOTTERY,15-Aug-2025 06:58 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,7,2905295,KABITA BEHERA,04-May-2025 08:04 PM,Rejected-Finance,NOT SELECTED IN LOTTERY,15-Aug-2025 06:58 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,8,2903813,LOKANATH KHATOI,02-May-2025 01:42 PM,Rejected-Finance,NOT SELECTED IN LOTTERY,15-Aug-2025 06:58 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,9,2904810,MAHESWAR BEHURA,04-May-2025 12:34 PM,Rejected-Finance,NOT SELECTED IN LOTTERY,15-Aug-2025 06:58 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,10,2906194,MANAS RANJAN SAHOO,05-May-2025 02:31 PM,Rejected-Finance,NOT SELECTED IN LOTTERY,15-Aug-2025 06:58 PM,,,,,,,,,,,,,,,,AOC
