S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,2964873.0,NIRUPAMA BEHERA,INR,"1,230,891","CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Prachi Division,Bhubaneswar",2025_CELBB_114118_13,SEPRD-04/2025-26,Restoration to Badakhalgaon Minor from RD. 2.50Km. to 5.00Km.,1,2969636,ASHOK KUMAR PATRA,16-Jun-2025 04:28 PM,Rejected-Technical,not selected through lottery,22-Jul-2025 12:24 PM,03-Sep-2025,"INR 1,230,891",120.0,Raghunath Swain,03-Sep-2025 11:37 AM,13.PDF (154.00 KB),Finance,TENDER OPENED,Swosti Elora Pattnaik,17-Jun-2025 06:22 PM,,BOQ Comparative Chart,"SE Prachi Division, Bhubaneswar",Internal,,Raghunath Swain,22-Jul-2025 12:28 PM,finsummary_541952.pdf (239.81 KB),"SE Prachi Division, Bhubaneswar",Internal,,Raghunath Swain,22-Jul-2025 12:24 PM,techsummary_541952.pdf (239.81 KB),AOC,Superintending Engineer prachi division,"Superintending Engineer Prachi Division, Bhubaneswar",1.0,ICICI BANK,05-Jun-2025 10:00 AM,17-Jun-2025 11:00 AM,05-Jun-2025 10:00 AM,16-Jun-2025 05:30 PM,NA ,NA ,05-Jun-2025 10:00 AM,16-Jun-2025 05:30 PM,Restoration to Badakhalgaon Minor from RD. 2.50Km. to 5.00Km.,restoration work,Please refer Tender documents. ,NA ,"14,47,937",Civil Works - Canal,NA ,Tender,90.0,NA ,pratapnagari,753011.0,NA ,NA ,NA ,SE PRACHI DIVISION,No ,No,"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Prachi Division,Bhubaneswar",SEPRD-04/2025-26,2025_CELBB_114118_13,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"14,500",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Contractor R.C, PAN, GSTIN, Affidavits, NRC, undertaking and any other documents as per SBD/DTCN","6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,2,2961369,BIRANCHI NARAYAN PATRA,12-Jun-2025 08:37 PM,Rejected-Technical,not selected through lottery,22-Jul-2025 12:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,AOC
,,,,,,,,,3,2968987,DEEPAK ROUTRAY,16-Jun-2025 02:00 PM,Rejected-Technical,not selected through lottery,22-Jul-2025 12:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,2966880,Gopal Prasad Das,15-Jun-2025 01:08 PM,Rejected-Technical,not selected through lottery,22-Jul-2025 12:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,2966209,JAYASHREE BEHERA,13-Jun-2025 09:12 PM,Rejected-Technical,not selected through lottery,22-Jul-2025 12:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,2964201,JHARANA DASH,12-Jun-2025 03:19 PM,Rejected-Technical,not selected through lottery,22-Jul-2025 12:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,2963184,KHIROD KUMAR SWAIN,13-Jun-2025 08:22 PM,Rejected-Technical,not selected through lottery,22-Jul-2025 12:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,2961448,LINGARAJ PRADHAN,11-Jun-2025 01:39 PM,Rejected-Technical,not selected through lottery,22-Jul-2025 12:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,2967451,MANAS LENKA,15-Jun-2025 04:18 PM,Rejected-Technical,not selected through lottery,22-Jul-2025 12:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,2964873,NIRUPAMA BEHERA,13-Jun-2025 02:28 PM,Accepted-AOC,Selected through Lottery,03-Sep-2025 11:37 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
