S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Tender Stage
1.0,3072400.0,S.K. INFRA PROJECTS,INR,"226,925",Finance,11 bidders Applied,Dasharathi Sethy,30-Oct-2025 01:14 PM,,BOQ Comparative Chart,"AE Estt, DAO, SE",Internal,"AE Estt, DAO, SE",Dasharathi Sethy,30-Oct-2025 01:28 PM,finsummary_550862.pdf (627.45 KB),CE RW I||RW-CIRCLE-SUNDARGARH||RW-Division-Sundargarh II,2025_CERWI_117515_1,OnlineEERKL 06/2025-26,Maintenance and repair of Constable Quarter building at Raiboga for the year 2025-26,"AE Estt, DAO, SE",Internal,"AE Estt, DAO, SE",Dasharathi Sethy,30-Oct-2025 01:20 PM,techsummary_550862.pdf (627.45 KB),30-Oct-2025,"INR 226,925",90.0,Dasharathi Sethy,30-Oct-2025 01:33 PM,02.pdf (627.00 KB),Awarded cost,1,3074348,ARJUN SINGHI,10-Sep-2025 03:36 PM,Rejected-AOC,Rejected by the Committee,30-Oct-2025 01:33 PM,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,Affidavit Towards Authenticity of Documents,"2,000",0.0,Nil,Nil,No,03-Sep-2025 11:00 AM,11-Sep-2025 11:00 AM,03-Sep-2025 11:00 AM,10-Sep-2025 05:00 PM,03-Sep-2025 11:00 AM ,09-Sep-2025 05:00 PM ,03-Sep-2025 11:00 AM,10-Sep-2025 05:00 PM,CE RW I||RW-CIRCLE-SUNDARGARH||RW-Division-Sundargarh II,OnlineEERKL 06/2025-26,2025_CERWI_117515_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Maintenance and repair of Constable Quarter building at Raiboga for the year 2025-26,Maintenance and repair of Constable Quarter building at Raiboga for the year 2025-26,NA ,NA ,"2,66,939",Civil Works - Buildings,NA ,Tender,90.0,90.0,ROURKELA,769004.0,NA ,NA ,NA ,"RURAL WORKS DIVISION NO.II, SUNDARGARH",No ,No,"2,670",Yes,fixed,,Nil,Nil,Divisional Officer,"RURAL WORKS DIVISION NO.II, SUNDARGARH",1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3069814,BARMA HESS,09-Sep-2025 08:33 PM,Rejected-AOC,Rejected by the Committee,30-Oct-2025 01:33 PM,AOC,,,.pdf,"PAN Card, GSTN, Regestration Certificate another as per DTCN, Contact No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3073388,DEEPAK KUMAR THAKUR,10-Sep-2025 11:42 AM,Rejected-AOC,Rejected by the Committee,30-Oct-2025 01:33 PM,AOC,,,.pdf,Affidavit Regarding norelation certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3074187,GOPAL SAHOO,10-Sep-2025 02:45 PM,Rejected-AOC,Rejected by the Committee,30-Oct-2025 01:33 PM,AOC,,,.pdf,Affidavit Regarding correctness of information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3072169,PUSPALATA BARIK,09-Sep-2025 03:48 PM,Rejected-AOC,Rejected by the Committee,30-Oct-2025 01:33 PM,AOC,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3072849,RAJAN BUDA(S.C),10-Sep-2025 12:58 PM,Rejected-AOC,Rejected by the Committee,30-Oct-2025 01:33 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3073898,SANJAY JAISWAL,10-Sep-2025 01:25 PM,Rejected-AOC,Rejected by the Committee,30-Oct-2025 01:33 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3072400,S.K. INFRA PROJECTS,09-Sep-2025 05:05 PM,Accepted-AOC,Awarded,30-Oct-2025 01:33 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3071688,SRI ASHOK KUMAR JAISWAL,09-Sep-2025 01:36 PM,Rejected-AOC,Rejected by the Committee,30-Oct-2025 01:33 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3072552,SUBHASH CHANDRA,10-Sep-2025 03:40 PM,Rejected-AOC,Rejected by the Committee,30-Oct-2025 01:33 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3063484,USHA SAHOO,04-Sep-2025 02:19 PM,Rejected-AOC,Rejected by the Committee,30-Oct-2025 01:33 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
