Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
CE RW I||RW-CIRCLE-SUNDARGARH||RW-Division-Sundargarh II,OnlineEERKL 06/2025-26,2025_CERWI_117529_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"2,000",0.0,Nil,Nil,No,1.0,ICICI BANK,03-Sep-2025 11:00 AM,11-Sep-2025 11:00 AM,03-Sep-2025 11:00 AM,10-Sep-2025 05:00 PM,03-Sep-2025 11:00 AM ,09-Sep-2025 05:00 PM ,03-Sep-2025 11:00 AM,10-Sep-2025 05:00 PM,Divisional Officer,"RURAL WORKS DIVISION NO.II, SUNDARGARH","4,450",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,Affidavit Towards Authenticity of Documents,Maintenance and repair of V.A.W Quarter building at Dhangirinacha for the year 2025-26,Maintenance and repair of V.A.W Quarter building at Dhangirinacha for the year 2025-26,NA ,NA ,"4,44,925",Civil Works - Buildings,NA ,Tender,90.0,90.0,ROURKELA,769004.0,NA ,NA ,NA ,"RURAL WORKS DIVISION NO.II, SUNDARGARH",No ,No,AOC,"AE Estt, DAO, SE",Internal,"AE Estt, DAO, SE",Dasharathi Sethy,30-Oct-2025 01:03 PM,finsummary_550874.pdf (650.29 KB),CE RW I||RW-CIRCLE-SUNDARGARH||RW-Division-Sundargarh II,2025_CERWI_117529_1,OnlineEERKL 06/2025-26,Maintenance and repair of V.A.W Quarter building at Dhangirinacha for the year 2025-26,1.0,3066508.0,JAGDISH PRASAD,INR,"378,231",Finance,10 Bidders Applied,Dasharathi Sethy,30-Oct-2025 12:56 PM,,BOQ Comparative Chart,1,3074450,ARJUN SINGHI,10-Sep-2025 04:07 PM,Rejected-AOC,Rejected by the Committee,30-Oct-2025 01:09 PM,30-Oct-2025,"INR 378,231",90.0,Dasharathi Sethy,30-Oct-2025 01:09 PM,09.pdf (650.00 KB),Awarded Cost,"AE Estt, DAO, SE",Internal,"AE Estt, DAO, SE",Dasharathi Sethy,30-Oct-2025 12:59 PM,techsummary_550874.pdf (650.29 KB),AOC
,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,.pdf,"PAN Card, GSTN, Regestration Certificate another as per DTCN, Contact No",,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3074196,BRAHMANAND SAMASI,10-Sep-2025 02:46 PM,Rejected-AOC,Rejected by the Committee,30-Oct-2025 01:09 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Regarding norelation certificate,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3073316,DEEPAK KUMAR THAKUR,10-Sep-2025 11:22 AM,Rejected-AOC,Rejected by the Committee,30-Oct-2025 01:09 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Regarding correctness of information,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3074256,GOPAL SAHOO,10-Sep-2025 03:07 PM,Rejected-AOC,Rejected by the Committee,30-Oct-2025 01:09 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3066508,JAGDISH PRASAD,06-Sep-2025 07:55 PM,Accepted-AOC,Awarded,30-Oct-2025 01:09 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3071902,KAMALAKANTA KISHAN,09-Sep-2025 03:50 PM,Rejected-AOC,Rejected by the Committee,30-Oct-2025 01:09 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3074605,NIRAJ KUMAR MISHRA,10-Sep-2025 04:57 PM,Rejected-AOC,Rejected by the Committee,30-Oct-2025 01:09 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3074345,PUSPALATA BARIK,10-Sep-2025 03:32 PM,Rejected-AOC,Rejected by the Committee,30-Oct-2025 01:09 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3067573,RABI PRASAD,07-Sep-2025 05:19 PM,Rejected-AOC,Rejected by the Committee,30-Oct-2025 01:09 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3065099,RABI THAKUR,05-Sep-2025 10:04 PM,Rejected-AOC,Rejected by the Committee,30-Oct-2025 01:09 PM,,,,,,,,,,,,,,AOC
