S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,3010478.0,TUSAR KANTA SAHOO,INR,"31,363,935",Technical,23 Nos of bidders participated,Akshaya Kumar Naik,19-Aug-2025 09:29 PM,,CE RW I||RWCIRCLE-BARIPADA,2025_CERWI_115479_1,NCB 378,Construction of bridge over local nallah at 15th km on Chadeipahadi patpur road in the district of Mayurbhanj,"CCERWCIRCLE, BARIPADA",Internal,,Akshaya Kumar Naik,06-Nov-2025 12:27 PM,finsummary_545878.pdf (1012.63 KB),"CCERWCIRCLE, BARIPADA",Internal,,Akshaya Kumar Naik,19-Aug-2025 10:30 PM,22-Aug-2025 03:00 PM,techsummary_545878.pdf (1033.76 KB),Finance,19 Nos of bidders admitted,Akshaya Kumar Naik,01-Sep-2025 11:43 AM,finance_545878.pdf,BOQ Comparative Chart,06-Nov-2025,"INR 31,363,935",365.0,Akshaya Kumar Naik,15-Nov-2025 01:08 PM,chdheipahadi.pdf (595.00 KB),1,3010711,Akash Giri,25-Jul-2025 01:21 PM,Rejected-Technical,Insufficient Machineries.,19-Aug-2025 10:30 PM,AOC,CE RW I||RWCIRCLE-BARIPADA,NCB 378,2025_CERWI_115479_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"3,68,950",Yes,percentage,1.0%,Nil,Nil,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,Construction of bridge over local nallah at 15th km on Chadeipahadi patpur road in the district of Mayurbhanj,Construction of bridge over local nallah at 15th km on Chadeipahadi patpur road in the district of Mayurbhanj,NA ,NA ,"3,68,95,000",Civil Works - Bridges,NA ,Tender,90.0,365.0,Mayurbhanj,757105.0,NA ,NA ,NA ,"RURAL WORKS CIRCLE, BARIPADA",No ,No,1.0,Fee/PreQual/Technical,.pdf,RC PAN GST ATO Similarnature of Work experience affidavit etc as DTCN,Circle Officer,"RURAL WORKS CIRCLE, BARIPADA",11-Jul-2025 06:55 PM,28-Jul-2025 11:00 AM,11-Jul-2025 06:55 PM,25-Jul-2025 05:00 PM,11-Jul-2025 06:55 PM ,24-Jul-2025 05:00 PM ,11-Jul-2025 06:55 PM,25-Jul-2025 05:00 PM,22-Aug-2025 03:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3009167,ALLIANCE INDIA,25-Jul-2025 02:40 PM,Rejected-AOC,L1,15-Nov-2025 01:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,"Machineries, Affidavit etc as per DTCN",,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3012055,CHANDAN KUMAR JENA,25-Jul-2025 04:57 PM,Rejected-AOC,L1,15-Nov-2025 01:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3009841,DEBA PRASAD MOHANTA,23-Jul-2025 01:19 PM,Rejected-AOC,L1,15-Nov-2025 01:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3011235,JEETESH RANJAN BEHERA,25-Jul-2025 12:30 PM,Rejected-AOC,L1,15-Nov-2025 01:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3009073,JOGESWAR MOHANTA,22-Jul-2025 06:00 PM,Rejected-Technical,Insufficient similar nature of work experience.,19-Aug-2025 10:30 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3010932,KRUSHNA KUMAR KHANDELWAL,25-Jul-2025 03:33 PM,Rejected-AOC,L1,15-Nov-2025 01:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3010694,MANOJ KUMAR MOHANTY,24-Jul-2025 09:16 PM,Rejected-AOC,L1,15-Nov-2025 01:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3011937,M/S AKASH INFRATECH PROP. AKASHDEEP SINGH SANDHU,25-Jul-2025 04:04 PM,Rejected-Technical,Insufficient similar nature of work experience.,19-Aug-2025 10:30 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3003330,Nanda Kishore Bindhani,25-Jul-2025 02:36 PM,Rejected-AOC,L1,15-Nov-2025 01:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
