S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,3026549.0,JAYANARAYAN JENA,INR,"10,213,042",CE RW I||RWCIRCLE-BALASORE,2025_CERWI_116246_1,CCE-BLS-NCB-16 of 2025-26,Construction of PHC New Day Care Building at Kasafal under Sadar Block in the District of Balasore for 2025-26.,Technical,12 numbers,Durjyodhan Behera,11-Aug-2025 04:14 PM,technical_547809.pdf,CCE RW CIRCLE BALASORE,Internal,"PA TO CCE RW CIRCLE BALASORE AND JE ESTIMATOR CCE RW CIRCLE BALASORE AND DAO R.W. DIVISION, BALASORE",Durjyodhan Behera,07-Nov-2025 04:14 PM,finsummary_547809.pdf (50.16 KB),"CCE RW Circle, Balasore",Internal,"PA to CCE and AE Estimator, R.W.Circle, Balasore",Saibalini Singh,03-Oct-2025 11:03 AM,06-Oct-2025 05:00 PM,techsummary_547809.pdf (918.64 KB),Finance,11 numbers,Subhadra Behera,08-Oct-2025 12:12 PM,,BOQ Comparative Chart,30-Nov-2025,"INR 10,213,042",360.0,Durjyodhan Behera,30-Nov-2025 08:39 PM,Kasafalworkorder.pdf (961.00 KB),1st lowest bidder Sri Jayanarayan Jena selected through transparent lottery,1,3026803,Byomakesh Mohanty,07-Aug-2025 12:19 PM,Rejected-Finance,L1,07-Nov-2025 04:14 PM,AOC,1.0,ICICI BANK,Construction of PHC New Day Care Building at Kasafal under Sadar Block in the District of Balasore for 2025-26.,Construction of PHC New Day Care Building at Kasafal under Sadar Block in the District of Balasore for 2025-26.,Please refer to the DTCN ,NA ,"1,20,14,000",Civil Works - Buildings,NA ,Tender,90.0,360.0,Balasore,756001.0,NA ,NA ,NA ,"CCE, R.W.CIRCLE, BALASORE",No ,No,1.0,Fee/PreQual/Technical,.pdf,"P.cost. EMD, R.C, PAN, GSTIN,Affidavit, etc.","CCE, R.W.CIRCLE, BALASORE","O/o the Chief Construction Engineer, Rural Works Circle, Balasore","10,000",0.0,Nil,Nil,No,29-Jul-2025 06:00 PM,08-Aug-2025 11:00 AM,29-Jul-2025 06:00 PM,07-Aug-2025 05:00 PM,29-Jul-2025 06:00 PM ,06-Aug-2025 05:00 PM ,29-Jul-2025 06:00 PM,07-Aug-2025 05:00 PM,06-Oct-2025 05:00 PM,CE RW I||RWCIRCLE-BALASORE,CCE-BLS-NCB-16 of 2025-26,2025_CERWI_116246_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"1,20,140",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3026571,CHITTARANJAN MALLIK,07-Aug-2025 03:27 PM,Rejected-Finance,L1,07-Nov-2025 04:14 PM,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,"Similar nature of work, ATO, Proffit and Loss Statement, Work in Hand, Machineries, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3026949,Dinesh Kumar Nayak,07-Aug-2025 02:50 PM,Rejected-Finance,L1,07-Nov-2025 04:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3024297,DINESH PRADHAN,06-Aug-2025 06:22 PM,Rejected-Technical,Invalid MOU,03-Oct-2025 11:03 AM,AOC,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3027128,GAGAN KUMAR SINGH,07-Aug-2025 03:38 PM,Rejected-Finance,L1,07-Nov-2025 04:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3025464,GANESH CHANDRA MOHAPATRA,06-Aug-2025 11:41 AM,Rejected-Finance,L1,07-Nov-2025 04:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3026549,JAYANARAYAN JENA,07-Aug-2025 03:09 PM,Accepted-AOC,1st lowest bidder selected through transparent lottery,30-Nov-2025 08:39 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3025310,lokanathasahoo,07-Aug-2025 11:58 AM,Rejected-Finance,L1,07-Nov-2025 04:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3025736,PRABHAT RANJAN JENA,06-Aug-2025 02:59 PM,Rejected-Finance,L1,07-Nov-2025 04:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3025198,Ranjit Kumar Behera,05-Aug-2025 11:41 PM,Rejected-Finance,L1,07-Nov-2025 04:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
