Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Sri Sanjeet Kumar Naik,Internal,,Sanjeet Kumar Naik,19-Sep-2025 04:09 PM,20-Sep-2025 09:00 AM,techsummary_548354.pdf (372.13 KB),Finance,open,Sanjeet Kumar Naik,21-Nov-2025 05:20 PM,finance_548354.pdf,BOQ Comparative Chart,21-Nov-2025,"INR 6,406,711",270.0,Sanjeet Kumar Naik,21-Nov-2025 05:26 PM,5950.pdf (432.00 KB),1,3039358,BARENDRA KRISHNA MATAGAJSINGH,17-Aug-2025 08:05 PM,Rejected-AOC,Lottery,21-Nov-2025 05:26 PM,1.0,3039234.0,SATYA SUNDAR DAS,INR,"6,406,711",Technical,open,Sanjeet Kumar Naik,19-Sep-2025 03:56 PM,technical_548354.pdf,CE RW I||RWCIRCLE-BARIPADA||RW Division Rairangpur,2025_CERWI_116501_1,RD 04,Construction of Twin E type qtr building at Asana PHC N under Bahalda block for the year 23-24,Sri Sanjeet Kumar Naik,Internal,,Sanjeet Kumar Naik,21-Nov-2025 05:23 PM,finsummary_548354.pdf (432.15 KB),AOC,CE RW I||RWCIRCLE-BARIPADA||RW Division Rairangpur,RD 04,2025_CERWI_116501_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,06-Aug-2025 11:00 AM,19-Aug-2025 11:30 AM,06-Aug-2025 11:00 AM,18-Aug-2025 05:00 PM,06-Aug-2025 11:00 AM ,16-Aug-2025 05:00 PM ,06-Aug-2025 11:00 AM,18-Aug-2025 05:00 PM,20-Sep-2025 09:00 AM,1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,Divisional Officer,"RURAL WORKS DIVISION, RAIRANGPUR","75,360",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,RC PAN GSTIN affidavit electrical licence etc as per DTCN,Construction of Twin E type qtr building at Asana PHC N under Bahalda block for the year 23-24,Construction of Twin E type qtr building at Asana PHC N under Bahalda block for the year 23-24,NA ,NA ,"75,36,420",Civil Works - Buildings,NA ,Tender,90.0,270.0,Mayurbhanj,757043.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, RAIRANGPUR",No ,No,AOC
,,,,,,,,,,,,,,,,,,,2,3040094,DAMAN MAJHI,18-Aug-2025 02:07 PM,Rejected-AOC,Lottery,21-Nov-2025 05:26 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantity,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,3,3039135,Jujhar Murmu,17-Aug-2025 02:50 PM,Rejected-AOC,Lottery,21-Nov-2025 05:26 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,4,3039166,KAMALA KANTA NAYAK,17-Aug-2025 03:55 PM,Rejected-AOC,Lottery,21-Nov-2025 05:26 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,5,3039813,KISHAN KUMAR PARIDA,18-Aug-2025 12:09 PM,Rejected-AOC,Lottery,21-Nov-2025 05:26 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,6,3039825,RAHUL KUMAR YADAV,18-Aug-2025 12:08 PM,Rejected-AOC,Lottery,21-Nov-2025 05:26 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,7,3039234,SATYA SUNDAR DAS,17-Aug-2025 05:22 PM,Accepted-AOC,Lottery winner,21-Nov-2025 05:26 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,8,3035627,SHIVSAI ASSOCIATES,18-Aug-2025 12:09 PM,Rejected-AOC,Lottery,21-Nov-2025 05:26 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,9,3039928,SUJITA BEHERA,18-Aug-2025 03:46 PM,Rejected-AOC,Lottery,21-Nov-2025 05:26 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,10,3039400,TULASHI RAJAK,17-Aug-2025 09:11 PM,Rejected-AOC,Lottery,21-Nov-2025 05:26 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
