S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
1.0,2962053.0,JOGESWAR MOHANTA,INR,"15,072,586.29",Technical,Uploaded technical bid documents of all the bidders have been downloaded successfully.,PRANAB KUMAR NAYAK,18-Jun-2025 02:12 PM,technical_541270.pdf,CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE,2025_ECCHA_113899_5,"e-Procurement Notice No.ACE, EC-II 03 of 2025-26","ACE, EC-II AKPD 17 of 2025-26 Improvement to communication facility of Mamadula Tala Astak Embankment on Baitarani left from RD 6.00 Km to 8.00 Km (Working RD 6.00 Km to 8.22 Km)","Additional Chief Engineer, Eastern Circle II Chandikhole",Internal,"Asst. to ACEECII Chandikhole, DAO Estimator and Superintending Engineer Akhuapada Irrigation Division",PRANAB KUMAR NAYAK,25-Sep-2025 04:53 PM,finsummary_541270.pdf (523.85 KB),"Additional Chief Engineer, Eastern Circle II",Internal,"Asst. To ACE, Eastern Circle II Chandikhole, Superintending Engineer, Estimator and DAO Aul Akhuapada Irrigation Division, Superintending Engineer Jaraka Irrigation Division",PRANAB KUMAR NAYAK,19-Aug-2025 02:35 PM,19-Aug-2025 04:30 PM,techsummary_541270.pdf (1792.05 KB),Finance,Uploaded Financial bid documents have been downloaded successfully.,Sarat Chandra Ghadei,20-Aug-2025 11:58 AM,,BOQ Comparative Chart,1,2963814,Abinash Swain,12-Jun-2025 01:50 PM,Rejected-Finance,Did not win the lottery,25-Sep-2025 04:53 PM,14-Nov-2025,"INR 15,072,586.29",180.0,PRANAB KUMAR NAYAK,14-Nov-2025 06:20 PM,AKPD17.pdf (1333.00 KB),Contract Awarded,AOC,"10,000",Nil,Nil,No,"1,77,300",Yes,fixed,,Nil,Nil,1.0,1st Corrigendum,Date,,Additional Chief Engineer,"O/o ACE, Eastern Circle II, Chandikhole",1.0,ICICI BANK,29-May-2025 10:00 AM,18-Jun-2025 11:30 AM,29-May-2025 10:00 AM,17-Jun-2025 05:00 PM,29-May-2025 10:00 AM ,04-Jun-2025 05:00 PM ,29-May-2025 10:00 AM,17-Jun-2025 05:00 PM,19-Aug-2025 04:30 PM,"ACE, EC-II AKPD 17 of 2025-26 Improvement to communication facility of Mamadula Tala Astak Embankment on Baitarani left from RD 6.00 Km to 8.00 Km (Working RD 6.00 Km to 8.22 Km)",Improvement to communication facility,Please refer Tender documents. ,NA ,"1,77,30,369",Civil Works - Others,NA ,Tender,90.0,180.0,District - Bhadrak,756100.0,NA ,NA ,NA ,"O/o ACE, Eastern Circle II, Chandikhole",No ,No,CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE,"e-Procurement Notice No.ACE, EC-II 03 of 2025-26",2025_ECCHA_113899_5,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"PAN, GSTIN, RC, Documents related to EMD exemption",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2959402,ALOK KUMAR SAHOO,10-Jun-2025 01:13 PM,Rejected-Finance,Did not win the lottery,25-Sep-2025 04:53 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit, No Relation Certificate, undertakings, any other document as per SBD/DTCN",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2960467,AMRITA DAS,11-Jun-2025 10:44 PM,Rejected-Finance,Did not win the lottery,25-Sep-2025 04:53 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2949493,ANANTA PRASAD MALIK,09-Jun-2025 10:47 PM,Rejected-Finance,Did not win the lottery,25-Sep-2025 04:53 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2960140,Arun Kumar Das,11-Jun-2025 04:43 PM,Rejected-Finance,Did not win the lottery,25-Sep-2025 04:53 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2963576,AVINASH PATTANAYAK,12-Jun-2025 01:21 PM,Rejected-Finance,Did not win the lottery,25-Sep-2025 04:53 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2954910,BIBEKANANDA MOHAPATRA,12-Jun-2025 12:39 PM,Rejected-Finance,Did not win the lottery,25-Sep-2025 04:53 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2963986,BISWADEEP NAYAK,12-Jun-2025 02:34 PM,Rejected-Finance,Did not win the lottery,25-Sep-2025 04:53 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2963880,BISWAJIT ROUT,12-Jun-2025 02:27 PM,Rejected-Finance,Did not win the lottery,25-Sep-2025 04:53 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2970420,BISWANATH SAHOO,17-Jun-2025 04:26 PM,Rejected-Finance,Did not win the lottery,25-Sep-2025 04:53 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
