Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"CE,Minor Irrigation,BBSR||SEKBKMIC-BHAWANIPATNA||KALAHANDI",SE MID BPT 05/2025-26 (Double Cover),2025_CEMIB_121579_7,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"SE, M.I. Division, Kalahandi, Bhawanipatna","O/o the SE, M.I. Division, Kalahandi, Bhawanipatna",1.0,ICICI BANK,Sl 11 Construction of Gobarbahalijor Check Dam (KA-12-0141) over Local nalla near village Bhatel in Narla Block of Kalahandi District MATY Scheme for the year 2025-26,Construction of Gobarbahalijor Check Dam (KA-12-0141) over Local nalla near village Bhatel in Narla Block of Kalahandi District MATY Scheme for the year 2025-26,Please refer Tender documents. ,NA ,"53,31,195",Civil Works - Others,Check Dam ,Tender,90.0,180.0,Narla,766100.0,NA ,NA ,NA ,"O/o the SE, M.I. Division, Kalahandi, Bhawanipatna",No ,No,1.0,2nd Corrigendum,Date,,"53,400",Yes,fixed,,Nil,Nil,"10,000",0.0,Nil,Nil,No,20-Nov-2025 11:30 AM,01-Dec-2025 11:00 AM,20-Nov-2025 11:30 AM,29-Nov-2025 05:30 PM,20-Nov-2025 11:30 AM ,28-Nov-2025 05:30 PM ,20-Nov-2025 11:30 AM,29-Nov-2025 05:30 PM,05-Dec-2025 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,"License, GSTIN, PAN, Affidavit, EMDs, Paper cost, no relation certificate etc as per DTCN",AOC,Er Saroj Sha,Internal,"Lal Krishna Basta, DAO and Nituza Panna, AE (Estr.) are the committee member",SAROJ SHA,07-Dec-2025 07:34 PM,finsummary_565724.pdf (1214.93 KB),Technical,all bids are open in time,NITUZA PANNA,03-Dec-2025 12:46 PM,technical_565724.pdf,"CE,Minor Irrigation,BBSR||SEKBKMIC-BHAWANIPATNA||KALAHANDI",2025_CEMIB_121579_7,SE MID BPT 05/2025-26 (Double Cover),Sl 11 Construction of Gobarbahalijor Check Dam (KA-12-0141) over Local nalla near village Bhatel in Narla Block of Kalahandi District MATY Scheme for the year 2025-26,1.0,3265385.0,Rasmita Pattnaik,INR,"4,532,048.99",17-Dec-2025,"INR 4,532,048.99",180.0,SAROJ SHA,23-Dec-2025 06:44 PM,11GobarbahaliRasmita.pdf (292.00 KB),Rasmita Pattnaik is the lottery winner AOC issued to her,1,3261850,ABHIJEET MANDAL,28-Nov-2025 08:35 AM,Rejected-AOC,Rejected by Lottery,23-Dec-2025 06:46 PM,Finance,all bids are open time,NITUZA PANNA,06-Dec-2025 04:04 PM,finance_565724.pdf,BOQ Comparative Chart,Er Saroj Sha,Internal,"Lal Krishna Basta, DAO and Nituza Panna, AE (Estr.) are the committee member",SAROJ SHA,04-Dec-2025 06:44 PM,05-Dec-2025 11:00 AM,techsummary_565724.pdf (844.13 KB),AOC
,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,2.0,1st Corrigendum,Other,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid Mobile No and Email address Experience Certificate if any and Other documents as per DTCN,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3257349,ABHIMANYU NAIK,29-Nov-2025 06:49 AM,Rejected-AOC,Rejected by Lottery,23-Dec-2025 06:46 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantity,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3265033,ABHINANDAN PANDA,29-Nov-2025 10:10 AM,Rejected-AOC,Rejected by Lottery,23-Dec-2025 06:46 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3261097,ADITYA KUMAR PANDA,29-Nov-2025 08:17 AM,Rejected-AOC,Rejected by Lottery,23-Dec-2025 06:46 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3262427,AJAYA KUMAR BOHIDAR,28-Nov-2025 10:38 PM,Rejected-AOC,Rejected by Lottery,23-Dec-2025 06:46 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3265106,AJAY SUNANI,29-Nov-2025 03:07 AM,Rejected-AOC,Rejected by Lottery,23-Dec-2025 06:46 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3264762,ANIL KUMAR KEDIA,29-Nov-2025 07:12 AM,Rejected-AOC,Rejected by Lottery,23-Dec-2025 06:46 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3264358,ANJAN KUMAR BEHERA,29-Nov-2025 03:35 PM,Rejected-AOC,Rejected by Lottery,23-Dec-2025 06:46 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3258981,ANKIT KUMAR AGRAWAL,29-Nov-2025 12:24 AM,Rejected-AOC,Rejected by Lottery,23-Dec-2025 06:46 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3265419,Anup Kumar Pradhan,29-Nov-2025 08:22 AM,Rejected-AOC,Rejected by Lottery,23-Dec-2025 06:46 PM,,,,,,,,,,,,,,AOC
