Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
17-Jun-2025 12:00 PM,25-Jun-2025 11:00 AM,17-Jun-2025 12:00 PM,24-Jun-2025 05:00 PM,17-Jun-2025 12:00 PM ,23-Jun-2025 09:00 AM ,17-Jun-2025 12:00 PM,24-Jun-2025 05:00 PM,19-Jul-2025 10:00 AM,Construction of HL Bridge over Gambhari Nallah on NH-23 to Domuhani Road in the District of Dhenkanal under SBY for the year 2024-25,Construction of HL Bridge over Gambhari Nallah on NH-23 to Domuhani Road in the District of Dhenkanal under SBY for the year 2024-25,NA ,NA ,"5,96,59,065",Civil Works - Bridges,NA ,Tender,90.0,450.0,Kamakhyanagar,759018.0,NA ,NA ,NA ,"Office of the Chief Construction Engineer,RWC,Angu",No ,No,CE RW I||RWCIRCLE-ANGUL,Bridge Online-AGL-03/2024-25,2025_CERWI_114500_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Paper cost, EMD One percentage of the estimated cost,GST,PAN,RC,Affidavit regarding correctness","10,000",0.0,Nil,Nil,No,"Chief Construction Engineer,RWC,Angul",At- Hakimpada Po-Hakimpada District- Angul,1.0,ICICI BANK,"5,96,591",Yes,percentage,1.0%,Nil,Nil,AOC,Chief Construction Engineer,Internal,E.E DAO ESTIMATOR,Anup Kumar Behera,15-Dec-2025 06:03 PM,finsummary_543254.pdf (128.63 KB),CE RW I||RWCIRCLE-ANGUL,2025_CERWI_114500_1,Bridge Online-AGL-03/2024-25,Construction of HL Bridge over Gambhari Nallah on NH-23 to Domuhani Road in the District of Dhenkanal under SBY for the year 2024-25,Technical,Ten Bidders found,Mamatamayee Biswal,25-Jun-2025 04:55 PM,technical_543254.pdf,1.0,2977432.0,NIHAR RANJAN PATEL,INR,"53,699,124.306",15-Dec-2025,"INR 53,699,124.306",450.0,Anup Kumar Behera,15-Dec-2025 06:06 PM,Gambhari.pdf (129.00 KB),REFUND OF E.M.D,1,2975296,ABHAYA KUMAR SAHOO,23-Jun-2025 10:51 PM,Rejected-Technical,The documents of Crawler Crane not furnished as per Clause No. 14(h) of DTCN,15-Jul-2025 04:01 PM,Finance,Five Bidders found,Mamatamayee Biswal,19-Jul-2025 12:29 PM,finance_543254.pdf,BOQ Comparative Chart,Chief Construction Engineer,Internal,E.E DAO ESTIMATOR,Anup Kumar Behera,15-Jul-2025 04:01 PM,19-Jul-2025 10:00 AM,techsummary_543254.pdf (2371.96 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Labour licence,Similar nature of work,Annual Turn Over,Work in hand,No relation,No Litigation certif",,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2979100,ABHIJEET BOSE,24-Jun-2025 01:39 PM,Rejected-Technical,In sufficient similar nature of work as per Clause No.e(ii).Insufficient Turn Over as per clause No. 14(f) and Work in hand as per Schedule-G of DTCN,15-Jul-2025 04:01 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machinery own obtained on hire, Balance sheet Bidder Contact address and other documents as per DTCN",,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2977861,Bhagaban Nath,23-Jun-2025 11:01 AM,Rejected-Technical,The documents of Crawler Crane not furnished as per Clause No. 14(h) of DTCN,15-Jul-2025 04:01 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantities in xls sheet,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2978089,GOPALA CONSTRUCTION,24-Jun-2025 02:56 PM,Rejected-Technical,The documents of Crawler Crane not furnished as per Clause No. 14(h) In sufficient similar nature of work as per Clause No.e(ii) and Work in hand as per Schedule-G of DTCN,15-Jul-2025 04:01 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2978870,MAHAVIR INFRA-DEVELOPERS PVT. LTD.,24-Jun-2025 03:51 PM,Rejected-AOC,0,15-Dec-2025 06:06 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2979175,M/S SAHEB CONSTRUCTION,24-Jun-2025 02:44 PM,Rejected-Technical,The documents of Crawler Crane not furnished as per Clause No. 14(h) of DTCN,15-Jul-2025 04:01 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2978275,NABAKISHORE BHUTIA,23-Jun-2025 07:20 PM,Rejected-AOC,0,15-Dec-2025 06:06 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2977432,NIHAR RANJAN PATEL,24-Jun-2025 12:36 AM,Accepted-AOC,Winner of lottery among the 1st lowest bidders,15-Dec-2025 06:06 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2978608,PKP CONSTRUCTIONS,24-Jun-2025 01:01 PM,Rejected-AOC,0,15-Dec-2025 06:06 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2977410,SUBHAM ROUT,21-Jun-2025 11:21 PM,Rejected-AOC,0,15-Dec-2025 06:06 PM,,,,,,,,,,,,,,AOC
