Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Finance,AOC for Agreement Details,Jangya Narayan Gouda,15-Dec-2025 01:11 PM,finance_549777.pdf,BOQ Comparative Chart,1.0,3056368.0,BIKRAM MONDAL,INR,"214,226",CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-MALKANGIRI - II,2025_CERWI_117020_1,05/2025-26,S/R TO E TYPE STAFF QUARTER BUILDINGS AT MV-79 QTR NO -4,"SE RWD-II, MKG",Internal,"Superintending Engineer, DAO, Estimator",Jangya Narayan Gouda,15-Dec-2025 01:22 PM,finsummary_549777.pdf (279.04 KB),"SE RWD-II, MKG",Internal,"Superintending Engineer, DAO, Estimator",Jangya Narayan Gouda,15-Dec-2025 01:17 PM,techsummary_549777.pdf (279.04 KB),1,3060141,ANIMESH MONDAL,01-Sep-2025 08:28 PM,Rejected-AOC,Un-Successful,15-Dec-2025 01:29 PM,15-Dec-2025,"INR 214,226",60.0,Jangya Narayan Gouda,15-Dec-2025 01:29 PM,AGTEtypeQtrMV79qTRnO4BikramMandal2526.pdf (279.00 KB),AOC for Agreement Details,AOC,22-Aug-2025 11:00 AM,03-Sep-2025 11:00 AM,22-Aug-2025 11:00 AM,02-Sep-2025 05:30 PM,22-Aug-2025 11:00 AM ,01-Sep-2025 03:00 PM ,22-Aug-2025 11:00 AM,02-Sep-2025 05:30 PM,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-MALKANGIRI - II,05/2025-26,2025_CERWI_117020_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,S/R TO E TYPE STAFF QUARTER BUILDINGS AT MV-79 QTR NO -4,S/R TO E TYPE STAFF QUARTER BUILDINGS AT MV-79 QTR NO -4,NA ,NA ,"2,52,001",Civil Works - Buildings,NA ,Tender,90.0,60.0,Malkangiri,764048.0,NA ,NA ,NA ,"RURAL WORKS DIVISION NO.II, MALKANGIRI",No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"PANCARD, GST, CONTRACTOR REGISTRATION, AFFIDAVIT ETC",Divisional Officer,"RURAL WORKS DIVISION NO.II, MALKANGIRI","2,530",Yes,fixed,,Nil,Nil,"2,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3056573,BADAL MAHAJAN,31-Aug-2025 10:47 AM,Rejected-AOC,Un-Successful,15-Dec-2025 01:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,Boq,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3060455,Bhabesh Dhali,02-Sep-2025 10:24 AM,Rejected-AOC,Un-Successful,15-Dec-2025 01:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3056858,BIJAY KUMAR RAY,31-Aug-2025 02:28 AM,Rejected-AOC,Un-Successful,15-Dec-2025 01:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3056368,BIKRAM MONDAL,31-Aug-2025 07:11 PM,Accepted-AOC,Lottery Winner,15-Dec-2025 01:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3060841,BISWAJIT SANA,02-Sep-2025 12:12 PM,Rejected-AOC,Un-Successful,15-Dec-2025 01:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3056961,BISWAJIT SARDAR,30-Aug-2025 08:07 PM,Rejected-AOC,Un-Successful,15-Dec-2025 01:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3050394,BRUHASHPATI MANDAL,26-Aug-2025 06:05 PM,Rejected-AOC,Un-Successful,15-Dec-2025 01:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3060065,BUCHA MADKAMI,01-Sep-2025 07:44 PM,Rejected-AOC,Un-Successful,15-Dec-2025 01:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3055636,CHAMPA RANI BISWAS,30-Aug-2025 03:10 PM,Rejected-AOC,Un-Successful,15-Dec-2025 01:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
