Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
"superintending Engineer,R.W.Division-II,Balasore",Internal,,Sujata Behera,19-Dec-2025 12:01 PM,techsummary_553034.pdf (202.71 KB),1,3104272,AJIT KUMAR SWAIN,01-Oct-2025 12:17 PM,Rejected-AOC,Rejected,19-Dec-2025 12:57 PM,19-Dec-2025,"INR 428,888",30.0,Sujata Behera,19-Dec-2025 12:57 PM,118226AOC.pdf (421.00 KB),Finance,all documents download,Sujata Behera,07-Dec-2025 01:10 PM,finance_553034.pdf,BOQ Comparative Chart,1.0,3109407.0,LELIN MOHANTY,INR,"428,888",CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE-II,2025_CERWI_118226_1,ETCN5-4,42/6343-S/R to R.I.Office Building at Khaira for 2025-26,"superintending Engineer,R.W.Division-II,Balasore",Internal,,Sujata Behera,19-Dec-2025 12:48 PM,finsummary_553034.pdf (202.71 KB),AOC,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE-II,ETCN5-4,2025_CERWI_118226_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Divisional Officer,"RURAL WORKS DIVISION NO.II, BALASORE",1.0,Fee/PreQual/Technical/Finance,.pdf,"T.P Cost, EMD Online, RC, PAN, GSTIN, Affidavit, NRC, Bid Declaration and Other doc. as per DTCN",19-Sep-2025 05:00 PM,06-Oct-2025 11:00 AM,19-Sep-2025 05:00 PM,04-Oct-2025 05:00 PM,19-Sep-2025 05:00 PM ,04-Oct-2025 03:00 PM ,19-Sep-2025 05:00 PM,04-Oct-2025 05:00 PM,"4,000",0.0,Nil,Nil,No,42/6343-S/R to R.I.Office Building at Khaira for 2025-26,42/6343-S/R to R.I.Office Building at Khaira for 2025-26,NA ,NA ,"5,04,515",Civil Works - Buildings,NA ,Tender,90.0,30.0,Balasore,756001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION NO.II, BALASORE",No ,No,1.0,ICICI BANK,"5,045",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,2,3107856,ANANTA PRASAD BARIK,04-Oct-2025 04:20 PM,Rejected-AOC,Rejected,19-Dec-2025 12:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,AOC
,,,,,,3,3109410,Chandan Kumar Sethy,04-Oct-2025 02:42 PM,Rejected-AOC,Rejected,19-Dec-2025 12:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,4,3104483,DAYANIDHI SAHOO,01-Oct-2025 03:19 PM,Rejected-AOC,Rejected,19-Dec-2025 12:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,5,3106738,DEEPAK KUMAR NAYAK,03-Oct-2025 12:16 PM,Rejected-AOC,Rejected,19-Dec-2025 12:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,6,3106697,GHANASHYAM LENKA,03-Oct-2025 05:02 PM,Rejected-AOC,Rejected,19-Dec-2025 12:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,7,3109328,GITA RANI SAHOO,04-Oct-2025 03:51 PM,Rejected-AOC,Rejected,19-Dec-2025 12:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,8,3099430,JYOTSNARANI KANUNGO,25-Sep-2025 12:12 PM,Rejected-AOC,Rejected,19-Dec-2025 12:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,9,3109407,LELIN MOHANTY,04-Oct-2025 03:26 PM,Accepted-AOC,Awarded through lottery winner,19-Dec-2025 12:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,10,3106555,MAA TARINI FABRICATION,04-Oct-2025 12:55 PM,Rejected-AOC,Rejected,19-Dec-2025 12:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
