Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
"superintending Engineer,R.W.Division-II,Balasore",Internal,,Sujata Behera,08-Dec-2025 04:11 PM,techsummary_553092.pdf (201.36 KB),1,3104182,AJIT KUMAR SWAIN,01-Oct-2025 11:28 AM,Accepted-AOC,Awarded through lottery winner,08-Dec-2025 04:27 PM,08-Dec-2025,"INR 428,406",30.0,Sujata Behera,08-Dec-2025 04:27 PM,118263AOC.pdf (418.00 KB),Finance,all documents download,Sujata Behera,07-Dec-2025 01:01 PM,finance_553092.pdf,BOQ Comparative Chart,1.0,3104182.0,AJIT KUMAR SWAIN,INR,"428,406",CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE-II,2025_CERWI_118263_1,ETCN5-20,42/6358-S/R to F Type Otr. at Khaira Tahasil Building for 2025-26,"superintending Engineer,R.W.Division-II,Balasore",Internal,,Sujata Behera,08-Dec-2025 04:20 PM,finsummary_553092.pdf (417.84 KB),AOC,Divisional Officer,"RURAL WORKS DIVISION NO.II, BALASORE",1.0,ICICI BANK,"5,039",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"T.P Cost, EMD Online, RC, PAN, GSTIN, Affidavit, NRC, Bid Declaration and Other doc. as per DTCN",42/6358-S/R to F Type Otr. at Khaira Tahasil Building for 2025-26,42/6358-S/R to F Type Otr. at Khaira Tahasil Building for 2025-26,NA ,NA ,"5,03,948",Civil Works - Buildings,NA ,Tender,90.0,30.0,Balasore,756001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION NO.II, BALASORE",No ,No,"4,000",0.0,Nil,Nil,No,19-Sep-2025 06:00 PM,06-Oct-2025 11:00 AM,19-Sep-2025 06:00 PM,04-Oct-2025 05:00 PM,19-Sep-2025 06:00 PM ,04-Oct-2025 03:00 PM ,19-Sep-2025 06:00 PM,04-Oct-2025 05:00 PM,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE-II,ETCN5-20,2025_CERWI_118263_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,2,3107766,ANANTA PRASAD BARIK,04-Oct-2025 04:56 PM,Rejected-AOC,Rejected,08-Dec-2025 04:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,ICICI NEFT/RTGS,,,,,,,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,3,3109464,Chandan Kumar Sethy,04-Oct-2025 03:00 PM,Rejected-AOC,Rejected,08-Dec-2025 04:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,4,3104490,DAYANIDHI SAHOO,01-Oct-2025 03:14 PM,Rejected-AOC,Rejected,08-Dec-2025 04:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,5,3106630,DEEPAK KUMAR NAYAK,03-Oct-2025 11:46 AM,Rejected-AOC,Rejected,08-Dec-2025 04:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,6,3106671,GHANASHYAM LENKA,03-Oct-2025 05:17 PM,Rejected-AOC,Rejected,08-Dec-2025 04:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,7,3109412,GITA RANI SAHOO,04-Oct-2025 04:08 PM,Rejected-AOC,Rejected,08-Dec-2025 04:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,8,3108108,JAYANTA KUMAR DASH,03-Oct-2025 07:56 PM,Rejected-AOC,Rejected,08-Dec-2025 04:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,9,3098972,JYOTSNARANI KANUNGO,25-Sep-2025 11:26 AM,Rejected-AOC,Rejected,08-Dec-2025 04:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,10,3107959,Lipak Kumar Muduli,03-Oct-2025 06:45 PM,Rejected-AOC,Rejected,08-Dec-2025 04:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
