Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
30-Dec-2025,"INR 1,830,289",60.0,Gobinda Chandra Tudu,30-Dec-2025 07:50 PM,Agmt58.pdf (574.00 KB),Agmt value,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-NAWARANGAPUR - II,2025_CERWI_119501_27,Online Tender/09/ RWD-UKT /2025-26,Periodical Maintenance of Jampadar to Siuni from 0/00 to 1/440 km under Umerkote Block for the year 2025-26 (SDBC),1.0,3152717.0,TRILOCHAN BEHERA,INR,"1,830,289",1,3150905,AJAY MALLICK,27-Oct-2025 12:58 PM,Rejected-AOC,Disqualified in transparent lottery,30-Dec-2025 07:50 PM,Finance,All bidders are admitted for Technical Evaluation.,Rupabanya Naik,11-Nov-2025 12:26 PM,finance_557319.pdf,BOQ Comparative Chart,Executive Engineer,Internal,"Estimator,DAO-I,Executive Engineer",Gobinda Chandra Tudu,30-Dec-2025 07:41 PM,finsummary_557319.pdf (146.29 KB),Executive Engineer,Internal,"Estimator,DAO-I,Executive Engineer",Gobinda Chandra Tudu,25-Nov-2025 01:38 PM,techsummary_557319.pdf (85.48 KB),AOC,Periodical Maintenance of Jampadar to Siuni from 0/00 to 1/440 km under Umerkote Block for the year 2025-26 (SDBC),Periodical Maintenance of Jampadar to Siuni from 0/00 to 1/440 km under Umerkote Block for the year 2025-26 (SDBC),Please refer Tender documents. ,NA ,"21,53,028",Civil Works - Roads,NA ,Tender,90.0,60.0,Umerkote,764073.0,NA ,NA ,NA ,"EE, RW Division-II, Nabarangpur, Umerkote",No ,No,"6,000",0.0,Nil,Nil,No,"Executive Engineer, RW Division-II, Umerkote","O/o THE EXECUTIVE ENGINEER, RURAL WORKS DIVISION-II, NABARANGPUR, UMERKOTE",1.0,ICICI BANK,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-NAWARANGAPUR - II,Online Tender/09/ RWD-UKT /2025-26,2025_CERWI_119501_27,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid RC, PAN, GST, Caste, Affidavits and Other Documents as per DTCN",22-Oct-2025 01:00 PM,29-Oct-2025 11:00 AM,22-Oct-2025 01:00 PM,28-Oct-2025 05:00 PM,22-Oct-2025 01:00 PM ,27-Oct-2025 01:00 PM ,22-Oct-2025 01:00 PM,28-Oct-2025 05:00 PM,"21,530",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,,2,3152785,AJIT SWAIN,26-Oct-2025 12:38 AM,Rejected-AOC,Disqualified in transparent lottery,30-Dec-2025 07:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,3153141,ALEKHA CHANDRA MOHANTY,26-Oct-2025 03:04 PM,Rejected-AOC,Disqualified in transparent lottery,30-Dec-2025 07:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,3156575,BALABIRA PATRO,28-Oct-2025 03:47 PM,Rejected-AOC,Disqualified in transparent lottery,30-Dec-2025 07:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,3153487,BASUDEV SETHI,27-Oct-2025 10:06 AM,Rejected-AOC,Disqualified in transparent lottery,30-Dec-2025 07:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,3150065,CHINMAYA KUMAR NAYAK,25-Oct-2025 03:23 PM,Rejected-AOC,Disqualified in transparent lottery,30-Dec-2025 07:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,3155123,DHANMAT GANDA,26-Oct-2025 05:08 PM,Rejected-AOC,Disqualified in transparent lottery,30-Dec-2025 07:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,3154425,DIGAMBAR MOHANTY,26-Oct-2025 07:57 PM,Rejected-AOC,Disqualified in transparent lottery,30-Dec-2025 07:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,3152713,DILLIP KUMAR MANDAL,27-Oct-2025 11:56 PM,Rejected-AOC,Disqualified in transparent lottery,30-Dec-2025 07:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,3154885,GOBINDA GOUDA,26-Oct-2025 04:16 PM,Rejected-AOC,Disqualified in transparent lottery,30-Dec-2025 07:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
