S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,ICICI BANK,Divisional Officer,"RURAL WORKS DIVISION, RAIRANGPUR","4,200",Yes,fixed,,Nil,Nil,Special repair to old non residential building compound wall rising and approach road of RI office at Khanta for the year 2025-26,Special repair to old non residential building compound wall rising and approach road of RI office at Khanta for the year 2025-26,NA ,NA ,"4,20,126",Civil Works - Buildings,NA ,Tender,90.0,30.0,Mayurbhanj,757043.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, RAIRANGPUR",No ,No,"2,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-BARIPADA||RW Division Rairangpur,RD-11,2025_CERWI_120230_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,PAN GSTIN affidavit as per DTCN,28-Oct-2025 02:00 PM,08-Nov-2025 11:30 AM,28-Oct-2025 02:00 PM,06-Nov-2025 05:00 PM,28-Oct-2025 02:00 PM ,04-Nov-2025 05:00 PM ,28-Oct-2025 02:00 PM,06-Nov-2025 05:00 PM,AOC,CE RW I||RWCIRCLE-BARIPADA||RW Division Rairangpur,2025_CERWI_120230_1,RD-11,Special repair to old non residential building compound wall rising and approach road of RI office at Khanta for the year 2025-26,Sri Sanjeet Kumar Naik,Internal,,Sanjeet Kumar Naik,24-Dec-2025 11:15 AM,finsummary_559246.pdf (464.50 KB),Finance,open,Sanjeet Kumar Naik,24-Dec-2025 11:06 AM,finance_559246.pdf,BOQ Comparative Chart,1.0,3180067.0,SK MEHER ALI,INR,"357,149",24-Dec-2025,"INR 357,149",30.0,Sanjeet Kumar Naik,24-Dec-2025 11:21 AM,7337.pdf (464.00 KB),1,3189603,ADARSHA MOHAPATRA,06-Nov-2025 03:34 PM,Rejected-AOC,Lottery,24-Dec-2025 11:21 AM,Sri Sanjeet Kumar Naik,Internal,,Sanjeet Kumar Naik,24-Dec-2025 11:11 AM,techsummary_559246.pdf (464.50 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3175387,AVISEK SHAW,02-Nov-2025 08:49 PM,Rejected-AOC,Lottery,24-Dec-2025 11:21 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3173532,BICHITRA NANDA GIRI,02-Nov-2025 10:59 AM,Rejected-AOC,Lottery,24-Dec-2025 11:21 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3189372,CHANDRA KANTA NANDA,06-Nov-2025 03:00 PM,Rejected-AOC,Lottery,24-Dec-2025 11:21 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3184676,DEBAJYOTI GIRI,05-Nov-2025 03:27 PM,Rejected-AOC,Lottery,24-Dec-2025 11:21 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3189706,DEEPAK KUMAR MOHAPATRA,06-Nov-2025 04:15 PM,Rejected-AOC,Lottery,24-Dec-2025 11:21 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3188511,DEV KUMAR MANDAL,06-Nov-2025 12:55 PM,Rejected-AOC,Lottery,24-Dec-2025 11:21 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3168651,GOURAV AGARWAL,02-Nov-2025 11:02 AM,Rejected-AOC,Lottery,24-Dec-2025 11:21 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3180336,JITENDRA NATH SAHU,04-Nov-2025 01:27 PM,Rejected-AOC,Lottery,24-Dec-2025 11:21 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3185204,LALIT BHARTI,05-Nov-2025 05:45 PM,Rejected-AOC,Lottery,24-Dec-2025 11:21 AM,,,,,,,AOC
