Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
S/R to ASI Qtr at Lachhipur.,S/R Buildings Work,Please refer Tender documents. ,NA ,"3,36,000",Civil Works - Buildings,NA ,Tender,90.0,120.0,Sonepur,767017.0,NA ,NA ,NA ,"O/o the S E, R.W. Division, Sonepur",No ,No,"2,000",0.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,TENDER PAPER COST EMD PAN GST CERTIFICATE VALID CONTRACT LICENCE AFFIDAVIT AS PER DTCN ETC,"3,360",Yes,fixed,,Nil,Nil,"Executive Engineer, R W Div., Sonepur","O/o the S E, R.W. Division, Sonepur",01-Nov-2025 05:00 PM,12-Nov-2025 11:00 AM,01-Nov-2025 05:00 PM,11-Nov-2025 05:00 PM,01-Nov-2025 05:00 PM ,10-Nov-2025 04:00 PM ,01-Nov-2025 05:00 PM,11-Nov-2025 05:00 PM,CE RW I||RWCIRCLE-BALANGIR||RWDIVISION-SONEPUR,BI No.Tender Online SNPR-07 of 2025-26.,2025_CERWI_120518_57,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,Er Subhrata Meher,Internal,,Subhrata Meher,30-Dec-2025 09:01 PM,techsummary_561061.pdf (359.71 KB),Er Subhrata Meher,Internal,,Subhrata Meher,30-Dec-2025 09:02 PM,finsummary_561061.pdf (359.71 KB),Finance,11 Bidders.,Subhrata Meher,22-Nov-2025 11:46 AM,,BOQ Comparative Chart,1.0,3198014.0,PRAYAS KUMAR SAHU,INR,"285,747",CE RW I||RWCIRCLE-BALANGIR||RWDIVISION-SONEPUR,2025_CERWI_120518_57,BI No.Tender Online SNPR-07 of 2025-26.,S/R to ASI Qtr at Lachhipur.,1,3180047,ANANDA KUMAR PANDA,11-Nov-2025 02:33 AM,Rejected-AOC,Rejected,30-Dec-2025 09:04 PM,30-Dec-2025,"INR 285,747",120.0,Subhrata Meher,30-Dec-2025 09:04 PM,Result.pdf (485.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3201369,DILIP KUMAR PANDA,09-Nov-2025 04:56 PM,Rejected-AOC,Rejected,30-Dec-2025 09:04 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3177355,LAXMIKANTA MISHRA,10-Nov-2025 11:42 PM,Rejected-AOC,Rejected,30-Dec-2025 09:04 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3180099,Pradeep Kumar Mahakur,05-Nov-2025 09:23 AM,Rejected-AOC,Rejected,30-Dec-2025 09:04 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3213469,Pratap Sahu,11-Nov-2025 03:09 PM,Rejected-AOC,Rejected,30-Dec-2025 09:04 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3198014,PRAYAS KUMAR SAHU,08-Nov-2025 04:48 PM,Accepted-AOC,Work awarded in regular lottery system,30-Dec-2025 09:04 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3209129,RAM KUMAR JATI,11-Nov-2025 11:36 AM,Rejected-AOC,Rejected,30-Dec-2025 09:04 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3190307,Rasmanjali Sa,07-Nov-2025 10:58 AM,Rejected-AOC,Rejected,30-Dec-2025 09:04 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3210096,RENUKA HOTA,11-Nov-2025 01:10 AM,Rejected-AOC,Rejected,30-Dec-2025 09:04 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3209812,SUSIL KUMAR SAHU,11-Nov-2025 12:21 AM,Rejected-AOC,Rejected,30-Dec-2025 09:04 PM,,,,,,,AOC
