Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
CCE Upper Indravati Irrigation Project Mukhiguda,SE/UILCD-II-01/2025-26(01-03),2025_CEUIP_114293_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"7,314",Yes,percentage,1.0%,Nil,Nil,"Renovation of Slope lining, Bank strengthening from R.D.400 mtr to 575 mtr of Budhimunda sub-minor along with Repair of slope lining from R.D.7615 mtr to 7651 mtr of Golamunda Distributary",Canal repair work,Please refer Tender documents. ,NA ,"7,31,407",Civil Works - Canal,slope lining work  ,Tender,90.0,180.0,Budhimunda,766015.0,NA ,NA ,NA ,"O/o SE,UILCD-II,Dharmagarh",No ,No,"SE,UILCD No-II,Dharmagarh","O/o SE,UILCD-II,Dharmagarh, Kalahandi","4,000",Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"EMD, Paper Cost, affidavit, NRC ,PAN ,GST, RC and other Documents as per DTCN",10-Jun-2025 10:00 AM,21-Jun-2025 11:30 AM,10-Jun-2025 10:00 AM,20-Jun-2025 05:30 PM,10-Jun-2025 10:00 AM ,20-Jun-2025 05:30 PM ,10-Jun-2025 10:00 AM,20-Jun-2025 05:30 PM,AOC,31-Dec-2025,"INR 621,768.87",180.0,AKSHAYA KUMAR BHOI,31-Dec-2025 12:47 PM,WORKORDER_SUSANTABODKIA.pdf (657.00 KB),1,2973132,DHABALESWAR NAIK,19-Jun-2025 10:45 AM,Rejected-Finance,Disqualified in Transparent Lottery,31-Dec-2025 12:23 PM,"SE,UILCD2",Internal,"SE,DAO,ESTIMATOR",AKSHAYA KUMAR BHOI,31-Dec-2025 12:08 PM,techsummary_542480.pdf (870.06 KB),"SE,UILCD2",Internal,"SE,DAO,ESTIMATOR",AKSHAYA KUMAR BHOI,31-Dec-2025 12:23 PM,finsummary_542480.pdf (471.50 KB),CCE Upper Indravati Irrigation Project Mukhiguda,2025_CEUIP_114293_1,SE/UILCD-II-01/2025-26(01-03),"Renovation of Slope lining, Bank strengthening from R.D.400 mtr to 575 mtr of Budhimunda sub-minor along with Repair of slope lining from R.D.7615 mtr to 7651 mtr of Golamunda Distributary",1.0,2971665.0,SUSANTA KUMAR BODKIA,INR,"621,768.87",Finance,The tender opened on date 21.06.2025 at 11.30 am and all the fifteen nos of bidders are admitted and allowed for Technical Evaluation.,AKSHAYA KUMAR BHOI,24-Jun-2025 10:20 AM,finance_542480.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,AOC,,,,,,,2,2974885,JAGBANDHU SUNANI,20-Jun-2025 02:00 PM,Rejected-Finance,Disqualified in Transparent Lottery,31-Dec-2025 12:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,2974764,MAHENDRA NAIK,20-Jun-2025 10:54 AM,Rejected-Finance,Disqualified in Transparent Lottery,31-Dec-2025 12:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,2974897,MANOJ KUMAR AGRAWAL,20-Jun-2025 01:14 PM,Rejected-Finance,Disqualified in Transparent Lottery,31-Dec-2025 12:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,2971955,PRATAP KISHOR NAIK,18-Jun-2025 01:05 PM,Rejected-Finance,Disqualified in Transparent Lottery,31-Dec-2025 12:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,2974688,PRIYANKA PUROHIT,20-Jun-2025 09:49 AM,Rejected-Finance,Disqualified in Transparent Lottery,31-Dec-2025 12:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,2973023,RATHA MEHER,19-Jun-2025 04:53 PM,Rejected-Finance,Disqualified in Transparent Lottery,31-Dec-2025 12:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,2972969,Saroj Ranjan Gopal,19-Jun-2025 07:17 AM,Rejected-Finance,Disqualified in Transparent Lottery,31-Dec-2025 12:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,2967308,SHASHI BHUSAN PRAHARAJ,17-Jun-2025 08:07 PM,Rejected-Finance,Disqualified in Transparent Lottery,31-Dec-2025 12:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,2973277,SHIVRAM MEHER,19-Jun-2025 05:08 PM,Rejected-Finance,Disqualified in Transparent Lottery,31-Dec-2025 12:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
