Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,Opening,Bijaya Laxmi Panda,23-Sep-2025 12:57 PM,,BOQ Comparative Chart,EIC Civil cum Roads Odisha,Internal,,Pradipta Kumar Nayak,20-Sep-2025 06:12 PM,23-Sep-2025 11:00 AM,techsummary_544420.pdf (528.76 KB),1,2995948,Anil Kumar Mishra,14-Jul-2025 12:04 PM,Accepted-AOC,Selected as L1 bidder,19-Dec-2025 04:58 PM,19-Dec-2025,"INR 177,731,046",450.0,Pradipta Kumar Nayak,19-Dec-2025 04:58 PM,Tilakmal.pdf (1952.00 KB),254P1 of 2025-26,1.0,2995948.0,Anil Kumar Mishra,INR,"177,731,046",EIC Civil cum Roads Odisha,Internal,,Pradipta Kumar Nayak,19-Dec-2025 04:52 PM,finsummary_544420.pdf (1952.07 KB),EIC-CIVIL,2025_EICCL_114857_2,CE-ROADS-I-03/2025-26,Improvement of Tilakamal-Semilijora- Naranprasad- Dedhelmal - Ambagaon road from 0/000 km to 12/700 km in the district of Boudh under State Plan,Technical,Opening,Pradipta Kumar Nayak,15-Jul-2025 01:26 PM,,AOC,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Online proof copy of Tender Cost and EMD, GSTIN, PAN, RC and Affidavit",EIC-CIVIL,CE-ROADS-I-03/2025-26,2025_EICCL_114857_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,25-Jun-2025 06:15 PM,15-Jul-2025 11:30 AM,25-Jun-2025 06:15 PM,14-Jul-2025 05:30 PM,NA ,NA ,25-Jun-2025 06:15 PM,14-Jul-2025 05:30 PM,23-Sep-2025 11:00 AM,"Chief Engineer, Roads-I, Odisha","O/o the E.I.C (Civil-Cum-Roads), Odisha, Nirman Soudha, New Building, Unit-V, Bhubaneswar",Improvement of Tilakamal-Semilijora- Naranprasad- Dedhelmal - Ambagaon road from 0/000 km to 12/700 km in the district of Boudh under State Plan,Improvement of Tilakamal - Semilijora -Naranprasad-Dedhelmal-Ambagaon road from 0/000 km to 12/700 km in the district of Boudh under State Plan,Please refer Tender documents. ,NA ,"20,90,70,752",Civil Works - Roads,NA ,Tender,90.0,450.0,Boudh Division,751001.0,NA ,NA ,NA ,"O/o the E.I.C (Civil-Cum-Roads), Odisha",No ,No,"20,91,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,2,2998909,BINAYAK CONSTRUCTION AND ENGINEERS PVT LTD,14-Jul-2025 01:23 PM,Rejected-AOC,L1 bidder,19-Dec-2025 04:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Machineries and work experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,3,2995354,BKD INFRASTRUCTURE PRIVATE LIMITED,11-Jul-2025 06:16 PM,Rejected-AOC,L1 bidder,19-Dec-2025 04:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,4,2998914,DEMANTI AGRAWAL,14-Jul-2025 02:31 PM,Rejected-AOC,L1 bidder,19-Dec-2025 04:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2.0,Finance,.xls,Bill of quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,5,2995260,KL INFRABUILD PVT. LTD.,10-Jul-2025 03:52 PM,Rejected-AOC,L1 bidder,19-Dec-2025 04:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,6,2996568,MISHRA INFRA PROJECTS,12-Jul-2025 04:34 PM,Rejected-Technical,Disqualified,20-Sep-2025 06:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,7,2998375,MITTAL INFRAPROJECTS,14-Jul-2025 12:38 PM,Rejected-AOC,L1 bidder,19-Dec-2025 04:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,8,2995054,MONALISA ENGICONS,11-Jul-2025 06:30 PM,Rejected-AOC,L1 bidder,19-Dec-2025 04:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,9,2999132,m/s Anand Kumar Agrawal,14-Jul-2025 04:31 PM,Rejected-Technical,Disqualified,20-Sep-2025 06:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,10,2997356,M/S JRP CONSTRUCTION,12-Jul-2025 05:18 PM,Rejected-AOC,L1 bidder,19-Dec-2025 04:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
