S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,2996374.0,"KUNDAN KUMAR MISHRA,PROP-.KR INFRA PROJECTS",INR,"4,291,763",WATCO Bhubaneswar||Director (Operation) Watco||GM WATCO DIVISION-I BBSR,2025_GWCDB_114538_1,GMWATCO-I/25(05)/2025-26 Dt.10.06.2025,"Provision towards laying of 250mm dia DI K-9 w/s rising main with connection to 900mm dia DI Feeder mains from Sikharchandi with fixing of flow meter and flow control valves etc for loading of GSR at SS Vihar Phase-7 in Ward No-6 of BMC, BBSR",Technical,Ten no technical bids are received online and the bid is admitted subject to detail scrutiny after downloading the bid documents and after which the bid will be finally determined as valid or invalid,Basanta Kumar Behera,02-Sep-2025 04:36 PM,,General Manager,Internal,,Basanta Kumar Behera,10-Dec-2025 10:51 AM,finsummary_543344.pdf (802.02 KB),General Manager,Internal,,Basanta Kumar Behera,03-Sep-2025 12:05 PM,03-Sep-2025 04:30 PM,techsummary_543344.pdf (3708.09 KB),1.0,Corrigendum,Financial Bed Revokation,02-Sep-2025 02:18 PM,Revokation.pdf ,744.51,Financial Opening,Finance,Nine no financial bids are received online and the bid is admitted subject to detail scrutiny after downloading the bid documents and after which the bid will be finally determined as valid or invalid,Basanta Kumar Behera,03-Sep-2025 04:52 PM,,BOQ Comparative Chart,10-Dec-2025,"INR 4,291,763",180.0,Basanta Kumar Behera,10-Dec-2025 10:55 AM,AOC.pdf (1507.00 KB),1,2989288,Biswajeet Sahoo,04-Jul-2025 06:11 PM,Rejected-AOC,Not a lowest bidder,10-Dec-2025 10:55 AM,AOC,"51,000",Yes,fixed,,Nil,Nil,"Provision towards laying of 250mm dia DI K-9 w/s rising main with connection to 900mm dia DI Feeder mains from Sikharchandi with fixing of flow meter and flow control valves etc for loading of GSR at SS Vihar Phase-7 in Ward No-6 of BMC, BBSR","Provision towards laying of 250mm dia DI K-9 w/s rising main with connection to 900mm dia DI Feeder mains from Sikharchandi with fixing of flow meter and flow control valves etc for loading of GSR at SS Vihar Phase-7 in Ward No-6 of BMC, BBSR",Please refer Tender documents. ,NA ,"50,49,000",Civil Works - Water Works,NA ,Tender,120.0,180.0,"SS Vihar Phase-7 in Ward No-6 of BMC, BBSR",751021.0,NA ,NA ,NA ,Bhubaneswar,No ,No,1.0,Fee/PreQual/Technical,.pdf,"Copy of PAN, GST, Affidavits, as per DTCN",1.0,ICICI BANK,WATCO Bhubaneswar||Director (Operation) Watco||GM WATCO DIVISION-I BBSR,GMWATCO-I/25(05)/2025-26 Dt.10.06.2025,2025_GWCDB_114538_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Corrigendum,Other,,General Manager,"General Manager, WATCO Division-I, Vanivihar Square, Bhubaneswar, Odisha, Pin-751022, Phone (0674) -2542821",23-Jun-2025 05:00 PM,14-Jul-2025 12:30 PM,23-Jun-2025 05:00 PM,11-Jul-2025 05:00 PM,NA ,NA ,23-Jun-2025 05:00 PM,11-Jul-2025 05:00 PM,03-Sep-2025 04:30 PM,"11,800",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1 Corrigendum,Technical Bed Revokation,02-Sep-2025 02:35 PM,Revokation.pdf ,744.51,Technical Opening,,,,,,,,,,,,,2,2990040,DEBASH KUMAR SIA,08-Jul-2025 10:32 AM,Rejected-AOC,Not a lowest bidder,10-Dec-2025 10:55 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Certificates, Formats, Schedules and other documents if any as per DTCN",2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2996296,FLOWTECH AUTOMATION PRIVATE LIMITED,11-Jul-2025 02:37 PM,Rejected-AOC,Not a lowest bidder,10-Dec-2025 10:55 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2995674,Ghanashyam Bhoi,11-Jul-2025 02:21 PM,Rejected-AOC,Not a lowest bidder,10-Dec-2025 10:55 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2994672,JAGANNATH ROUT,10-Jul-2025 09:48 AM,Rejected-AOC,Not a lowest bidder,10-Dec-2025 10:55 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2996374,"KUNDAN KUMAR MISHRA,PROP-.KR INFRA PROJECTS",11-Jul-2025 03:12 PM,Accepted-AOC,Lowest bidder in Lottery,10-Dec-2025 10:55 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2994150,M/S HARA ENGINEERING WORKS,09-Jul-2025 03:13 PM,Rejected-AOC,Not a lowest bidder,10-Dec-2025 10:55 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2996240,SOUBHAGYA KUMAR JENA,11-Jul-2025 01:48 PM,Rejected-AOC,Not a lowest bidder,10-Dec-2025 10:55 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2996166,Sujata Mohapatra,11-Jul-2025 01:10 PM,Rejected-AOC,Not a lowest bidder,10-Dec-2025 10:55 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2994419,TAPAS RANJAN MALLICK,09-Jul-2025 06:56 PM,Rejected-Technical,Technically disqualified,03-Sep-2025 12:05 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
