Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"6,000",0.0,Nil,Nil,No,"33,794",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,"S.E, R.W.Division, Cuttack","At-REO Colony, P.O.-Nayabazar, Dist.-Cuttack, Pin-753004",Construction of proposed Class Room Building of Govindpur Womens College at Govindpur in the District of Cuttack for the year 2023-24,Construction of proposed Class Room Building of Govindpur Womens College at Govindpur in the District of Cuttack for the year 2023-24,Refer tender documents ,NA ,"33,79,447",Civil Works - Buildings,NA ,Tender,90.0,180.0,"S.E, R.W.Division, Cuttack",753004.0,NA ,NA ,NA ,"O/o the S.E, R.W.Division, Cuttack",No ,No,CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-CUTTACK,RWD CTC-09/2025-26,2025_CERWI_120207_12,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper cost, GSTIN, EMD, PAN, Affidavit,correctness and No relation certificate",30-Oct-2025 01:00 PM,10-Nov-2025 11:00 AM,30-Oct-2025 01:00 PM,07-Nov-2025 05:00 PM,30-Oct-2025 01:00 PM ,06-Nov-2025 05:00 PM ,30-Oct-2025 01:00 PM,07-Nov-2025 05:00 PM,AOC,"S.E, R.W.Division, Cuttack",Internal,"DAO-I and A.E. Estimator of R.W.Division, Cuttack.",Priyadarshini Balsamanta,08-Jan-2026 03:37 PM,finsummary_559499.pdf (2901.76 KB),"S.E, R.W.Division, Cuttack",Internal,"DAO-I and A.E. Estimator of R.W.Division, Cuttack",Priyadarshini Balsamanta,08-Jan-2026 03:30 PM,techsummary_559499.pdf (2901.76 KB),08-Jan-2026,"INR 2,872,868",180.0,Priyadarshini Balsamanta,08-Jan-2026 03:44 PM,WO.pdf (778.00 KB),1.0,3172214.0,AMARESWAR SWAIN,INR,"2,872,868",CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-CUTTACK,2025_CERWI_120207_12,RWD CTC-09/2025-26,Construction of proposed Class Room Building of Govindpur Womens College at Govindpur in the District of Cuttack for the year 2023-24,1,3186053,ALOK KUMAR DAS,07-Nov-2025 11:25 AM,Rejected-AOC,Not selected in lottery,08-Jan-2026 03:44 PM,Finance,Tender open by technical committee held on dt.10.11.2025,Priyadarshini Balsamanta,14-Nov-2025 11:11 PM,finance_559499.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3172214,AMARESWAR SWAIN,01-Nov-2025 02:23 PM,Accepted-AOC,Selected through lottery,08-Jan-2026 03:44 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3181707,Brahmajit Dash,04-Nov-2025 05:50 PM,Rejected-AOC,Not selected in lottery,08-Jan-2026 03:44 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3194187,BRUSODHWAJA NAYAK,07-Nov-2025 03:33 PM,Rejected-AOC,Not selected in lottery,08-Jan-2026 03:44 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3188644,GAJENDRA JENA,06-Nov-2025 01:15 PM,Rejected-AOC,Not selected in lottery,08-Jan-2026 03:44 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3181562,JHARANA DASH,04-Nov-2025 05:05 PM,Rejected-AOC,Not selected in lottery,08-Jan-2026 03:44 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3189462,KHIROD KUMAR SWAIN,07-Nov-2025 01:41 PM,Rejected-AOC,Not selected in lottery,08-Jan-2026 03:44 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3168696,MADHUSMITA CHOUDHURY,07-Nov-2025 11:34 AM,Rejected-AOC,Not selected in lottery,08-Jan-2026 03:44 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3187314,PADMALOCHAN PRADHAN,07-Nov-2025 06:50 AM,Rejected-AOC,Not selected in lottery,08-Jan-2026 03:44 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3192901,RANJIT MOHANTY,07-Nov-2025 12:20 PM,Rejected-AOC,Not selected in lottery,08-Jan-2026 03:44 PM,,,,,,,AOC
