Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
30-Oct-2025 04:00 PM,08-Nov-2025 11:00 AM,30-Oct-2025 04:00 PM,07-Nov-2025 05:00 PM,30-Oct-2025 04:00 PM ,06-Nov-2025 05:00 PM ,30-Oct-2025 04:00 PM,07-Nov-2025 05:00 PM,1.0,Corrigendum,Other,,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Valid RC Copy Affidavit EMD Tender paper Cost PAN and GST Regi. as per DTCN,1.0,ICICI BANK,S/R SH-30 Duarabagada for the year 2025-26,S/R SH-30 Duarabagada for the year 2025-26,Please refer Tender documents. ,NA ,"25,21,000",Civil Works - Roads,NA ,Tender,90.0,30.0,Berhampur,760010.0,NA ,NA ,NA ,"O/o the S.E R.W.D-II, Ganjam, Berhampur",No ,No,"25,300",Yes,fixed,,Nil,Nil,"Superintending Engineer RWD-II, GJM, BAM","O/o the Superintending Engineer Rural Works Division-II, Ganjam, Berhampur",CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-GANJAM - II,Online Tender/11/SERWD-II/2025-26,2025_CERWI_120323_29,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,"S.E, R.W.D-II, Ganjam, Berhampur",Internal,"Divisional Accounts Officer, Junior Engineer Estimator",Sudipta Senapati,05-Jan-2026 02:04 PM,finsummary_560094.pdf (3088.13 KB),"S.E, R.W.D-II, Ganjam, Berhampur",Internal,"Divisional Accounts Officer, Junior Engineer Estimator",Sudipta Senapati,05-Jan-2026 01:54 PM,techsummary_560094.pdf (1626.60 KB),05-Jan-2026,"INR 2,143,084",30.0,Sudipta Senapati,05-Jan-2026 02:09 PM,3SH30DuaragabagadaWO.pdf (850.00 KB),WORK ORDER,CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-GANJAM - II,2025_CERWI_120323_29,Online Tender/11/SERWD-II/2025-26,S/R SH-30 Duarabagada for the year 2025-26,1.0,3192347.0,BIBHU PRASAD NAHAK,INR,"2,143,084",1,3174330,AKASH BEHERA,03-Nov-2025 03:36 AM,Rejected-AOC,Unsuccessful Bidder,05-Jan-2026 02:10 PM,Finance,Document to be verified and under scrutiny,Babina Sahu,15-Nov-2025 06:51 PM,finance_560094.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3190943,Ashok Kumar Nayak,06-Nov-2025 07:54 PM,Rejected-AOC,Unsuccessful Bidder,05-Jan-2026 02:10 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3174222,Bhanja Swain,02-Nov-2025 06:00 PM,Rejected-AOC,Unsuccessful Bidder,05-Jan-2026 02:10 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3192347,BIBHU PRASAD NAHAK,07-Nov-2025 11:06 AM,Accepted-AOC,Successful Bidder in Lottery,05-Jan-2026 02:10 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3183695,CHANDAN KUMAR MOHINI,05-Nov-2025 12:12 PM,Rejected-AOC,Unsuccessful Bidder,05-Jan-2026 02:10 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3178466,CHINMAYA BEHERA,05-Nov-2025 05:24 PM,Rejected-AOC,Unsuccessful Bidder,05-Jan-2026 02:10 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3183351,GANESH SAHU,05-Nov-2025 11:08 AM,Rejected-AOC,Unsuccessful Bidder,05-Jan-2026 02:10 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3190206,GANGADHAR SAMANTARA,06-Nov-2025 04:59 PM,Rejected-AOC,Unsuccessful Bidder,05-Jan-2026 02:10 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3174279,G.Mohan Dora,02-Nov-2025 01:48 PM,Rejected-AOC,Unsuccessful Bidder,05-Jan-2026 02:10 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3193645,Hemanta sekhar pradhan,07-Nov-2025 01:43 PM,Rejected-AOC,Unsuccessful Bidder,05-Jan-2026 02:10 PM,,,,,,,AOC
