Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
CE RW I||RWCIRCLE-BALANGIR||RW Division Patnagarh,EEPTNG-online-07/2025-26,2025_CERWI_120441_19,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"Executive Engineer, R.W.Division,Patnagarh","O/o the Superintending Engineer, R.W.D, Patnagarh",Special Repair of PS Building at Belpada for the year 2025-26,Special Repair of PS Building at Belpada for the year 2025-26,Please refer Tender documents. ,NA ,"8,47,000",Civil Works - Buildings,NA ,Tender,90.0,60.0,Patnagarh,767025.0,NA ,NA ,NA ,"O/o the Superintending Engineer, R.W.D, Patnagarh",No ,No,"8,470",Yes,fixed,,Nil,Nil,"4,000",0.0,Nil,Nil,No,01-Nov-2025 06:00 PM,15-Nov-2025 11:00 AM,01-Nov-2025 06:00 PM,14-Nov-2025 05:00 PM,01-Nov-2025 06:00 PM ,13-Nov-2025 05:00 PM ,01-Nov-2025 06:00 PM,14-Nov-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"DD, EMD, R.C, PAN, GSTIN, AFFIDAVIT AND OTHER DOCUMENTS AS PER DTCN",AOC,Executive Engineer,Internal,"Executive Engineer, DAO ,EST.",Manik Kumbhar,19-Jan-2026 06:01 PM,finsummary_560938.pdf (741.24 KB),Executive Engineer,Internal,"Executive Engineer,dao,estimator",Manik Kumbhar,19-Jan-2026 05:48 PM,techsummary_560938.pdf (868.13 KB),19-Jan-2026,"INR 7,191,866.547",60.0,Manik Kumbhar,19-Jan-2026 06:07 PM,Scan_0002.pdf (459.00 KB),1,3220306,ABHISHEK SARAF,14-Nov-2025 10:27 AM,Rejected-Finance,UNSUCESSFUL BIDDER IN LOTTERY SYSTEM,19-Jan-2026 06:01 PM,1.0,3218312.0,BIRENDRA SETH,INR,"719,186.54",CE RW I||RWCIRCLE-BALANGIR||RW Division Patnagarh,2025_CERWI_120441_19,EEPTNG-online-07/2025-26,Special Repair of PS Building at Belpada for the year 2025-26,Finance,22 Nos bid opened,Bebisuta Sahu,10-Jan-2026 12:10 PM,finance_560938.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,AOC,,,,,,,,,,,,,,,,,,,2,3222896,AKASH KUMAR JAIN,13-Nov-2025 08:43 PM,Rejected-Finance,UNSUCESSFUL BIDDER IN LOTTERY SYSTEM,19-Jan-2026 06:01 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,3213429,ARYA INFRASTRCTURE,11-Nov-2025 03:05 PM,Rejected-Finance,UNSUCESSFUL BIDDER IN LOTTERY SYSTEM,19-Jan-2026 06:01 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4,3218312,BIRENDRA SETH,12-Nov-2025 06:36 PM,Accepted-AOC,SUCESSFUL BIDDER IN LOTTERY SYSTEM,19-Jan-2026 06:07 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,5,3214404,DHANANJAYA PADHAN,14-Nov-2025 11:17 AM,Rejected-Finance,UNSUCESSFUL BIDDER IN LOTTERY SYSTEM,19-Jan-2026 06:01 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,6,3211389,DILLIP KUMAR BISWAL,11-Nov-2025 12:22 PM,Rejected-Finance,UNSUCESSFUL BIDDER IN LOTTERY SYSTEM,19-Jan-2026 06:01 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,7,3224902,DOSALIN MISHRA,14-Nov-2025 03:30 PM,Rejected-Finance,UNSUCESSFUL BIDDER IN LOTTERY SYSTEM,19-Jan-2026 06:01 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,8,3223523,KANHA AGRAWAL,14-Nov-2025 10:12 AM,Rejected-AOC,UNSUCESSFUL BIDDER IN LOTTERY SYSTEM,19-Jan-2026 06:07 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,9,3216324,KUNAL SHARMA,12-Nov-2025 08:04 PM,Rejected-Finance,UNSUCESSFUL BIDDER IN LOTTERY SYSTEM,19-Jan-2026 06:01 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,10,3198070,KUNTI MAHANANDA,12-Nov-2025 10:02 AM,Rejected-Finance,UNSUCESSFUL BIDDER IN LOTTERY SYSTEM,19-Jan-2026 06:01 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,11,3190442,PADMANAVA NAIK,06-Nov-2025 06:04 PM,Rejected-Finance,UNSUCESSFUL BIDDER IN LOTTERY SYSTEM,19-Jan-2026 06:01 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,12,3219148,PINKU MEHER,13-Nov-2025 02:36 PM,Rejected-Finance,UNSUCESSFUL BIDDER IN LOTTERY SYSTEM,19-Jan-2026 06:01 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,13,3223331,PRABIR KUMAR MAHAKHUD,14-Nov-2025 03:36 PM,Rejected-Finance,UNSUCESSFUL BIDDER IN LOTTERY SYSTEM,19-Jan-2026 06:01 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,14,3212478,raghunath purohit,12-Nov-2025 06:10 AM,Rejected-Finance,UNSUCESSFUL BIDDER IN LOTTERY SYSTEM,19-Jan-2026 06:01 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,15,3225035,RAJESH RANJAN PATRA,14-Nov-2025 03:18 PM,Rejected-Finance,UNSUCESSFUL BIDDER IN LOTTERY SYSTEM,19-Jan-2026 06:01 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,16,3223536,RAJIB KUMAR HOTA,14-Nov-2025 01:40 PM,Rejected-Finance,UNSUCESSFUL BIDDER IN LOTTERY SYSTEM,19-Jan-2026 06:01 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,17,3223760,SATYABRAT BRAHMA,14-Nov-2025 11:35 AM,Rejected-Finance,UNSUCESSFUL BIDDER IN LOTTERY SYSTEM,19-Jan-2026 06:01 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,18,3222071,SIMA BEHERA,13-Nov-2025 06:11 PM,Rejected-Finance,UNSUCESSFUL BIDDER IN LOTTERY SYSTEM,19-Jan-2026 06:01 PM,,,,,,,,,,,,,,,,AOC
