Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Divisional Officer,"RURAL WORKS DIVISION, KORAPUT",1.0,Fee/PreQual/Technical/Finance,.pdf,"PAPER COST, EMD, PAN, GST, License, Court Affidavit and other documents as per DTCN","6,000",0.0,Nil,Nil,No,"L072-NH 43 to Chapsil_Road_RCC Culvert(1X4X3), Renewal coat of SDBC with WMM profile correction_At 0/850 km 0/400 to 1/000","L072-NH 43 to Chapsil_Road_RCC Culvert(1X4X3), Renewal coat of SDBC with WMM profile correction_At 0/850 km 0/400 to 1/000",NA ,NA ,"49,84,921",Civil Works - Roads,NA ,Tender,90.0,90.0,Koraput,764020.0,Superintending Engineer RWD Koraput ,Superintending Engineer RWD Koraput ,08-Dec-2025 11:00 AM ,"RURAL WORKS DIVISION, KORAPUT",No ,No,"49,850",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-KORAPUT,SERWKPT ONLINE 02/2025-26,2025_CERWI_122770_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,08-Dec-2025 11:00 AM,16-Dec-2025 11:00 AM,08-Dec-2025 11:00 AM,15-Dec-2025 05:30 PM,08-Dec-2025 11:00 AM ,15-Dec-2025 05:30 PM ,08-Dec-2025 11:00 AM,15-Dec-2025 05:30 PM,AOC,Executive Engineer,Internal,"Assistant Engineer Estimator, Divisional Accounts Officer and Junior Engineer Estimator",Srikrushna Sabar,31-Jan-2026 04:54 PM,finsummary_570114.pdf (4320.87 KB),CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-KORAPUT,2025_CERWI_122770_1,SERWKPT ONLINE 02/2025-26,"L072-NH 43 to Chapsil_Road_RCC Culvert(1X4X3), Renewal coat of SDBC with WMM profile correction_At 0/850 km 0/400 to 1/000",1.0,3302005.0,Tuna Kandhapan,INR,"4,237,681",Finance,SUMMARY,Srikrushna Sabar,17-Jan-2026 11:27 AM,finance_570114.pdf,BOQ Comparative Chart,31-Jan-2026,"INR 4,237,681",90.0,Srikrushna Sabar,31-Jan-2026 05:03 PM,CHAPSIL_A.pdf (948.00 KB),Agreement Drawn,1,3299723,ABHI JANI,13-Dec-2025 04:06 PM,Rejected-AOC,Lost in lottery,31-Jan-2026 05:04 PM,Executive Engineer,Internal,"Assistant Engineer Estimator, Divisional Accounts Officer and Junior Engineer Estimator",Srikrushna Sabar,31-Jan-2026 04:14 PM,techsummary_570114.pdf (4320.87 KB),AOC
,,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3304586,Bharat Mirgan,15-Dec-2025 05:15 PM,Rejected-AOC,Lost in lottery,31-Jan-2026 05:04 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3301930,DILIP KUMAR PRADHAN,15-Dec-2025 01:33 PM,Rejected-AOC,Lost in lottery,31-Jan-2026 05:04 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3300363,DURMAN MUDULI (S.T),14-Dec-2025 09:20 AM,Rejected-AOC,Lost in lottery,31-Jan-2026 05:04 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3298945,JITENDRA SUBUDHI,13-Dec-2025 12:02 AM,Rejected-AOC,Lost in lottery,31-Jan-2026 05:04 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3296508,JUDHISTIR BEHERA,12-Dec-2025 11:44 AM,Rejected-AOC,Lost in lottery,31-Jan-2026 05:04 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3301924,LAXMIKANTA BIDIKA,14-Dec-2025 09:55 PM,Rejected-AOC,Lost in lottery,31-Jan-2026 05:04 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3302079,NARAYAN TANTI,15-Dec-2025 12:51 PM,Rejected-AOC,Lost in lottery,31-Jan-2026 05:04 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3304122,PRAMOD KUMAR KHOSLA,15-Dec-2025 04:08 PM,Rejected-AOC,Lost in lottery,31-Jan-2026 05:04 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3302737,RAMANATH ACHARYA,15-Dec-2025 11:45 AM,Rejected-AOC,Lost in lottery,31-Jan-2026 05:04 PM,,,,,,,AOC
