Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,Tender Stage
EE,Internal,"EE, DAO AND ESTIMATOR",Sasmita Munduri,14-Jan-2026 07:29 PM,techsummary_571338.pdf (4233.06 KB),29-Jan-2026,"INR 576,095",60.0,Chittaranjan Mishra,29-Jan-2026 06:58 PM,577.pdf (460.00 KB),147P1 OF 2025-26,1,3313226,ACHYUTANANDA MAHAPATRA,21-Dec-2025 10:14 PM,Rejected-AOC,L1,29-Jan-2026 06:58 PM,Finance,Technical Evaluation committee,Sasmita Munduri,14-Jan-2026 07:24 PM,finance_571338.pdf,BOQ Comparative Chart,1.0,3320068.0,sushama pradhan,INR,"576,095",CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-NAYAGARH,2025_CERWI_123053_1,TENDERONLINEDNAYAGARH72526,S/R to R.W. Section office building at Odagaon for the year 2025-26,EE,Internal,"EE, DAO AND ESTIMATOR",Chittaranjan Mishra,29-Jan-2026 06:55 PM,finsummary_571338.pdf (4233.11 KB),AOC,CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-NAYAGARH,TENDERONLINEDNAYAGARH72526,2025_CERWI_123053_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Executive Engineer,"RURAL WORKS DIVISION, NAYAGARH",11-Dec-2025 06:50 PM,23-Dec-2025 06:50 PM,11-Dec-2025 06:50 PM,22-Dec-2025 05:30 PM,11-Dec-2025 06:50 PM ,22-Dec-2025 05:30 PM ,11-Dec-2025 06:50 PM,22-Dec-2025 05:30 PM,"6,777",Yes,percentage,1.0%,Nil,Nil,"4,000",0.0,Nil,Nil,No,1.0,CORRIGENDUM,Other,,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN.pdfBOQ.xlsvalidPANGSTContractorlicenceetcasDTCN,S/R to R.W. Section office building at Odagaon for the year 2025-26,S/R to R.W. Section office building at Odagaon for the year 2025-26,NA ,NA ,"6,77,679",Civil Works - Buildings,NA ,Tender,90.0,60.0,Nayagarh,752070.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, NAYAGARH",No ,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,2,3322896,BIJAYA KUMAR SETHI,22-Dec-2025 03:28 PM,Rejected-AOC,L1,29-Jan-2026 06:58 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,3,3313443,BIKRAM PRADHAN,19-Dec-2025 01:42 PM,Rejected-AOC,L1,29-Jan-2026 06:58 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,4,3319725,BIPIN KUMAR NAYAK,21-Dec-2025 05:51 PM,Rejected-AOC,L1,29-Jan-2026 06:58 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,5,3319598,DEBASIS PAIKERA,22-Dec-2025 01:05 PM,Rejected-AOC,L1,29-Jan-2026 06:58 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,6,3319580,DIBAKAR BADAJENA,20-Dec-2025 04:48 PM,Rejected-AOC,L1,29-Jan-2026 06:58 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,7,3322950,JP CONSTRUCTION,22-Dec-2025 03:50 PM,Rejected-AOC,L1,29-Jan-2026 06:58 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,8,3318103,MANORANJAN JENA,20-Dec-2025 08:28 PM,Rejected-AOC,L1,29-Jan-2026 06:58 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,9,3300399,MISIRA KUMAR DHAR,13-Dec-2025 09:16 PM,Rejected-AOC,L1,29-Jan-2026 06:58 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,10,3319892,PRITAM PATRA,20-Dec-2025 07:33 PM,Rejected-AOC,L1,29-Jan-2026 06:58 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
