Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
Sibaram Sahoo,Internal,"Chairperson, EO, ME,JE",RANJAN KUMAR MARTHA,30-Dec-2025 08:14 PM,techsummary_570026.pdf (562.41 KB),1,3309592,AKHUJA NAIK,16-Dec-2025 08:50 PM,Rejected-Finance,As per Lottery,08-Jan-2026 07:41 PM,08-Jan-2026,"INR 841,860.01",60.0,RANJAN KUMAR MARTHA,08-Jan-2026 07:47 PM,udaya.pdf (633.00 KB),Finance,31 bidder participated out of which two bidder not admitted,RANJAN KUMAR MARTHA,24-Dec-2025 04:51 PM,,BOQ Comparative Chart,1.0,3305607.0,UDAYA PRATAP SINGH DEO,INR,"840,843.01",Municipal Bodies||Redhakhol NAC,2025_ORULB_122745_6,RDL NAC-3/2025-26,Renovation of Hatisala bandha in ward No 09,Sibaram Sahoo,Internal,"Chairperson, EO, ME,JE",RANJAN KUMAR MARTHA,08-Jan-2026 07:41 PM,finsummary_570026.pdf (779.07 KB),AOC,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,08-Dec-2025 10:00 AM,18-Dec-2025 11:00 AM,08-Dec-2025 10:00 AM,17-Dec-2025 05:30 PM,NA ,NA ,08-Dec-2025 10:00 AM,17-Dec-2025 05:30 PM,"4,000",0.0,Nil,Nil,No,"8,427",Yes,percentage,1.0%,Nil,Nil,Municipal Bodies||Redhakhol NAC,RDL NAC-3/2025-26,2025_ORULB_122745_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Renovation of Hatisala bandha in ward No 09,Renovation of Hatisala bandha in ward No 09,Please refer Tender documents. ,NA ,"8,42,703",Civil Works - Roads,NA ,Tender,90.0,60.0,"NAC, Redhakhol",768106.0,NA ,NA ,NA ,"NAC, Redhakhol",No ,No,"Executive Officer, NAC, Redhakhol","Executive Officer, NAC, Redhakhol",AOC
,,,,,,2,3302544,Banamali Behera,15-Dec-2025 10:47 AM,Rejected-Finance,As per Lottery,08-Jan-2026 07:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,3,3309932,BIJAY PRADHAN,16-Dec-2025 11:23 PM,Rejected-Finance,As per Lottery,08-Jan-2026 07:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,4,3309533,BINOD BIHARI MAHAPATRA,16-Dec-2025 08:31 PM,Not Admitted-Fee/PreQual/Technical/Finance,Others-Bank details not attended,24-Dec-2025 04:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,5,3298700,Birendra Kumar Sahoo,12-Dec-2025 08:24 PM,Rejected-Finance,As per Lottery,08-Jan-2026 07:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,6,3297400,BISWARANJAN PRADHAN,12-Dec-2025 01:07 PM,Rejected-Finance,As per Lottery,08-Jan-2026 07:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,7,3304820,KAUSTAVA MANI RAUL,15-Dec-2025 06:04 PM,Rejected-Finance,As per Lottery,08-Jan-2026 07:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,8,3300121,Lilabati Meher,13-Dec-2025 06:53 PM,Rejected-Finance,As per Lottery,08-Jan-2026 07:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,9,3298771,MADHAB PRADHAN,16-Dec-2025 01:35 PM,Rejected-Finance,As per Lottery,08-Jan-2026 07:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,10,3311448,NATABARA MEHER,17-Dec-2025 03:32 PM,Rejected-Finance,As per Lottery,08-Jan-2026 07:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,11,3309135,NIRUPAMA HOTA,17-Dec-2025 02:00 PM,Rejected-Finance,As per Lottery,08-Jan-2026 07:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
