S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Tender Stage
1.0,2478472.0,Atanu Kumar Paul,INR,"93,469,172",Smt Anu Garg,External,"Er C S Padhi, Er L Gouda , Er C R Bhuyan, Er S Mohanty, Mr D R Beshra, Mr B Mallick, S Sahoo",Chitta Ranjan Bhuyan,13-Jan-2026 04:58 PM,finsummary_496628.pdf (2771.21 KB),Technical,The technical bid documents of the above bidders have been downloaded successfully from website,Ramakanta Mohapatra,06-Apr-2024 06:10 PM,technical_496628.pdf,"CE-BM,BSB Basin,Laxmiposi",2024_CEBML_101820_2,"49/ 23-24 of CEBM, SBB, Laxmiposi","B. Restoration and Protection to right bank of river Gangahar near village Bhurudiha, Bhadrasia, Gaudagaon, Barabanka and Mayurgaon.",Finance,The financial bid documents of the above bidders have been downloaded successfully from website.,Ramakanta Mohapatra,16-Oct-2025 04:58 PM,finance_496628.pdf,BOQ Comparative Chart,Smt Anu Garg,External,"Er CS Padhi, Er. S Mohanty, Er L Gouda, Er CR Bhuyan, Mr. DK Beshra, B Mallick, S Sahoo",Chitta Ranjan Bhuyan,14-Oct-2025 05:11 PM,16-Oct-2025 11:00 AM,techsummary_496628.pdf (2321.84 KB),15-Jan-2026,"INR 93,469,172",548.0,Sanjib Kumar Nayak,24-Feb-2026 04:29 PM,AocMayurgaon.pdf (757.00 KB),"The work is awarded to Atanu Kumar Paul vide Memo No.85/WE dt.8.1.26 of SE, BID, Balasore",1,2480056,AMLAN SAMAL,18-Mar-2024 03:46 PM,Rejected-Finance,As per approval of financial bid in DoWR Lr No. 35217 dated 16.12.2025,13-Jan-2026 04:58 PM,AOC,"11,00,000",Yes,fixed,,Nil,Nil,26-Feb-2024 05:30 PM,19-Mar-2024 11:00 AM,26-Feb-2024 05:30 PM,18-Mar-2024 05:00 PM,26-Feb-2024 05:30 PM ,15-Mar-2024 05:00 PM ,26-Feb-2024 06:00 PM,18-Mar-2024 05:00 PM,16-Oct-2025 11:00 AM,"CE-BM,BSB Basin,Laxmiposi","49/ 23-24 of CEBM, SBB, Laxmiposi",2024_CEBML_101820_2,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"EMD, GST, PAN, Contractors R.C., Affidavit, no relationship with Department etc.","B. Restoration and Protection to right bank of river Gangahar near village Bhurudiha, Bhadrasia, Gaudagaon, Barabanka and Mayurgaon.","B. Restoration and Protection to right bank of river Gangahar near village Bhurudiha, Bhadrasia, Gaudagaon, Barabanka and Mayurgaon.",As per Technical Bid ,NA ,"10,99,50,796",Civil Works - Others,NA ,Tender,90.0,548.0,Remuna Block Baalsore,756019.0,NA ,NA ,NA ,"Office of the CE and BM, S and B Basin, Laxmiposi",No ,No,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,"CE and BM, S and B Basin, Laxmiposi","Office of the CE and BM, S and B Basin, Laxmiposi",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2478499,ANSUMAN ROUT,17-Mar-2024 04:46 PM,Rejected-Finance,As per approval of financial bid in DoWR Lr No. 35217 dated 16.12.2025,13-Jan-2026 04:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2479796,Ashish Kumar Kar,18-Mar-2024 01:00 PM,Rejected-Finance,As per approval of financial bid in DoWR Lr No. 35217 dated 16.12.2025,13-Jan-2026 04:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2478472,Atanu Kumar Paul,18-Mar-2024 08:06 AM,Accepted-AOC,Awarded,24-Feb-2026 04:30 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2479719,BHOOMEE CONDEV PRIVATE LIMITED,18-Mar-2024 02:09 PM,Rejected-Finance,As per approval of financial bid in DoWR Lr No. 35217 dated 16.12.2025,13-Jan-2026 04:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2478491,BIJOY KUMAR ROUT,18-Mar-2024 03:23 PM,Rejected-Finance,As per approval of financial bid in DoWR Lr No. 35217 dated 16.12.2025,13-Jan-2026 04:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2471849,BISWA PRAKASH TRIPATHY,11-Mar-2024 03:22 PM,Rejected-Finance,As per approval of financial bid in DoWR Lr No. 35217 dated 16.12.2025,13-Jan-2026 04:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2479023,JITENDRA KUMAR PARIDA,18-Mar-2024 03:09 PM,Rejected-Finance,As per approval of financial bid in DoWR Lr No. 35217 dated 16.12.2025,13-Jan-2026 04:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2478683,LAXMINARAYAN MALLICK,16-Mar-2024 12:15 PM,Rejected-Finance,As per approval of financial bid in DoWR Lr No. 35217 dated 16.12.2025,13-Jan-2026 04:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2478008,M/S SHREE GANESH CONSTRUCTION,16-Mar-2024 05:20 PM,Rejected-Technical,"As per approval of Technical bid Lr No.28476 dt.10.10.2025 of Govt of Odisha, DoWR.",14-Oct-2025 05:11 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
