Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
02-Feb-2026,"INR 504,292.25",60.0,Nihar Ranjan Behera,02-Feb-2026 12:09 PM,10.pdf (465.00 KB),"CE,Minor Irrigation,BBSR||SE,KBK Minor Irr.CircleII,Jeypore||EE,MI Divn, Malkangir",2025_CEMIB_120407_10,SEMIDMKG-08/2025-26,Improvement to Tunibeda-II Check Dam,1.0,3193059.0,KAMALESH DAS,INR,"504,292.25",1,3191106,ARUN KUMAR SAHA,06-Nov-2025 09:06 PM,Rejected-AOC,Unsuccessful in Lottery,02-Feb-2026 12:09 PM,Finance,Tender opened,Nihar Ranjan Behera,02-Feb-2026 11:52 AM,finance_560428.pdf,BOQ Comparative Chart,Superintending Engineer,Internal,Superintending Engineer Asst. Executive Engineer(Estr.) Asst. Engineer (Estr.) Divisional Accountant Officer,Nihar Ranjan Behera,02-Feb-2026 12:02 PM,finsummary_560428.pdf (571.04 KB),Superintending Engineer,Internal,Superintending Engineer Asst. Executive Engineer(Estr.) Asst. Engineer (Estr.) Divisional Accountant Officer,Nihar Ranjan Behera,02-Feb-2026 11:56 AM,techsummary_560428.pdf (571.04 KB),AOC,1.0,ICICI BANK,"4,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Pan Card, Active GSTIN, Valid License, Affidavit, Under taking regarding No-Relationship",Superintending Engineer,"O/O the SE, M.I. Division, Malkangiri","CE,Minor Irrigation,BBSR||SE,KBK Minor Irr.CircleII,Jeypore||EE,MI Divn, Malkangir",SEMIDMKG-08/2025-26,2025_CEMIB_120407_10,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",Yes,fixed,,Nil,Nil,Improvement to Tunibeda-II Check Dam,Improvement to Tunibeda-II Check Dam in Korukonda Block of Malkangiri District under Improvement to Check Dam Scheme for the year 2025-26.,Refer DTCN ,NA ,"5,93,215",Civil Works - Water Works,NA ,Tender,90.0,60.0,Tunibeda-II,764045.0,NA ,NA ,NA ,"O/O the SE, M.I. Division, Malkangiri",No ,No,01-Nov-2025 10:00 AM,11-Nov-2025 11:00 AM,01-Nov-2025 10:00 AM,10-Nov-2025 05:00 PM,01-Nov-2025 10:00 AM ,09-Nov-2025 05:00 PM ,01-Nov-2025 10:00 AM,10-Nov-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,2,3197446,CHAPALA MANDAL,10-Nov-2025 09:23 AM,Rejected-AOC,Unsuccessful in Lottery,02-Feb-2026 12:09 PM,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3193059,KAMALESH DAS,07-Nov-2025 07:34 PM,Accepted-AOC,Winner in Lottery,02-Feb-2026 12:09 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3200353,KAMAL KUMAR DAS,09-Nov-2025 10:59 AM,Rejected-AOC,Unsuccessful in Lottery,02-Feb-2026 12:09 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3195218,KANCHAN DEURI,07-Nov-2025 07:56 PM,Rejected-AOC,Unsuccessful in Lottery,02-Feb-2026 12:09 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3202792,MADHABI MAJUMDAR,09-Nov-2025 06:15 PM,Rejected-AOC,Unsuccessful in Lottery,02-Feb-2026 12:09 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3189900,NAKUL SOLPADIA,06-Nov-2025 04:34 PM,Rejected-AOC,Unsuccessful in Lottery,02-Feb-2026 12:09 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3202594,NIRMALYA DEV BALA,09-Nov-2025 07:28 PM,Rejected-AOC,Unsuccessful in Lottery,02-Feb-2026 12:09 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3203113,SANKAR GHARAMI,09-Nov-2025 07:38 PM,Rejected-AOC,Unsuccessful in Lottery,02-Feb-2026 12:09 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3207270,SANTI RANJAN KIRTANIA,10-Nov-2025 02:08 PM,Rejected-AOC,Unsuccessful in Lottery,02-Feb-2026 12:09 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,11,3200339,SIMANCHAL DASH,09-Nov-2025 10:32 AM,Rejected-AOC,Unsuccessful in Lottery,02-Feb-2026 12:09 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,12,3179198,SUBHAM MANDAL,09-Nov-2025 04:18 PM,Rejected-AOC,Unsuccessful in Lottery,02-Feb-2026 12:09 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,13,3196999,Sujata Sarkar,08-Nov-2025 05:49 PM,Rejected-AOC,Unsuccessful in Lottery,02-Feb-2026 12:09 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,14,3203035,Sunita Kasa,09-Nov-2025 07:07 PM,Rejected-AOC,Unsuccessful in Lottery,02-Feb-2026 12:09 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,15,3208317,Sunita Kumari Sethy,10-Nov-2025 04:00 PM,Rejected-AOC,Unsuccessful in Lottery,02-Feb-2026 12:09 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
