Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,"2,99,100",Yes,fixed,,Nil,Nil,CE RW I||RWCIRCLE-SUNABEDA,CCERWCSBD Online - 07/2025-26,2025_CERWI_116551_4,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Bid Cost, EMD, RC,PAN, GST, Affidavit regarding correctness, No relation certificate",Periodical Renewal work of 5 year post DLP PMGSY Roads for financial year 2025-26 under State Budget for Package No. PM-SBD-A2/2025-26,Periodical Renewal work of 5 year post DLP PMGSY Roads for financial year 2025-26 under State Budget for Package No. PM-SBD-A2/2025-26,N.A. ,NA ,"2,99,10,000",Civil Works - Roads,NA ,Tender,90.0,180.0,SUNABEDA,763001.0,NA ,NA ,NA ,"Chief Construction Engineer, R.W.Circle, Sunabeda",No ,No,Chief Construction Engineer,"Rural Works Circle, Sunabeda-1, Near Jagannath Temple, PIN-763001, Dist-Koraput",07-Aug-2025 06:00 PM,16-Aug-2025 11:00 AM,07-Aug-2025 06:00 PM,14-Aug-2025 05:00 PM,07-Aug-2025 06:00 PM ,13-Aug-2025 02:00 PM ,07-Aug-2025 06:00 PM,14-Aug-2025 05:00 PM,25-Oct-2025 11:00 AM,AOC,Technical,BIDDERS NAME,Rinku Nahak,20-Oct-2025 01:39 PM,technical_548725.pdf,CE RW I||RWCIRCLE-SUNABEDA,2025_CERWI_116551_4,CCERWCSBD Online - 07/2025-26,Periodical Renewal work of 5 year post DLP PMGSY Roads for financial year 2025-26 under State Budget for Package No. PM-SBD-A2/2025-26,"Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,"Superintending Engineer, DAO, Estimator of Rural Works Division, Sunabeda Estimator R.W. Circle Sunabeda and P.A. to CCE",Rinku Nahak,01-Jan-2026 01:28 PM,finsummary_548725.pdf (622.77 KB),1.0,3035572.0,M/s SANTOSH SATAPATHY,INR,"25,426,724.74",09-Feb-2026,"INR 25,426,724.74",180.0,Rinku Nahak,09-Feb-2026 01:39 PM,AOCSBDA2.pdf (149.00 KB),"Award of contract to Sri Santosh Satapathy, A Class Contractor through transparency lottery system",1,3035276,ALOK KUMAR BISOYI,13-Aug-2025 11:28 PM,Rejected-Finance,REJECT,01-Jan-2026 01:28 PM,"Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,"Superintending Engineer, DAO, Estimator of Rural Works Division, Sunabeda Estimator R.W. Circle Sunabeda",Rinku Nahak,20-Oct-2025 01:58 PM,25-Oct-2025 11:00 AM,techsummary_548725.pdf (2008.24 KB),Finance,CS,Rinku Nahak,01-Jan-2026 01:16 PM,finance_548725.pdf,BOQ Comparative Chart,AOC
,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Annual Turn over certificate from CA, Similar nature of Work Certificate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3035379,Ankit Kumar Agrawal,14-Aug-2025 12:10 PM,Rejected-Finance,REJECT,01-Jan-2026 01:28 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machineries and other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3032202,Banoj kumar patra,12-Aug-2025 06:41 PM,Rejected-Finance,REJECT,01-Jan-2026 01:28 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3036229,BATU PRAVEEN KUMAR,14-Aug-2025 04:34 PM,Rejected-Finance,REJECT,01-Jan-2026 01:28 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3035864,CHETAN BISOI,14-Aug-2025 01:33 PM,Rejected-Finance,REJECT,01-Jan-2026 01:28 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3034195,DURMAN MUDULI (S.T),13-Aug-2025 10:22 PM,Rejected-Finance,REJECT,01-Jan-2026 01:28 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3032670,HARIBANDHU KHORA,14-Aug-2025 03:09 PM,Rejected-Technical,DISQUALIFIED,20-Oct-2025 01:58 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3031975,JAY PRAKASH SHARMA,14-Aug-2025 04:52 PM,Rejected-Finance,REJECT,01-Jan-2026 01:28 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3032064,KAILASH PANDA,13-Aug-2025 09:03 PM,Rejected-Finance,REJECT,01-Jan-2026 01:28 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3036069,KISHORE KUMAR PANDA,14-Aug-2025 03:38 PM,Rejected-Finance,REJECT,01-Jan-2026 01:28 PM,,,,,,,,,,,,,,AOC
