Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Stage
07-Feb-2026,"INR 285,713",30.0,Haripriya Behera,07-Feb-2026 02:08 PM,Khunta26A.pdf (651.00 KB),1.0,3197652.0,BIVASH KUMAR ROUT,INR,"285,713",CE RW I||RWCIRCLE-BARIPADA||RW Division Udala,2025_CERWI_120870_26,03(Onilne)/RWD/UDALA/2025-26,Repair to E type Qtr. Khunta Tahasil for the year 2025-26.,1,3206780,BHABESH NAYAK,13-Nov-2025 12:55 PM,Rejected-AOC,L1,07-Feb-2026 02:09 PM,Finance,22 Nos of bidders admitted,Haripriya Behera,07-Feb-2026 02:02 PM,,BOQ Comparative Chart,SE RWD Udala,Internal,,Haripriya Behera,07-Feb-2026 02:06 PM,finsummary_562161.pdf (1450.19 KB),SE RWD Udala,Internal,,Haripriya Behera,07-Feb-2026 02:04 PM,techsummary_562161.pdf (1450.18 KB),AOC,"2,000",0.0,Nil,Nil,No,Repair to E type Qtr. Khunta Tahasil for the year 2025-26.,Repair to E type Qtr. Khunta Tahasil for the year 2025-26.,Please refer Tender documents. ,NA ,"3,36,000",Civil Works - Buildings,NA ,Tender,90.0,30.0,"SERW Division, Udala",757041.0,NA ,NA ,NA ,Office of the SE RWD Udala,No ,No,CE RW I||RWCIRCLE-BARIPADA||RW Division Udala,03(Onilne)/RWD/UDALA/2025-26,2025_CERWI_120870_26,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"3,360",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper cost, EMD, RC, PAN, GSTIN, Affidavits and other documents as per DTCN.",1.0,ICICI BANK,06-Nov-2025 04:00 PM,13-Nov-2025 05:30 PM,06-Nov-2025 04:00 PM,13-Nov-2025 05:00 PM,06-Nov-2025 04:00 PM ,13-Nov-2025 03:00 PM ,06-Nov-2025 04:00 PM,13-Nov-2025 05:00 PM,SE RWD Udala,SE RWD Udala,AOC
,,,,,,,,,,,,,,,2,3214988,BHABESH NAYAK,12-Nov-2025 08:37 PM,Rejected-AOC,L1,07-Feb-2026 02:09 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,2.0,ICICI NEFT/RTGS,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3219801,BISHESWAR ROUT,13-Nov-2025 06:22 AM,Rejected-AOC,L1,07-Feb-2026 02:09 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3196206,Biswajit Pramanik,13-Nov-2025 12:27 AM,Rejected-AOC,L1,07-Feb-2026 02:09 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3213296,BISWARANJITA MOHANTY,13-Nov-2025 01:28 PM,Rejected-AOC,L1,07-Feb-2026 02:09 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3197652,BIVASH KUMAR ROUT,13-Nov-2025 01:33 AM,Accepted-AOC,L1,07-Feb-2026 02:09 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3207351,HARISH KUMAR BEHERA,13-Nov-2025 11:54 AM,Rejected-AOC,L1,07-Feb-2026 02:09 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3219348,HEMANTA KUMAR JENA,13-Nov-2025 10:04 AM,Rejected-AOC,L1,07-Feb-2026 02:09 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3219874,INDRAJIT NAYAK,13-Nov-2025 07:22 AM,Rejected-AOC,L1,07-Feb-2026 02:09 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3219553,KAMALAKANTA DEHURI,12-Nov-2025 10:47 PM,Rejected-AOC,L1,07-Feb-2026 02:09 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
