Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"6,000",0.0,Nil,Nil,No,"33,000",Yes,fixed,,Nil,Nil,"S/R to Balipadar-Hatiota Road (ODR) such as reconstruction of road with WMM, BM and SDBC from 1/980 to 2/030, 2/350 to 2/410, 3/100 to 3/185, 4/950 to 5/245 Km.",Road work,Please refer Tender documents. ,NA ,"32,97,725",Civil Works - Roads,NA ,Tender,90.0,30.0,Arakhapur,761117.0,NA ,NA ,NA ,"O/o S.E., Bhanjanagar (RandB) Division,Bhanjanagar",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Online proof copy of Tender Cost, EMD, Contractor RC, GST, PAN, Affidavits, other document as DTCN",02-Sep-2025 12:00 PM,09-Sep-2025 11:00 AM,02-Sep-2025 12:00 PM,08-Sep-2025 05:00 PM,02-Sep-2025 12:00 PM ,06-Sep-2025 05:00 PM ,02-Sep-2025 12:00 PM,08-Sep-2025 05:00 PM,Superintending Engineer,"O/o S.E., Bhanjanagar (RandB) Division,Bhanjanagar",EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-BHANJANAGAR,S.E.-BNJ-RandB-10/2025-26,2025_EICCL_117568_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC,1,3067312,AKASH BEHERA,07-Sep-2025 02:05 PM,Rejected-AOC,Qualified,19-Feb-2026 11:08 AM,19-Feb-2026,"INR 2,803,396",30.0,Satya Ranjan Parida,19-Feb-2026 11:07 AM,10AOC1.pdf (937.00 KB),Er. S R Parida SE,Internal,,Satya Ranjan Parida,19-Feb-2026 10:54 AM,techsummary_551007.pdf (532.38 KB),EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-BHANJANAGAR,2025_EICCL_117568_1,S.E.-BNJ-RandB-10/2025-26,"S/R to Balipadar-Hatiota Road (ODR) such as reconstruction of road with WMM, BM and SDBC from 1/980 to 2/030, 2/350 to 2/410, 3/100 to 3/185, 4/950 to 5/245 Km.",Er. S R Parida SE,Internal,,Satya Ranjan Parida,19-Feb-2026 11:01 AM,finsummary_551007.pdf (532.38 KB),Finance,The tender documents of all bidders are under scrutiny.,Chiranjibi Sahu,10-Sep-2025 05:07 PM,,BOQ Comparative Chart,1.0,3067226.0,Sagar Kumar Panigrahi,INR,"2,803,396",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,2,3069695,CHANDAN KUMAR SAHU,08-Sep-2025 04:47 PM,Rejected-AOC,Qualified,19-Feb-2026 11:08 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3069281,DEEPAK KUMAR PANDA,08-Sep-2025 03:18 PM,Rejected-AOC,Qualified,19-Feb-2026 11:08 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3065601,Deepak Kumar Swain,07-Sep-2025 04:06 PM,Rejected-AOC,Qualified,19-Feb-2026 11:08 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3068376,DIPAK KUMAR SAHU,08-Sep-2025 11:52 AM,Rejected-AOC,Qualified,19-Feb-2026 11:08 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3069168,K SUJEET KUMAR DORA,08-Sep-2025 02:55 PM,Rejected-AOC,Qualified,19-Feb-2026 11:08 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3064979,MAHENDRA PRADHAN,05-Sep-2025 08:40 PM,Rejected-AOC,Qualified,19-Feb-2026 11:08 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3067954,Narayana Barik,07-Sep-2025 10:59 PM,Not Admitted-Fee/PreQual/Technical/Finance,Others-Rejected Due to Non-Submission of Certificate of Tools and Plants as per DTCN Clause No.-119,10-Sep-2025 05:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3067776,Ramesh Pradhan,08-Sep-2025 11:41 AM,Rejected-AOC,Qualified,19-Feb-2026 11:08 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3067226,Sagar Kumar Panigrahi,07-Sep-2025 01:13 PM,Accepted-AOC,After transparent lottery system Sri Sagar Kumar Panigrahi got successful 1st lowest tenderer.,19-Feb-2026 11:08 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
