Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
MD OLIC LTD,Internal,"FA-CUM-CAO DOWR, FA AND CAO OLIC, ED (TECH) OLIC, ADDL. CHIEF ENGINEER RWSS, REP. OF DIRECTOR GWD, EE (MP) OLIC",Sudarsan Sadangi,14-Oct-2025 10:42 AM,finsummary_532811.pdf (17372.14 KB),14-Oct-2025,"INR 60,534,165.63",90.0,Sudarsan Sadangi,27-Feb-2026 11:01 AM,OrderSambalpur01SOLAR.pdf (461.00 KB),ORDER,1,2873490,AJAY INFRA AND CONSTRUCTION PVT LTD,02-Apr-2025 10:36 AM,Rejected-Finance,Accepted by Tender Committee but Lost the Lottery,14-Oct-2025 10:42 AM,Technical,Ten nos of bidders have participated,Sudarsan Sadangi,03-Apr-2025 05:12 PM,,Finance,Six nos of bidders have participated,Sudarsan Sadangi,08-Jul-2025 03:31 PM,,BOQ Comparative Chart,1.0,2873851.0,R S Infrastructure,INR,"60,534,165.63",Orissa Lift Irrigation Corporation,2025_OLIC_111526_2,2068 DT-10.03.2025,Installation of Borewells under Solar Pumping System in SAMBALPUR DISTRICT PKG-01 BID ID-90,CE MECH DOWR,External,"FA AND CAO OLIC, ED (TECH) OLIC, ADDL. CHIEF ENGINEER RWSS, ADDL. DIRECTOR GWD, EE (ELECT.) OLIC, EE (MP) OLIC",Sudarsan Sadangi,03-Jul-2025 05:11 PM,07-Jul-2025 11:00 AM,techsummary_532811.pdf (12490.21 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,"TENDER COST, EMD, GST, PAN AND ALL OTHER DOCUMENTS AS PER DTCN","11,800",0.0,Nil,Nil,Yes,Orissa Lift Irrigation Corporation,2068 DT-10.03.2025,2025_OLIC_111526_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,MD OLIC BBSR,OFFICE OF MD OLIC N 17 2 NAYAPALLI BHUBANESWAR,Installation of Borewells under Solar Pumping System in SAMBALPUR DISTRICT PKG-01 BID ID-90,Installation of Borewells under Solar Pumping System in SAMBALPUR DISTRICT PKG-01 BID ID-90,Please refer Tender Document DTCN ,NA ,"7,12,08,000",Civil Works - Lift Irrigation Schemes,NA ,Tender,730.0,90.0,SAMBALPUR,768001.0,NA ,NA ,NA ,OFFICE OF MD OLIC N 17 2 NAYAPALLI BHUBANESWAR,No ,No,"7,12,000",Yes,fixed,,Nil,Nil,11-Mar-2025 10:00 AM,03-Apr-2025 11:00 AM,11-Mar-2025 10:00 AM,02-Apr-2025 05:00 PM,11-Mar-2025 10:00 AM ,21-Mar-2025 05:00 PM ,11-Mar-2025 10:00 AM,02-Apr-2025 05:00 PM,07-Jul-2025 11:00 AM,AOC
,,,,,,,,,,,,,2,2874669,Arihant Electricals and Engineers,02-Apr-2025 02:03 PM,Rejected-Technical,Technically disqualified by Technical Committee,03-Jul-2025 05:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,3,2863372,DINESH KUMAR AGRAWAL,27-Mar-2025 09:47 AM,Rejected-Finance,Accepted by Tender Committee but Lost the Lottery,14-Oct-2025 10:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,4,2874577,M/s Ganesh Borewells,02-Apr-2025 12:31 PM,Rejected-Technical,Technically disqualified by Technical Committee,03-Jul-2025 05:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,5,2874337,"M/S JAGRUTI BOREWELLS, Prop. JASPAL SINGH",02-Apr-2025 10:28 AM,Rejected-Finance,Accepted by Tender Committee but Lost the Lottery,14-Oct-2025 10:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,6,2874557,"m s mahabir borewell and equipments, prop.padmalava mallick",02-Apr-2025 12:21 PM,Rejected-Technical,Technically disqualified by Technical Committee,03-Jul-2025 05:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,7,2874770,MS SAITHIRUMALA BOREWELLS,02-Apr-2025 03:01 PM,Rejected-Finance,Accepted by Tender Committee but Lost the Lottery,14-Oct-2025 10:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,8,2873851,R S Infrastructure,02-Apr-2025 08:13 AM,Accepted-AOC,L-1 Bidder,27-Feb-2026 11:01 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,9,2874659,SHREE SHYAM INFRASTRUCTURE,02-Apr-2025 01:24 PM,Rejected-Technical,Technically disqualified by Technical Committee,03-Jul-2025 05:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,10,2873477,TIRUPATI DRILLING AND MINING SERVICES PVT. LTD,02-Apr-2025 04:14 PM,Rejected-Finance,Accepted by Tender Committee but Lost the Lottery,14-Oct-2025 10:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
