Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Finance,Financial Open,CHITARANJAN PRADHAN,22-Dec-2025 06:07 PM,finance_566055.pdf,BOQ Comparative Chart,Chitaranjan Pradhan,Internal,"Satyanarayan Nahak, Sanjib Bag, Ratucharan Besra",CHITARANJAN PRADHAN,21-Dec-2025 06:12 PM,22-Dec-2025 10:00 AM,techsummary_566055.pdf (675.40 KB),11-Feb-2026,"INR 8,705,063.56",120.0,CHITARANJAN PRADHAN,12-Feb-2026 08:36 AM,68.pdf (981.00 KB),Agreement Done,1,3269302,BISWARANJAN SATAPATHY,01-Dec-2025 02:29 PM,Rejected-Technical,He has uploaded wrong data in affidavit,21-Dec-2025 06:12 PM,1.0,3266664.0,M/S DILIP KUMAR SAHOO,INR,"8,705,063.56",Chitaranjan Pradhan,Internal,"Satyanarayan Nahak, Sanjib Kumar Bag, Ratucharan Besra",CHITARANJAN PRADHAN,11-Feb-2026 05:37 PM,finsummary_566055.pdf (735.23 KB),Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Sambalpur,2025_OLIC_121603_68,EEOLICSBP-03/2025-26,Installation of Goudapali-V and Goudapali-VI L.I. Project under Naktideull block in Sambalpur District,Technical,Tender Open,CHITARANJAN PRADHAN,02-Dec-2025 11:49 AM,technical_566055.pdf,AOC,"E.E. L.I. Division, Sambalpur","E.E. L.I. Division, Sambalpur, Binakhandi",1.0,Fee/PreQual/Technical,.pdf,"Tender cost, Registration Certificate, PAN, Affidavits, Undertaking, Other documents",Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Sambalpur,EEOLICSBP-03/2025-26,2025_OLIC_121603_68,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"1,02,400",Yes,percentage,1.0%,Nil,Nil,Installation of Goudapali-V and Goudapali-VI L.I. Project under Naktideull block in Sambalpur District,Installation of Goudapali-V and Goudapali-VI L.I. Project under Naktideull block in Sambalpur District,Please refer Tender documents. ,NA ,"1,02,40,047",Civil Works - Lift Irrigation Schemes,NA ,Tender,120.0,120.0,Naktideul,768118.0,NA ,NA ,NA ,"O/o E.E. L.I. Division, Sambalpur",No ,No,"11,800",0.0,Nil,Nil,No,21-Nov-2025 10:00 AM,02-Dec-2025 10:00 AM,21-Nov-2025 10:00 AM,01-Dec-2025 05:00 PM,21-Nov-2025 10:00 AM ,30-Nov-2025 05:00 PM ,21-Nov-2025 10:00 AM,01-Dec-2025 05:00 PM,22-Dec-2025 10:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,2,3268694,JAYAJIT KUMAR SAHOO,01-Dec-2025 01:11 PM,Rejected-AOC,Not Award of Contract,12-Feb-2026 08:36 AM,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,3,3267664,KESHAB CHANDRA SAHU,01-Dec-2025 01:31 PM,Rejected-AOC,Not Award of Contract,12-Feb-2026 08:36 AM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,4,3267125,KISANPRAKASH DAS,30-Nov-2025 04:26 PM,Rejected-Technical,"He has no mention of work, DTCN in JV",21-Dec-2025 06:12 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,5,3268288,MAHIMA CONSTRUCTION PROPRIETOR SRI SRIKANTA DEHURY,30-Nov-2025 07:50 PM,Rejected-AOC,Not Award of Contract,12-Feb-2026 08:36 AM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,6,3264097,MANDAKINI ENGINEERING,28-Nov-2025 04:53 PM,Rejected-AOC,Not Award of Contract,12-Feb-2026 08:36 AM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,7,3266664,M/S DILIP KUMAR SAHOO,01-Dec-2025 01:07 PM,Accepted-AOC,Award of Contract,12-Feb-2026 08:36 AM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,8,3268431,MS Shree Shyam and Co,01-Dec-2025 01:02 PM,Rejected-AOC,Not Award of Contract,12-Feb-2026 08:36 AM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,9,3268850,"OJAS CIVCON, PROPRIETOR-BIJAN MOHANTY",01-Dec-2025 09:30 AM,Rejected-Technical,He has uploaded wrong data in affidavit,21-Dec-2025 06:12 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,10,3261119,PRADEEP KUMAR AGRAWALLA,01-Dec-2025 03:15 PM,Rejected-AOC,Not Award of Contract,12-Feb-2026 08:36 AM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
