Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
Sanjay Ku Nayak,Internal,,SANJAYA KUMAR NAYAK,05-Mar-2026 12:56 PM,techsummary_570715.pdf (698.80 KB),05-Mar-2026,"INR 717,489.09",30.0,SANJAYA KUMAR NAYAK,05-Mar-2026 05:46 PM,71.pdf (1271.00 KB),1,3309743,"ACHYUTA NANDA SWAIN ,PROPRIETOR M/S. ADITYA ENTERPRISER.",17-Dec-2025 12:03 PM,Rejected-Finance,Loser In Transparent Lottery process,05-Mar-2026 04:48 PM,1.0,3306050.0,M/S SAIKRUPA ENTERPRISERS (PROP.UMESH CHANDRA SWAIN),INR,"717,489.09",Finance,BOS,SONIYA MAJUMDAR,12-Feb-2026 01:31 PM,,BOQ Comparative Chart,Sanjay Ku Nayak,Internal,,SANJAYA KUMAR NAYAK,05-Mar-2026 04:48 PM,finsummary_570715.pdf (698.80 KB),Chief Engineer Mech - WR Bhubaneswar||SE Mechanical Circle Bhubaneswar||EE Mechanical Division Berhampur,2025_CEMWR_122872_1,SE/MDA-04(1)/2025-26,"Supply, Fabrication, Erection of Gate and Hoist of Nuapujariguda Check Dam at VillageNuapujariguda, Block- Tentulikhunti and Sub-Division- Nabarangpur Under Nabarangpur Minor Irrigation Division, Nabarangpur",AOC,"8,500",No,fixed,,Nil,Nil,"Supply, Fabrication, Erection of Gate and Hoist of Nuapujariguda Check Dam at VillageNuapujariguda, Block- Tentulikhunti and Sub-Division- Nabarangpur Under Nabarangpur Minor Irrigation Division, Nabarangpur","Supply, Fabrication, Erection of Gate and Hoist of Nuapujariguda Check Dam at VillageNuapujariguda, Block- Tentulikhunti and Sub-Division- Nabarangpur Under Nabarangpur Minor Irrigation Division, Nabarangpur",Please refer tender Documents ,NA ,,Mechanical Works,NA ,Tender,90.0,30.0,Nabarangpur,764070.0,NA ,NA ,NA ,"O/o SE,Mechanical Division Ambaguda",No ,No,1.0,ICICI BANK,"SE ,Mechanical Division ambaguda","SE ,Mechanical Division ambaguda",Chief Engineer Mech - WR Bhubaneswar||SE Mechanical Circle Bhubaneswar||EE Mechanical Division Berhampur,SE/MDA-04(1)/2025-26,2025_CEMWR_122872_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC,GST,PAN,ESI,EPFand all other Documents as per DTCN",11-Dec-2025 03:00 PM,26-Dec-2025 12:00 PM,11-Dec-2025 03:00 PM,24-Dec-2025 05:30 PM,11-Dec-2025 03:00 PM ,24-Dec-2025 05:30 PM ,11-Dec-2025 03:00 PM,24-Dec-2025 05:30 PM,AOC
,,,,,,,,,,,,2,3322299,LAXMIDHRA BHUYAN,24-Dec-2025 02:42 PM,Rejected-Finance,Loser In Transparent Lottery process,05-Mar-2026 04:48 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,AOC
,,,,,,,,,,,,3,3302376,M/s. ASHIRBAD INDUSTRIES Prp. PRAKASH CHANDRA LENKA,24-Dec-2025 11:08 AM,Rejected-Finance,Loser In Transparent Lottery process,05-Mar-2026 04:48 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,4,3302365,M/s. BHAGABATI INDUSTRIES Prop. NIRANJAN PANDA,24-Dec-2025 11:01 AM,Rejected-Finance,Loser In Transparent Lottery process,05-Mar-2026 04:48 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,5,3325872,M/S JAGANNATH AGRICULTURAL IMPLEMENTS WORKSHOP,24-Dec-2025 01:25 PM,Rejected-Finance,Loser In Transparent Lottery process,05-Mar-2026 04:48 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,6,3325151,M/S KALINGA METAL PRODUCT (PROP. SMT BASANTILATA MOHANTY,24-Dec-2025 10:11 AM,Rejected-Finance,Loser In Transparent Lottery process,05-Mar-2026 04:48 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,7,3325132,"M/S MOHANTY INDUSTRIAL ENTERPRISERS -PROPRIETOR ,MALAYA KUMAR MOHANTY",24-Dec-2025 09:53 AM,Rejected-Finance,Loser In Transparent Lottery process,05-Mar-2026 04:48 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,8,3306050,M/S SAIKRUPA ENTERPRISERS (PROP.UMESH CHANDRA SWAIN),22-Dec-2025 06:14 PM,Accepted-AOC,WinnerIn Transparent Lottery process,05-Mar-2026 05:46 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,9,3313255,M/S SHREE INDUSTRIES,19-Dec-2025 01:02 PM,Rejected-Finance,Loser In Transparent Lottery process,05-Mar-2026 04:48 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,10,3324959,NEELAMADHAB ENGINEERING WORKS,23-Dec-2025 05:22 PM,Rejected-Finance,Loser In Transparent Lottery process,05-Mar-2026 04:48 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
