EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"26,690",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,EMDPANGSTINCDMSRegistrationcodeworkexperiencesimilarnatureworkworkinhandmachineriesasperDTCN,03-Nov-2025 09:00 AM,12-Nov-2025 05:10 PM,03-Nov-2025 09:00 AM,12-Nov-2025 05:00 PM,NA ,NA ,03-Nov-2025 09:00 AM,12-Nov-2025 05:00 PM,PM to L053 Deuli to Mugdhipara,PM to L053 Deuli to Mugdhipara,Please refer Tender documents. ,NA ,"26,69,000",Civil Works - Roads,NA ,Tender,90.0,30.0,Sundargarh,770020.0,NA ,NA ,NA ,O/o of the Superintending Engineer,No ,No,"6,000",0.0,Nil,Nil,No,CE RW I||RW-CIRCLE-SUNDARGARH||RW-Division-Sundargarh I,Online-SESNG-12 of 2025-26,2025_CERWI_120562_8,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"Executive Engineer R.W. Division, Sundargarh","O/o of the Superintending Engineer R.W. Division, Sundargarh At/po-Sankara. Dist-Sundargarh. 770020",AOC,1,3216563,BIKASH RANJAN PATTANAIK,12-Nov-2025 01:59 PM,Rejected-Technical,Rejected,25-Mar-2026 11:38 AM,25-Mar-2026,"INR 2,250,673",30.0,Hitesh Agarwal,25-Mar-2026 11:47 AM,7698.pdf (250.00 KB),Er. Hitesh Agarwal,Internal,,Hitesh Agarwal,25-Mar-2026 11:38 AM,techsummary_561213.pdf (331.59 KB),Er. Hitesh Agarwal,Internal,,Hitesh Agarwal,25-Mar-2026 11:41 AM,finsummary_561213.pdf (331.59 KB),CE RW I||RW-CIRCLE-SUNDARGARH||RW-Division-Sundargarh I,2025_CERWI_120562_8,Online-SESNG-12 of 2025-26,PM to L053 Deuli to Mugdhipara,1.0,3210553.0,M/s Sushil Mandal,INR,"2,250,673",Finance,10 Nos. of Successful Bidders,Hitesh Agarwal,13-Nov-2025 03:26 PM,finance_561213.pdf,BOQ Comparative Chart,AOC
,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,3216461,DEJI NAIK,12-Nov-2025 02:31 PM,Rejected-Technical,Rejected,25-Mar-2026 11:38 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3213607,MD SIFAN NOOR,12-Nov-2025 01:34 AM,Rejected-Technical,Rejected,25-Mar-2026 11:38 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3200019,M/s ANUP ROY,11-Nov-2025 07:46 PM,Rejected-Technical,Rejected,25-Mar-2026 11:38 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3216963,M/S KUMUDINI SAIDEO,12-Nov-2025 01:11 PM,Rejected-Technical,Rejected,25-Mar-2026 11:38 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3210553,M/s Sushil Mandal,11-Nov-2025 08:10 PM,Accepted-AOC,Accepted,25-Mar-2026 11:47 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3217537,NEHA BHATTACHARYA,12-Nov-2025 02:53 PM,Rejected-Technical,Rejected,25-Mar-2026 11:38 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3217740,PRATIK CONSTRUCTION,12-Nov-2025 03:46 PM,Rejected-Technical,Rejected,25-Mar-2026 11:38 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3217598,RAKESH KUMAR SINHA,12-Nov-2025 03:43 PM,Rejected-Technical,Rejected,25-Mar-2026 11:38 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3200046,Roys infrastructure & Projects,11-Nov-2025 12:19 AM,Rejected-Technical,Rejected,25-Mar-2026 11:38 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
