Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
24-Sep-2025 05:30 PM,16-Oct-2025 10:00 AM,24-Sep-2025 05:30 PM,15-Oct-2025 05:00 PM,NA ,NA ,24-Sep-2025 05:30 PM,15-Oct-2025 05:00 PM,22-Dec-2025 12:15 PM,"1,79,000",Yes,fixed,,Nil,Nil,IMPROVEMENT OF MALKANGIRI TO SUKUMA BYEPASS ROAD I.E. MALKANGIRI BUS STAND TO SUKUMA ROAD FROM 0-000 KM TO 4-274KM IN THE DISTRICT OF MALKANGIRI UNDER STATE PLAN FOR THE YEAR 2025-26,CIVIL WORKS,Please refer Tender documents. ,NA ,"1,79,19,734",Civil Works - Roads,ROAD ,Tender,90.0,180.0,MALKANGIRI,764045.0,NA ,NA ,NA ,O/O C.C.E R and B Circle Jeypore,No ,No,1.0,ICICI BANK,CHIEF CONSTRUCTION ENGINEER,Chief Construction Engineer Jeypore R and B circle Jeypore,1.0,Fee/PreQual/Technical,.pdf,"Tender Cost, EMD, GST Registration Certificate and GSTIN, PAN, Contractor RC","10,000",0.0,Nil,Nil,No,1.0,EXTENSION OF DATE,Date,,EIC-CIVIL||SERNB-CIRCLE-JEYPORE,CCEJC R AND B 09/2025-26,2025_EICCL_118515_4,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,EIC-CIVIL||SERNB-CIRCLE-JEYPORE,2025_EICCL_118515_4,CCEJC R AND B 09/2025-26,IMPROVEMENT OF MALKANGIRI TO SUKUMA BYEPASS ROAD I.E. MALKANGIRI BUS STAND TO SUKUMA ROAD FROM 0-000 KM TO 4-274KM IN THE DISTRICT OF MALKANGIRI UNDER STATE PLAN FOR THE YEAR 2025-26,Technical,ABOVE BIDDERS ARE PROVISIONALLY QUALIFIED FOR TECHNICAL EVALUATION.,Ashok Kumar Behera,22-Oct-2025 11:36 AM,technical_553786.pdf,BISWANATH MARNDI,Internal,,Biswanath Marndi,31-Jan-2026 04:20 PM,finsummary_553786.pdf (3646.70 KB),1.0,3116447.0,K. MOULIDHAR,INR,"15,233,566",26-Mar-2026,"INR 15,233,566",180.0,Biswanath Marndi,26-Mar-2026 11:49 AM,SUKUMAAOC.pdf (2632.00 KB),FIRST LOWEST BID OF SRI K MOULI DHAR SELECTED THROUGH TRANSPARENT LOTTERY SYSTEM.,1,3111981,ASUTOSH PATRA,07-Oct-2025 10:34 AM,Rejected-Finance,First Lowest Bidder,31-Jan-2026 04:20 PM,BISWANATH MARNDI,Internal,"SE MALKANGIRI, DAO MALKANGIRI R AND B DIVISION AND EE OF JEYPORE R AND B CIRCLE.",Biswanath Marndi,20-Dec-2025 11:21 PM,22-Dec-2025 12:15 PM,techsummary_553786.pdf (260.34 KB),Finance,Price Bid of the above bidders downloaded.,Ashok Kumar Behera,15-Jan-2026 01:59 PM,finance_553786.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,.pdf,Affidavit Undertakings and Other Documents as per SBD/DTCN,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3111259,Banoj kumar patra,07-Oct-2025 10:12 AM,Rejected-Finance,First Lowest Bidder,31-Jan-2026 04:20 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3116152,Binay Ray,08-Oct-2025 01:03 PM,Rejected-AOC,FIRST LOWEST BIDDER PARTICIPATED IN TRANSPARENT LOTTERY SYSTEM BUT DID NOT SELECTED.,26-Mar-2026 11:49 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3116447,K. MOULIDHAR,08-Oct-2025 02:15 PM,Accepted-AOC,FIRST LOWEST BID OF SRI K MOULI DHAR SELECTED THROUGH TRANSPARENT LOTTERY SYSTEM.,26-Mar-2026 11:49 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3100740,Lalit Somani,07-Oct-2025 01:42 PM,Rejected-Finance,First Lowest Bidder,31-Jan-2026 04:20 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3112235,NARAYAN TANTI,08-Oct-2025 01:35 PM,Rejected-AOC,FIRST LOWEST BIDDER PARTICIPATED IN TRANSPARENT LOTTERY SYSTEM BUT DID NOT SELECTED.,26-Mar-2026 11:49 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3116320,P.RAMA RAO,08-Oct-2025 01:36 PM,Rejected-Finance,First Lowest Bidder,31-Jan-2026 04:20 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3115639,PUJA SARKAR,08-Oct-2025 11:33 AM,Rejected-AOC,FIRST LOWEST BIDDER PARTICIPATED IN TRANSPARENT LOTTERY SYSTEM BUT DID NOT SELECTED.,26-Mar-2026 11:49 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3115830,SRI RABINDRA KUMAR BHOL,08-Oct-2025 12:28 PM,Rejected-AOC,FIRST LOWEST BIDDER PARTICIPATED IN TRANSPARENT LOTTERY SYSTEM BUT DID NOT SELECTED.,26-Mar-2026 11:49 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3115284,SUBARAO SENAPATI,08-Oct-2025 12:02 AM,Rejected-AOC,FIRST LOWEST BIDDER PARTICIPATED IN TRANSPARENT LOTTERY SYSTEM BUT DID NOT SELECTED.,26-Mar-2026 11:49 AM,,,,,,,,,,,,,,AOC
