S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,3362322.0,KRUSHNA CHANDRA BIDIKA,INR,"17,093,374.876",OFFICE OF THE CCE RAYAGADA,Internal,"CCE Rayagada, Executive Engineer RW Division Rayagada, DAO Rayagada, PA to CCE and AE Esitmator RW Circle Rayagada",Binod Behari Das,11-Mar-2026 07:25 PM,finsummary_575119.pdf (487.03 KB),CE RW I||RWCIRCLE-RAYAGADA,2026_CERWI_124409_1,NCB30RWCRGDA202526,Periodical Renewal work of 5 year Post DLP PMGSY Road A RD Road to Pendili B RD Road to Mantrajhola C RD Road to Jamulima D PWD Road to Jangidi in the district of Rayagada for the year 2025-26,Technical,Verified,Santoshi Mahapatra,22-Jan-2026 04:17 PM,technical_575119.pdf,Finance,Verified,Santoshi Mahapatra,07-Feb-2026 05:07 PM,finance_575119.pdf,BOQ Comparative Chart,OFFICE OF THE CCE RAYAGADA,Internal,"CCE Rayagada, Executive Engineer RW Division Rayagada, DAO Rayagada, PA to CCE and AE Esitmator RW Circle Rayagada",Binod Behari Das,02-Feb-2026 06:42 PM,06-Feb-2026 11:00 AM,techsummary_575119.pdf (1211.31 KB),1,3362923,Bhagaban Muguli,21-Jan-2026 04:01 PM,Rejected-AOC,Work Awarded to KRUSHNA CHANDRA BIDIKA,11-Mar-2026 07:36 PM,11-Mar-2026,"INR 17,093,374.876",60.0,Binod Behari Das,11-Mar-2026 07:36 PM,RGD05.pdf (535.00 KB),Work Awarded to KRUSHNA CHANDRA BIDIKA,AOC,Chief Construction Engineer,"Rural Works Circle, Rayagada Raniguda Farm Hathipathar Road","10,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-RAYAGADA,NCB30RWCRGDA202526,2026_CERWI_124409_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,Periodical Renewal work of 5 year Post DLP PMGSY Road A RD Road to Pendili B RD Road to Mantrajhola C RD Road to Jamulima D PWD Road to Jangidi in the district of Rayagada for the year 2025-26,Periodical Renewal work of 5 year Post DLP PMGSY Road A RD Road to Pendili B RD Road to Mantrajhola C RD Road to Jamulima D PWD Road to Jangidi in the district of Rayagada for the year 2025-26,NA ,NA ,"2,01,08,000",Civil Works - Roads,NA ,Tender,90.0,60.0,Rayagada,765001.0,NA ,NA ,NA ,"Rural Works Circle, Rayagada",No ,No,1.0,Fee/PreQual/Technical,.pdf,Affidavit GSTIN PAN RC Annual Turn Over Experience Machinery and other papers as per DTCN,1.0,ICICI BANK,09-Jan-2026 06:00 PM,22-Jan-2026 11:00 AM,09-Jan-2026 06:00 PM,21-Jan-2026 05:00 PM,09-Jan-2026 06:00 PM ,20-Jan-2026 05:00 PM ,09-Jan-2026 06:00 PM,21-Jan-2026 05:00 PM,06-Feb-2026 11:00 AM,"2,01,080",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3359490,Bijaya Kumar Jena,21-Jan-2026 07:53 AM,Rejected-Technical,DISQUALIFIED due to non furnishing of Tools Plants and Machineries as per SCHUDLE C as per Cl 09 of DTCN and an undertaking for Hot Mix Plant establishment within 60 Km radius vide Note 07 of ANNEXURE 1 OF SCHUDLE C of DTCN,02-Feb-2026 06:42 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3363056,JAY PRAKASH SHARMA,21-Jan-2026 04:26 PM,Rejected-AOC,Work Awarded to KRUSHNA CHANDRA BIDIKA,11-Mar-2026 07:36 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3362322,KRUSHNA CHANDRA BIDIKA,21-Jan-2026 12:59 PM,Accepted-AOC,Work Awarded to KRUSHNA CHANDRA BIDIKA,11-Mar-2026 07:36 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3360823,Kunja Bihari Sahu,20-Jan-2026 09:06 PM,Rejected-AOC,Work Awarded to KRUSHNA CHANDRA BIDIKA,11-Mar-2026 07:36 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3358798,M/S AKASH INFRATECH PROP. AKASHDEEP SINGH SANDHU,19-Jan-2026 06:53 PM,Rejected-Technical,Disqualified due to not furnishing EMD in accordance to Works Department Notification No 6785 dtd 09 05 2017 vide ClNo2 1 of DTCN,02-Feb-2026 06:42 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3363089,M/s SHREE INFRA AND CO,21-Jan-2026 03:48 PM,Rejected-Technical,DISQUALIFIED due to inadequate Similar Nature of work experience vide Clause No12 I of DTCN,02-Feb-2026 06:42 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3362379,RABINDRA MOHARANA,21-Jan-2026 04:37 PM,Rejected-AOC,Work Awarded to KRUSHNA CHANDRA BIDIKA,11-Mar-2026 07:36 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3352943,Raghunandan Agrawal,20-Jan-2026 08:20 PM,Rejected-AOC,Work Awarded to KRUSHNA CHANDRA BIDIKA,11-Mar-2026 07:36 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3362798,RAMANI RANJAN PATI,21-Jan-2026 01:35 PM,Rejected-AOC,Work Awarded to KRUSHNA CHANDRA BIDIKA,11-Mar-2026 07:36 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
