Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
20-Jan-2026 05:00 PM,31-Jan-2026 11:00 AM,20-Jan-2026 05:00 PM,30-Jan-2026 05:00 PM,20-Jan-2026 05:00 PM ,30-Jan-2026 03:00 PM ,20-Jan-2026 05:00 PM,30-Jan-2026 05:00 PM,S/R to Gadapokhari - Gagua Via- Guapal Road for the yeat 2025-26,S/R to Gadapokhari - Gagua Via-Guapal Road for the yeat 2025-26,Please refer Tender documents. ,NA ,"19,32,483",Civil Works - Roads,NA ,Tender,90.0,30.0,Balasore,756001.0,NA ,NA ,NA ,"O/o the S.E,R.W.Division_II,Balasore",No ,No,"19,325",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,"Superintending Engineer,R.W.Division_II,Balasore","O/o the Superintending Engineer,R.W.Division_II,Balasore",1.0,Fee/PreQual/Technical/Finance,.pdf,"P Cost, EMD Online, RC, PAN, Valid GSTIN, Affidavit, No relation certificate and other as per DTCN","6,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,E-TCN/BLS-II No.09 of 2025-26,2026_CERWI_124808_11,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,"S.E.R.W.Division-II,Balasore",Internal,,Amir Kumar Sethy,18-Feb-2026 11:49 AM,finsummary_576979.pdf (390.37 KB),"S.E.R.W.Division-II,Balasore",Internal,,Amir Kumar Sethy,13-Feb-2026 05:02 PM,techsummary_576979.pdf (390.37 KB),CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,2026_CERWI_124808_11,E-TCN/BLS-II No.09 of 2025-26,S/R to Gadapokhari - Gagua Via- Guapal Road for the yeat 2025-26,1.0,3373149.0,BIKRAM KESHARI PATRA,INR,"1,642,803.49",1,3373130,AD SERVICES,29-Jan-2026 10:36 PM,Rejected-AOC,Rejected,15-Mar-2026 12:15 PM,15-Mar-2026,"INR 1,642,803.49",30.0,Amir Kumar Sethy,15-Mar-2026 12:15 PM,gadapokhari11.pdf (426.00 KB),Awarded through lottery winner vide Agrt No-200 P1 of 2025-26,Finance,All documents are download,Sujata Behera,10-Feb-2026 04:39 PM,finance_576979.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3372442,AJIT KUMAR SWAIN,29-Jan-2026 03:24 PM,Rejected-AOC,Rejected,15-Mar-2026 12:15 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3373924,BASANTA MAHARANA,30-Jan-2026 01:48 PM,Rejected-AOC,Rejected,15-Mar-2026 12:15 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3373149,BIKRAM KESHARI PATRA,30-Jan-2026 08:57 AM,Accepted-AOC,Awarded through lottery winner vide Agrt No-200 P1 of 2025-26,15-Mar-2026 12:15 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3373481,Ipsita Nanda,30-Jan-2026 12:43 PM,Rejected-AOC,Rejected,15-Mar-2026 12:15 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3371924,KHIRODA KUMAR NAYAK,29-Jan-2026 04:03 PM,Rejected-AOC,Rejected,15-Mar-2026 12:15 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3372937,MILAN KUMAR DAS,29-Jan-2026 08:24 PM,Rejected-AOC,Rejected,15-Mar-2026 12:15 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3372692,SANJULATA BEHERA,29-Jan-2026 05:42 PM,Rejected-AOC,Rejected,15-Mar-2026 12:15 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3373474,SASHANKA SEKHAR MOHAPATRA,30-Jan-2026 10:58 AM,Rejected-AOC,Rejected,15-Mar-2026 12:15 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3373588,SASHIKANTA SAHOO,30-Jan-2026 11:30 AM,Rejected-AOC,Rejected,15-Mar-2026 12:15 PM,,,,,,,,,,,,,,AOC
