Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"Laying of Drain Cover Slab Drain from Mandir Chowk to Ratnakar Chatria House and Manoranjan Bhoi House to Subash Debta house ,Ward no-6","Laying of Drain Cover Slab Drain from Mandir Chowk to Ratnakar Chatria House and Manoranjan Bhoi House to Subash Debta house ,Ward no-6",As per DTCN ,NA ,"12,72,661",Civil Works - Others,NA ,Tender,90.0,60.0,Ward No-6 NAC Kuchinda,768222.0,NA ,NA ,NA ,OFFICE OF THE NAC KUCHINDA,No ,No,Municipal Bodies||Kuchinda NAC,KCDA/NAC-9/2025-26,2026_ORULB_126404_22,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"6,000",0.0,Nil,Nil,No,EXECUTIVE OFFICER,"At/Po/Ps-Kuchinda,Dist-Sambalpur,Odisha",23-Feb-2026 10:00 AM,06-Mar-2026 10:00 AM,23-Feb-2026 10:00 AM,05-Mar-2026 05:30 PM,23-Feb-2026 10:00 AM ,05-Mar-2026 05:30 PM ,23-Feb-2026 10:00 AM,05-Mar-2026 05:30 PM,"12,727",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,AOC,Pradyut Kumar Mohanty,Internal,"Barun Kumar Sa, Nilamadhab Nag,Manaranjan Suna",Barun Kumar Sa,25-Mar-2026 01:33 PM,techsummary_582335.pdf (633.47 KB),Pradyut Kumar Mohanty,Internal,"Barun Kumar Sa, Nilamadhab Nag , Manaranjan Suna",Barun Kumar Sa,30-Mar-2026 01:48 PM,finsummary_582335.pdf (629.69 KB),Finance,Admitted,Nilamadhab Nag,09-Mar-2026 12:23 PM,finance_582335.pdf,BOQ Comparative Chart,1,3417290,AMIT AGRAWAL,03-Mar-2026 11:20 AM,Rejected-AOC,Rejected,30-Mar-2026 04:49 PM,Municipal Bodies||Kuchinda NAC,2026_ORULB_126404_22,KCDA/NAC-9/2025-26,"Laying of Drain Cover Slab Drain from Mandir Chowk to Ratnakar Chatria House and Manoranjan Bhoi House to Subash Debta house ,Ward no-6",1.0,3417169.0,GOBINDA SAHOO,INR,"1,272,661.37",30-Mar-2026,"INR 1,272,661.37",60.0,Barun Kumar Sa,30-Mar-2026 04:49 PM,22.pdf (426.00 KB),Work order issued,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,2,3418364,AMIT PRATAP SINGH,05-Mar-2026 01:28 AM,Rejected-AOC,Rejected,30-Mar-2026 04:49 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,3419603,ANGAD KUMAR RAY,05-Mar-2026 05:27 PM,Rejected-AOC,Rejected,30-Mar-2026 04:49 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4,3418139,BISHAL AGRAWAL,04-Mar-2026 03:04 PM,Rejected-AOC,Rejected,30-Mar-2026 04:49 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,5,3417169,GOBINDA SAHOO,03-Mar-2026 09:34 AM,Accepted-AOC,Awarded through lottery system,30-Mar-2026 04:49 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,6,3418518,GOVIND MEHER,04-Mar-2026 07:47 PM,Rejected-AOC,Rejected,30-Mar-2026 04:49 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,7,3417878,KAPILASH NAYAK,03-Mar-2026 05:52 PM,Rejected-AOC,Rejected,30-Mar-2026 04:49 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,8,3418479,LAXMI AGRAWAL,05-Mar-2026 07:49 AM,Rejected-AOC,Rejected,30-Mar-2026 04:49 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,9,3420711,PRABIN PRATAP SINGH,05-Mar-2026 05:01 PM,Rejected-AOC,Rejected,30-Mar-2026 04:49 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,10,3415085,PRAKASH RUDRA SINGH,01-Mar-2026 05:01 PM,Rejected-AOC,Rejected,30-Mar-2026 04:49 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,11,3418190,ROHIT AGRAWAL,04-Mar-2026 12:53 PM,Rejected-AOC,Rejected,30-Mar-2026 04:49 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,12,3418924,Santosh Kumar Agrawal,05-Mar-2026 02:21 AM,Rejected-AOC,Rejected,30-Mar-2026 04:49 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,13,3418806,SHAKTI SWARUP MOHANTY,05-Mar-2026 09:49 AM,Rejected-AOC,Rejected,30-Mar-2026 04:49 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,14,3417341,SUJIT KUMAR AGARWAL,04-Mar-2026 02:45 AM,Rejected-AOC,Rejected,30-Mar-2026 04:49 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,15,3417802,UMESH CHANDRA MAHANANDA,03-Mar-2026 07:16 PM,Rejected-AOC,Rejected,30-Mar-2026 04:49 PM,,,,,,,,,,,,,,,,,AOC
