Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,Admitted,Nilamadhab Nag,09-Mar-2026 11:38 AM,finance_582301.pdf,BOQ Comparative Chart,1.0,3418063.0,JATINDRA KUMAR SAHOO,INR,"416,394.75",Municipal Bodies||Kuchinda NAC,2026_ORULB_126404_6,KCDA/NAC-9/2025-26,"Repair and Resto. of Pothole 5 Nos. Of Road from PWD Road to Abhisekh House , PWD Road to Suwitch Studio , Pillar School to Pradip Naik House , Bhagabat Tungi to Shibu Munda House , Bhagbat Tungi To Sisubidya Mandir in Ward No-06",Pradyut Kumar Mohanty,Internal,"Barun Kumar Sa, Nilamadhab Nag , Manaranjan Suna",Barun Kumar Sa,30-Mar-2026 12:13 PM,finsummary_582301.pdf (629.69 KB),Pradyut Kumar Mohanty,Internal,"Barun Kumar Sa, Nilamadhab Nag,Manaranjan Suna",Barun Kumar Sa,25-Mar-2026 03:34 PM,techsummary_582301.pdf (633.47 KB),1,3414597,AMIT AGRAWAL,28-Feb-2026 12:43 AM,Rejected-AOC,Rejected,31-Mar-2026 11:39 AM,31-Mar-2026,"INR 416,394.75",15.0,Barun Kumar Sa,31-Mar-2026 11:39 AM,6.pdf (451.00 KB),Work order issued,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,23-Feb-2026 10:00 AM,06-Mar-2026 10:00 AM,23-Feb-2026 10:00 AM,05-Mar-2026 05:30 PM,23-Feb-2026 10:00 AM ,05-Mar-2026 05:30 PM ,23-Feb-2026 10:00 AM,05-Mar-2026 05:30 PM,EXECUTIVE OFFICER,"At/Po/ps-Kuchinda,Dist-Sambalpur,Odisha","Repair and Resto. of Pothole 5 Nos. Of Road from PWD Road to Abhisekh House , PWD Road to Suwitch Studio , Pillar School to Pradip Naik House , Bhagabat Tungi to Shibu Munda House , Bhagbat Tungi To Sisubidya Mandir in Ward No-06","Repair and Resto. of Pothole 5 Nos. Of Road from PWD Road to Abhisekh House , PWD Road to Suwitch Studio , Pillar School to Pradip Naik House , Bhagabat Tungi to Shibu Munda House , Bhagbat Tungi To Sisubidya Mandir in Ward No-06",As per DTCN ,NA ,"4,16,395",Civil Works - Roads,NA ,Tender,90.0,15.0,Ward No-6 NAC Kuchinda,768222.0,NA ,NA ,NA ,OFFICE OF THE NAC KUCHINDA,No ,No,Municipal Bodies||Kuchinda NAC,KCDA/NAC-9/2025-26,2026_ORULB_126404_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"2,000",0.0,Nil,Nil,No,1.0,ICICI BANK,"4,164",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3418341,AMIT PRATAP SINGH,04-Mar-2026 11:13 PM,Rejected-AOC,Rejected,31-Mar-2026 11:39 AM,,,,,,,,AOC,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3419700,BISHAL AGRAWAL,05-Mar-2026 12:34 PM,Rejected-AOC,Rejected,31-Mar-2026 11:39 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3408510,DIPTI PANDA,24-Feb-2026 10:20 AM,Rejected-AOC,Rejected,31-Mar-2026 11:39 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3415110,GOBINDA SAHOO,01-Mar-2026 02:00 PM,Rejected-AOC,Rejected,31-Mar-2026 11:39 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3418418,GOVIND MEHER,04-Mar-2026 07:29 PM,Rejected-AOC,Rejected,31-Mar-2026 11:39 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3418063,JATINDRA KUMAR SAHOO,04-Mar-2026 02:35 PM,Accepted-AOC,Awarded Through lottery system,31-Mar-2026 11:39 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3417846,KAPILASH NAYAK,03-Mar-2026 05:33 PM,Rejected-AOC,Rejected,31-Mar-2026 11:39 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3418442,LAXMI AGRAWAL,04-Mar-2026 06:55 PM,Rejected-AOC,Rejected,31-Mar-2026 11:39 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3419783,PRABIN PRATAP SINGH,05-Mar-2026 01:27 PM,Rejected-AOC,Rejected,31-Mar-2026 11:39 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3418081,PRAFULLA KUMAR SAHU,04-Mar-2026 02:46 PM,Rejected-AOC,Rejected,31-Mar-2026 11:39 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3415065,PRAKASH RUDRA SINGH,01-Mar-2026 04:26 PM,Rejected-AOC,Rejected,31-Mar-2026 11:39 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3419744,PRASANTA KUMAR SAHU,05-Mar-2026 01:40 PM,Rejected-AOC,Rejected,31-Mar-2026 11:39 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3418140,ROHIT AGRAWAL,04-Mar-2026 11:36 AM,Rejected-AOC,Rejected,31-Mar-2026 11:39 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3418852,Santosh Kumar Agrawal,05-Mar-2026 02:03 AM,Rejected-AOC,Rejected,31-Mar-2026 11:39 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3417728,UMESH CHANDRA MAHANANDA,03-Mar-2026 06:59 PM,Rejected-AOC,Rejected,31-Mar-2026 11:39 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
