S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,3311831.0,DILLIP BEHERA,INR,"847,784",Municipal Bodies||Chandbali NAC,2025_ORULB_122689_45,EO CHANDBALI,Construction of Paver Road From Hatadia To Bada Matha in Ward No.- 13.,1,3329534,BIDYADHAR BARIK,26-Dec-2025 02:11 PM,Rejected-AOC,Reject,29-Apr-2026 08:39 AM,29-Apr-2026,"INR 847,784",90.0,Santanu Kumar Sahoo,29-Apr-2026 08:39 AM,order.pdf (482.00 KB),AOC,Finance,ok,ABHAS RANJAN PANIGRAHI,20-Jan-2026 08:34 PM,,BOQ Comparative Chart,AbhasranjanPanigrahi,Internal,PrabhatKumarSahooSantanuKumarSahoo,ABHAS RANJAN PANIGRAHI,23-Mar-2026 09:00 AM,finsummary_570495.pdf (484.96 KB),AbhasranjanPanigrahi,Internal,PrabhatKumarSahooSantanuKumarSahoo,ABHAS RANJAN PANIGRAHI,23-Mar-2026 08:55 AM,techsummary_570495.pdf (484.96 KB),AOC,Construction of Paver Road From Hatadia To Bada Matha in Ward No.- 13.,Paver Road,Please refer Tender documents. ,NA ,,Civil Works - Others,NA ,Tender,105.0,90.0,Ward No - 13,756133.0,NA ,NA ,NA ,NAC Office,No ,No,"4,000",0.0,Nil,Nil,No,1.0,Date Extension,Date,,1.0,ICICI BANK,Executive Officer,Chandbali NAC,09-Dec-2025 09:00 AM,29-Dec-2025 11:00 AM,09-Dec-2025 09:00 AM,26-Dec-2025 05:30 PM,NA ,NA ,09-Dec-2025 09:00 AM,26-Dec-2025 05:30 PM,Municipal Bodies||Chandbali NAC,EO CHANDBALI,2025_ORULB_122689_45,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"8,480",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,2,3311831,DILLIP BEHERA,17-Dec-2025 06:57 PM,Accepted-AOC,Accept,29-Apr-2026 08:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,AOC
,,,,,,,,,3,3305663,Ganesh Prasad Bal,18-Dec-2025 12:22 PM,Rejected-AOC,Reject,29-Apr-2026 08:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,3309435,GANGADHAR DAS,17-Dec-2025 06:24 AM,Rejected-AOC,Reject,29-Apr-2026 08:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,3317299,Jayanta Kumar Rout,19-Dec-2025 03:23 PM,Rejected-AOC,Reject,29-Apr-2026 08:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,3314956,KAMALAKANTA MOHALIK,18-Dec-2025 06:13 PM,Rejected-AOC,Reject,29-Apr-2026 08:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,3327816,KEDAR KUMAR NAYAK,25-Dec-2025 04:05 PM,Rejected-AOC,Reject,29-Apr-2026 08:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,3326224,Narendra Samal,26-Dec-2025 11:54 AM,Rejected-AOC,Reject,29-Apr-2026 08:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,3326452,RATIKANTA MAJHI(S.C),24-Dec-2025 05:40 PM,Rejected-AOC,Reject,29-Apr-2026 08:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,3302856,SAIKA MANJER,16-Dec-2025 06:04 AM,Rejected-AOC,Reject,29-Apr-2026 08:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
