Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Tender Cost EMD GSTIN PAN Contractor RC Affidavits undertakings and any other document as per DTCN,1.0,ICICI BANK,"16,940",Yes,percentage,1.0%,Nil,Nil,SE RWD BBSR,O/o the SE RWD BBSR,CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-BHUBANESWAR,Tender Online Divn. BBSR - 34/2025-26,2026_CERWI_124978_19,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,S/R to GBC to Bisarpur road for the year 2025-26,S/R to GBC to Bisarpur road for the year 2025-26,Please refer Tender documents. ,NA ,"16,94,000",Civil Works - Roads,NA ,Tender,90.0,30.0,Khordha,751013.0,NA ,NA ,NA ,O/o the SE RWD BBSR,No ,No,22-Jan-2026 05:00 PM,31-Jan-2026 11:00 AM,22-Jan-2026 05:00 PM,30-Jan-2026 05:00 PM,NA ,NA ,22-Jan-2026 05:00 PM,30-Jan-2026 05:00 PM,AOC,"SE, RWD, BBSR",Internal,DAO and Estimator,Nirmal Chandra Jena,16-Feb-2026 03:17 PM,techsummary_577441.pdf (791.50 KB),"SE, RWD, BBSR",Internal,DAO and Estimator,Nirmal Chandra Jena,16-Feb-2026 03:24 PM,finsummary_577441.pdf (791.50 KB),Finance,15 nos of bidder are participated,Nirmal Chandra Jena,31-Jan-2026 03:29 PM,,BOQ Comparative Chart,09-Apr-2026,"INR 1,693,818",30.0,Nirmal Chandra Jena,09-Apr-2026 01:06 PM,gbcbisarpur.pdf (266.00 KB),AoC,1.0,3372218.0,TAPAN KUMAR BARIK,INR,"1,693,818",CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-BHUBANESWAR,2026_CERWI_124978_19,Tender Online Divn. BBSR - 34/2025-26,S/R to GBC to Bisarpur road for the year 2025-26,1,3373072,BIPIN BIHARI SAHOO,29-Jan-2026 09:44 PM,Rejected-Finance,Not success in lottery,16-Feb-2026 03:24 PM,AOC
,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3369637,BISWAMBER PATTANAIK,30-Jan-2026 04:29 PM,Rejected-Finance,Not success in lottery,16-Feb-2026 03:24 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3372427,CHITTA RANJAN DASH,30-Jan-2026 02:17 PM,Rejected-Finance,Not success in lottery,16-Feb-2026 03:24 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3373427,HRUDANANDA MISHRA,30-Jan-2026 12:36 PM,Rejected-Finance,Not success in lottery,16-Feb-2026 03:24 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3374163,JAY MAHADEV CONSTRUCTION,30-Jan-2026 02:14 PM,Rejected-Finance,Not success in lottery,16-Feb-2026 03:24 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3373586,JAY SITA RAM AGENCY,30-Jan-2026 11:37 AM,Rejected-Finance,Not success in lottery,16-Feb-2026 03:24 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3374556,MANOJ KUMAR DAS,30-Jan-2026 04:22 PM,Rejected-Finance,Not success in lottery,16-Feb-2026 03:24 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3369860,MANORANJAN DASH,30-Jan-2026 11:53 AM,Rejected-Finance,Not success in lottery,16-Feb-2026 03:24 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3374021,MITALI SWAIN,30-Jan-2026 01:56 PM,Rejected-Finance,Not success in lottery,16-Feb-2026 03:24 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3373755,PRAFULLA PARIDA,30-Jan-2026 12:27 PM,Rejected-Finance,Not success in lottery,16-Feb-2026 03:24 PM,AOC
