S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,ICICI BANK,CE RW I||RWCIRCLE-BERHAMPUR||RW Division Bhanjanagar,Online Tender/12/RWDBNJ/2025-26,2025_CERWI_120388_5,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"11,200",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Affidavit, RC, GST, PAN, Electrical JVA and all other Document as per DTCN",S/R to L048-RD road Kanigidi Adibandha road under periodical Maintenance for the year 2025-26.,S/R to L048-RD road Kanigidi Adibandha road under periodical Maintenance for the year 2025-26.,S/R to L048-RD road Kanigidi Adibandha road under periodical Maintenance for the year 2025-26. ,NA ,"11,18,673",Civil Works - Roads,NA ,Tender,90.0,60.0,Bhanjanagar,761126.0,NA ,NA ,NA ,"O/O the S.E, R.W Division, Bhanjanagar",No ,No,31-Oct-2025 06:55 PM,11-Nov-2025 11:00 AM,31-Oct-2025 06:55 PM,10-Nov-2025 03:00 PM,31-Oct-2025 06:55 PM ,07-Nov-2025 03:00 PM ,31-Oct-2025 06:55 PM,10-Nov-2025 03:00 PM,"S.E, R.W Division, Bhanjanagar","O/O the S.E, R.W Division, Bhanjanagar",AOC,CE RW I||RWCIRCLE-BERHAMPUR||RW Division Bhanjanagar,2025_CERWI_120388_5,Online Tender/12/RWDBNJ/2025-26,S/R to L048-RD road Kanigidi Adibandha road under periodical Maintenance for the year 2025-26.,Tribhuban Kanhar,Internal,"DAO,Estimator",Pravas Ranjan Rout,21-May-2026 12:32 PM,finsummary_560243.pdf (1086.84 KB),Finance,lottery,Pravas Ranjan Rout,21-Nov-2025 06:44 PM,,BOQ Comparative Chart,1.0,3203705.0,Shakti Swar,INR,"950,984",21-May-2026,"INR 950,984",60.0,Pravas Ranjan Rout,21-May-2026 12:38 PM,5.pdf (1087.00 KB),1,3202298,Bidyadhara Sahu,10-Nov-2025 11:07 AM,Rejected-AOC,2nd lowest,21-May-2026 12:38 PM,Tribhuban Kanhar,Internal,"DAO,Estimator",Pravas Ranjan Rout,21-May-2026 12:26 PM,techsummary_560243.pdf (1086.84 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3207348,CHUMUKI PANIGRAHY,10-Nov-2025 02:28 PM,Rejected-AOC,2nd lowest,21-May-2026 12:38 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3204854,Dipak Kumar Nayak,10-Nov-2025 08:36 AM,Rejected-AOC,2nd lowest,21-May-2026 12:38 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3185959,D. Pandaba Patro,05-Nov-2025 09:02 PM,Rejected-AOC,2nd lowest,21-May-2026 12:38 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3204604,DUKHISHYAM SAHU,10-Nov-2025 11:20 AM,Rejected-AOC,2nd lowest,21-May-2026 12:38 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3205165,HADU NAIK,10-Nov-2025 10:38 AM,Rejected-AOC,2nd lowest,21-May-2026 12:38 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3194609,Hari Chandra Nayak,08-Nov-2025 11:08 AM,Rejected-AOC,2nd lowest,21-May-2026 12:38 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3201666,JASMIN SAHU,09-Nov-2025 02:09 PM,Rejected-AOC,2nd lowest,21-May-2026 12:38 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3199840,Jayasen Sahu,09-Nov-2025 10:57 AM,Rejected-AOC,2nd lowest,21-May-2026 12:38 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3206885,Krushna Chandra Gouda,10-Nov-2025 01:31 PM,Rejected-AOC,2nd lowest,21-May-2026 12:38 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3205204,NIKUNJA RAUTA,10-Nov-2025 10:17 AM,Rejected-AOC,2nd lowest,21-May-2026 12:38 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3189380,Pabitra Mohan Bisoyi,07-Nov-2025 03:59 PM,Rejected-AOC,2nd lowest,21-May-2026 12:38 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3193184,Rachana Pradhan,07-Nov-2025 04:34 PM,Rejected-AOC,2nd lowest,21-May-2026 12:38 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3203295,RADHA KRUSHNA SAHU,09-Nov-2025 07:40 PM,Rejected-AOC,2nd lowest,21-May-2026 12:38 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3200560,RAJESH KUMAR PATNAIK,10-Nov-2025 10:02 AM,Rejected-AOC,2nd lowest,21-May-2026 12:38 PM,,,,,,,AOC
