EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"6,800",Yes,fixed,,Nil,Nil,"O/O the Suptd. Engineer, R. W. Division,","O/O the Suptd. Engineer, R. W. Division,",1.0,ICICI BANK,"4,000",0.0,Nil,Nil,No,S/R to Machhagaon Apandara Road for the year 2025-26.,S/R to Machhagaon Apandara Road for the year 2025-26.,Please refer Tender documents. ,NA ,"6,80,000",Civil Works - Roads,NA ,Tender,60.0,30.0,Jagatsinghpur,754103.0,NA ,NA ,NA ,"O/O the Suptd. Engineer, R. W. Division,",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper Cost, EMD, PAN Regd Cert, GSTIN, No Relation and Affidavit Towards Correctness certificate",02-Feb-2026 09:00 AM,11-Feb-2026 11:00 AM,02-Feb-2026 10:00 AM,10-Feb-2026 05:00 PM,02-Feb-2026 10:00 AM ,09-Feb-2026 03:00 PM ,02-Feb-2026 10:00 AM,10-Feb-2026 05:00 PM,CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-JAGATSINGHPUR,Tender Online - 11 of 2025-26,2026_CERWI_125323_20,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,eerwd,Internal,,Dipika Majhi,06-May-2026 11:45 AM,finsummary_578675.pdf (720.54 KB),eerwd,Internal,,Dipika Majhi,24-Apr-2026 05:12 PM,techsummary_578675.pdf (720.54 KB),1,3388705,BIBHUTI BHUSAN RAY,10-Feb-2026 02:40 PM,Rejected-Technical,L2 bidder,24-Apr-2026 05:12 PM,1.0,3388909.0,N K REFRIGERATION,INR,"570,824",CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-JAGATSINGHPUR,2026_CERWI_125323_20,Tender Online - 11 of 2025-26,S/R to Machhagaon Apandara Road for the year 2025-26.,20-May-2026,"INR 570,824",30.0,Dipika Majhi,20-May-2026 03:14 PM,2114.pdf (2115.00 KB),AoC,Finance,NOTE SHEET,Dipika Majhi,19-Feb-2026 07:10 PM,finance_578675.pdf,BOQ Comparative Chart,AOC
,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,2,3386346,BIJAYA BHOL,08-Feb-2026 06:27 PM,Rejected-Technical,L2 bidder,24-Apr-2026 05:12 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,3,3386549,DEEPTI MAYEE DALAI,09-Feb-2026 08:20 PM,Rejected-Technical,L2 bidder,24-Apr-2026 05:12 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,4,3388909,N K REFRIGERATION,09-Feb-2026 09:03 PM,Accepted-AOC,L1 bidder,20-May-2026 03:14 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,5,3390759,PRABIR BHATTA,10-Feb-2026 02:47 PM,Rejected-Technical,L2 bidder,24-Apr-2026 05:12 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,6,3386721,PRADEEP KUMAR DAS,09-Feb-2026 10:16 PM,Rejected-Technical,L2 bidder,24-Apr-2026 05:12 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,7,3387572,SANDIP KUMAR BISWAL,09-Feb-2026 01:16 PM,Rejected-Technical,L2 bidder,24-Apr-2026 05:12 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,8,3387848,SAUMYASHREE BISWAL,09-Feb-2026 02:18 PM,Rejected-Technical,L2 bidder,24-Apr-2026 05:12 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,9,3387443,SUBAS CHANDRA SWAIN,10-Feb-2026 01:20 PM,Rejected-Technical,L2 bidder,24-Apr-2026 05:12 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,10,3391297,SUJIT KUMAR MOHANTY,10-Feb-2026 04:40 PM,Rejected-Technical,L2 bidder,24-Apr-2026 05:12 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
