Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
02-Feb-2026 09:00 AM,11-Feb-2026 11:00 AM,02-Feb-2026 10:00 AM,10-Feb-2026 05:00 PM,02-Feb-2026 10:00 AM ,09-Feb-2026 03:00 PM ,02-Feb-2026 10:00 AM,10-Feb-2026 05:00 PM,"4,000",0.0,Nil,Nil,No,1.0,ICICI BANK,S/R to Repair to Bridge over local Nallah on Paladhuabandha to Gadaharishpur via Aunri Road for the year 2025-26,S/R to Repair to Bridge over local Nallah on Paladhuabandha to Gadaharishpur via Aunri Road for the year 2025-26,Please refer Tender documents. ,NA ,"9,71,000",Civil Works - Buildings,NA ,Tender,60.0,30.0,Jagatsinghpur,754103.0,NA ,NA ,NA ,"O/O the Suptd. Engineer, R. W. Division,",No ,No,"9,710",Yes,fixed,,Nil,Nil,CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-JAGATSINGHPUR,Tender Online - 11 of 2025-26,2026_CERWI_125323_30,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"O/O the Suptd. Engineer, R. W. Division,","O/O the Suptd. Engineer, R. W. Division,",1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper Cost, EMD, PAN Regd Cert, GSTIN, No Relation and Affidavit Towards Correctness certificate",AOC,eerwd,Internal,,Dipika Majhi,06-May-2026 11:10 AM,finsummary_578788.pdf (641.58 KB),eerwd,Internal,,Dipika Majhi,06-May-2026 11:07 AM,techsummary_578788.pdf (641.58 KB),20-May-2026,"INR 839,067",30.0,Dipika Majhi,20-May-2026 03:34 PM,1921.pdf (2472.00 KB),AoC,CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-JAGATSINGHPUR,2026_CERWI_125323_30,Tender Online - 11 of 2025-26,S/R to Repair to Bridge over local Nallah on Paladhuabandha to Gadaharishpur via Aunri Road for the year 2025-26,1.0,3391082.0,susil Kumar Swain,INR,"839,067",1,3391310,AJAYA KUMAR SWAIN,10-Feb-2026 04:41 PM,Rejected-Technical,L2 bidder,06-May-2026 11:07 AM,Finance,NOTESHEET,Dipika Majhi,19-Feb-2026 06:29 PM,finance_578788.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3388722,BIBHUTI BHUSAN RAY,10-Feb-2026 02:42 PM,Rejected-Technical,L2 bidder,06-May-2026 11:07 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3386341,BIJAYA BHOL,08-Feb-2026 06:23 PM,Rejected-Technical,L2 bidder,06-May-2026 11:07 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3388303,MAHENDRA KUMAR SENAPATI,10-Feb-2026 02:23 PM,Rejected-Technical,L2 bidder,06-May-2026 11:07 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3386742,PRADEEP KUMAR DAS,09-Feb-2026 10:14 PM,Rejected-Technical,L2 bidder,06-May-2026 11:07 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3390670,RAJASHREE MALLA,10-Feb-2026 02:13 PM,Rejected-Technical,L2 bidder,06-May-2026 11:07 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3389470,Ranjan Kumar Jena,10-Feb-2026 03:20 PM,Rejected-Technical,L2 bidder,06-May-2026 11:07 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3387556,SANDIP KUMAR BISWAL,09-Feb-2026 01:11 PM,Rejected-Technical,L2 bidder,06-May-2026 11:07 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3390619,SANTOSH KUMAR NAYAK,10-Feb-2026 02:21 PM,Rejected-Technical,L2 bidder,06-May-2026 11:07 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3390631,SARADA PRASAD JENA,10-Feb-2026 02:06 PM,Rejected-Technical,L2 bidder,06-May-2026 11:07 AM,,,,,,,AOC
